Vam,Vbm,Vcm,Iam,Ibm,Icm,Vap,Vbp,Vcp,Iap,Ibp,Icp,Fault,Location
5.49629E-06,0.87466523,0.883988968,0.699192732,0.170742526,0.175720507,-81.74517195,-122.2396579,118.2688084,-81.73911429,-33.88957757,-151.353179,1,0
5.49603E-06,0.874456794,0.884014398,0.699172581,0.170716792,0.175656447,-81.74027835,-122.2341551,118.2877108,-81.73384205,-33.90391675,-151.3565569,1,0
5.49578E-06,0.874555154,0.883968022,0.699173072,0.170646294,0.175544881,-81.74373626,-122.2391569,118.2780068,-81.73643172,-33.93407878,-151.3477691,1,0
5.49578E-06,0.875110791,0.883764114,0.699169446,0.170572732,0.175442266,-81.74919433,-122.2724321,118.229063,-81.74073671,-33.9605858,-151.3364373,1,0
5.49528E-06,0.875612754,0.883573,0.699157012,0.170543324,0.175374217,-81.74228119,-122.3098438,118.1865482,-81.73303831,-33.97425243,-151.3370784,1,0
5.49553E-06,0.875695055,0.883551725,0.69915433,0.170539474,0.175352485,-81.73734306,-122.3170137,118.1800564,-81.72782045,-33.97798828,-151.3390192,1,0
5.49553E-06,0.875695055,0.883551725,0.69915433,0.170539474,0.175352485,-81.7373431,-122.3170137,118.1800564,-81.72782045,-33.97798828,-151.3390192,1,0
5.49553E-06,0.875608999,0.883602073,0.699154263,0.170532269,0.175338177,-81.73595398,-122.3104408,118.1881956,-81.72622039,-33.98051952,-151.3380042,1,0
5.49553E-06,0.875458668,0.883701605,0.69915499,0.17051879,0.175316821,-81.73439136,-122.2977651,118.2028727,-81.72453751,-33.98468485,-151.3357998,1,0
5.49578E-06,0.875271661,0.883845811,0.699160494,0.170501214,0.175281723,-81.7291133,-122.281723,118.2215995,-81.71944306,-33.99188708,-151.3338466,1,0
5.49553E-06,0.875118882,0.883969435,0.699159037,0.170465527,0.175239178,-81.72758017,-122.2672197,118.2378312,-81.71820058,-33.99998909,-151.3270485,1,0
5.49502E-06,0.875041656,0.884019912,0.699155087,0.170402828,0.175173273,-81.72647643,-122.2606448,118.2459307,-81.71754695,-34.0119703,-151.314154,1,0
5.49528E-06,0.875206197,0.883753111,0.699140482,0.170346157,0.175123777,-81.72729093,-122.2867658,118.2255551,-81.71877826,-34.01901687,-151.3023164,1,0
5.49553E-06,0.875535562,0.883177843,0.699139863,0.170324397,0.175097205,-81.72414543,-122.3429432,118.1802813,-81.71641955,-34.02285412,-151.2979784,1,0
5.49553E-06,0.875739059,0.882766471,0.699132811,0.170344564,0.175109792,-81.72187182,-122.3821618,118.151112,-81.71474777,-34.01928712,-151.3038767,1,0
5.49578E-06,0.875781501,0.882681408,0.699132658,0.170385324,0.175135063,-81.71882314,-122.3903398,118.145073,-81.71207105,-34.01487785,-151.3148542,1,0
5.49553E-06,0.87573429,0.882855918,0.699118565,0.170424177,0.175163577,-81.7172803,-122.3762246,118.1571675,-81.71047111,-34.0084572,-151.3270175,1,0
5.49603E-06,0.875655478,0.883169059,0.699170615,0.170454322,0.175165812,-81.71140674,-122.3463977,118.1687008,-81.70419696,-34.01455194,-151.3326884,1,0
5.49603E-06,0.87563905,0.883114338,0.699185084,0.170469999,0.175174539,-81.71073237,-122.3482706,118.1669744,-81.70301026,-34.01503735,-151.3373162,1,0
5.49553E-06,0.875633283,0.882648439,0.699133875,0.170498118,0.175203841,-81.71299261,-122.3874764,118.1577983,-81.70480266,-34.00490528,-151.3513029,1,0
5.49553E-06,0.875633283,0.882648439,0.699133875,0.170498118,0.175203841,-81.71299261,-122.3874764,118.1577983,-81.70480266,-34.00490528,-151.3513029,1,0
5.49553E-06,0.875605979,0.882227454,0.699154188,0.170544848,0.175222259,-81.71270824,-122.4166616,118.1428066,-81.70399084,-34.00751007,-151.3645978,1,0
5.49528E-06,0.875582088,0.881974248,0.699160061,0.170582493,0.175237915,-81.71259984,-122.4345568,118.1352289,-81.70356989,-34.00840056,-151.3762991,1,0
5.49528E-06,0.87556391,0.881774515,0.699208323,0.170636017,0.175251906,-81.71290327,-122.4442673,118.1238093,-81.70354828,-34.01706744,-151.3889745,1,0
5.49502E-06,0.875537879,0.881708529,0.699162999,0.170695954,0.175278883,-81.71037889,-122.4535694,118.1297971,-81.7006889,-34.01155206,-151.4142884,1,0
5.49502E-06,0.875594797,0.881982394,0.699185662,0.170791565,0.175305399,-81.70821868,-122.4337511,118.1339184,-81.6979378,-34.019038,-151.4455926,1,0
5.49502E-06,0.875810098,0.882749127,0.699218486,0.170866876,0.17532396,-81.70802688,-122.3824238,118.1427902,-81.69756722,-34.02807085,-151.4701635,1,0
5.49502E-06,0.875900943,0.883105194,0.699230062,0.170896789,0.175329222,-81.70645826,-122.3601385,118.1483184,-81.69610488,-34.03138758,-151.4819089,1,0
5.49502E-06,0.875820092,0.882984721,0.699242819,0.170920316,0.175330333,-81.70490264,-122.3670926,118.1491156,-81.69473973,-34.03511738,-151.491561,1,0
5.49553E-06,0.875614084,0.882568113,0.699257812,0.170961742,0.175329927,-81.70430651,-122.3912284,118.1482174,-81.6943947,-34.04302689,-151.5078528,1,0
5.49629E-06,0.875539421,0.882438657,0.69927167,0.171009923,0.175324956,-81.70283005,-122.3989973,118.1480023,-81.69303387,-34.05316187,-151.5269119,1,0
5.49654E-06,0.875732904,0.882774853,0.699287119,0.171050255,0.175318119,-81.70164251,-122.3814448,118.1445267,-81.69189822,-34.06282031,-151.5429225,1,0
5.49654E-06,0.876141513,0.883484505,0.699298993,0.171069445,0.175312043,-81.69698761,-122.3457702,118.139376,-81.68725682,-34.0661775,-151.5514719,1,0
5.49629E-06,0.876567076,0.884129501,0.699324233,0.171050819,0.175316844,-81.69664504,-122.3121819,118.1289753,-81.68692089,-34.06232222,-151.5421606,1,0
5.49654E-06,0.876627632,0.884248162,0.699349158,0.171015271,0.175330251,-81.6974513,-122.3040556,118.126519,-81.68774005,-34.05285852,-151.5249454,1,0
5.49629E-06,0.876375975,0.883941279,0.699368884,0.170982609,0.175346453,-81.70063962,-122.3160258,118.132002,-81.69098999,-34.04372782,-151.5087,1,0
5.49603E-06,0.876172494,0.883746306,0.699386524,0.170967776,0.175355242,-81.69976649,-122.3244174,118.1375617,-81.69022548,-34.03830813,-151.5005275,1,0
5.49603E-06,0.876477498,0.884057405,0.69940443,0.170951152,0.175372036,-81.69965953,-122.3136176,118.1231976,-81.69020138,-34.03039857,-151.4898948,1,0
5.49629E-06,0.877186645,0.884715439,0.699422395,0.170918448,0.175417131,-81.70011452,-122.29115,118.0917234,-81.69067662,-34.00979658,-151.4682165,1,0
5.49679E-06,0.877719305,0.885181728,0.699438565,0.170872665,0.175495686,-81.7013895,-122.27562,118.0672419,-81.69192308,-33.97498526,-151.436129,1,0
5.4973E-06,0.877603961,0.8851235,0.699452758,0.170829273,0.17558924,-81.70306255,-122.2751903,118.0721432,-81.69346322,-33.93528812,-151.4026523,1,0
5.4973E-06,0.877064881,0.88477053,0.699468717,0.170799936,0.175670735,-81.7048177,-122.2812344,118.0971572,-81.69490491,-33.90314382,-151.3762471,1,0
5.49755E-06,0.87676784,0.884569744,0.699484149,0.170783295,0.175732276,-81.70715527,-122.2842638,118.1099783,-81.69687984,-33.88128936,-151.3580253,1,0
5.49755E-06,0.876996174,0.884663403,0.69949601,0.170772629,0.175797518,-81.7097736,-122.2843952,118.0955996,-81.69918673,-33.85917108,-151.3419849,1,0
5.49755E-06,0.877572762,0.884919078,0.69949676,0.170766936,0.175888866,-81.71234714,-122.2860281,118.0631514,-81.70162735,-33.8271608,-151.3249771,1,0
5.4973E-06,0.877976987,0.885092703,0.699501806,0.170768486,0.176002143,-81.71434432,-122.2870296,118.040025,-81.70374768,-33.78826942,-151.3064839,1,0
5.4973E-06,0.877842971,0.885044243,0.699504078,0.170777244,0.176122184,-81.71612338,-122.2849222,118.0490952,-81.70580746,-33.74771348,-151.2899679,1,0
5.49755E-06,0.877248873,0.884847555,0.699508243,0.170788271,0.176219346,-81.71807768,-122.2765638,118.0867176,-81.70805302,-33.71635673,-151.277987,1,0
5.4973E-06,0.87659622,0.884654517,0.699512352,0.170797792,0.176285629,-81.7199227,-122.26587,118.1291093,-81.71015518,-33.69633619,-151.2708918,1,0
5.4973E-06,0.876498297,0.884592574,0.699513979,0.170805257,0.176327268,-81.72165263,-122.2662028,118.1354094,-81.71224666,-33.68471653,-151.2675388,1,0
5.49704E-06,0.876875927,0.884602995,0.699510026,0.170821844,0.1763792,-81.72262359,-122.2797029,118.1096461,-81.71367554,-33.66957687,-151.2664688,1,0
5.49629E-06,0.877114147,0.88461058,0.699472456,0.170861461,0.176450967,-81.71737418,-122.2946958,118.0984427,-81.70865009,-33.64396997,-151.2749811,1,0
5.49629E-06,0.877114147,0.88461058,0.699472456,0.170861461,0.176450967,-81.71737418,-122.2946958,118.0984427,-81.70865009,-33.64396997,-151.2749811,1,0
5.49654E-06,0.87711464,0.884610316,0.699480524,0.170862222,0.176458563,-81.71913572,-122.293159,118.0974388,-81.71039333,-33.64301148,-151.2729625,1,0
5.49654E-06,0.877106209,0.884610345,0.699485288,0.170864119,0.17646605,-81.72019507,-122.2919309,118.0975277,-81.71144057,-33.64160138,-151.2718328,1,0
5.49679E-06,0.877061765,0.88461164,0.699489721,0.17086924,0.17648017,-81.72130081,-122.2893334,118.1004156,-81.71254584,-33.63832296,-151.2709083,1,0
5.49704E-06,0.876933512,0.884618413,0.699510248,0.170873297,0.17650515,-81.72631408,-122.2798434,118.1077233,-81.71760715,-33.63460233,-151.2657775,1,0
5.49679E-06,0.876503825,0.884672543,0.69954205,0.170874804,0.176532613,-81.7338422,-122.2536283,118.1382643,-81.72515438,-33.63225476,-151.2582974,1,0
5.49704E-06,0.875915953,0.884787058,0.699560642,0.17085504,0.176522047,-81.74020078,-122.2191853,118.185131,-81.73153084,-33.6385535,-151.251378,1,0
5.49679E-06,0.875557995,0.884876926,0.699558561,0.170818669,0.17647149,-81.7408501,-122.2000585,118.2170024,-81.73235094,-33.6515958,-151.2476818,1,0
5.49679E-06,0.875632015,0.884819987,0.699553738,0.170778761,0.176410632,-81.73933474,-122.209309,118.2110252,-81.73066296,-33.66589744,-151.2444697,1,0
5.49679E-06,0.875709028,0.884771139,0.699552362,0.170765588,0.176393011,-81.739585,-122.2161859,118.2038847,-81.73081507,-33.67002492,-151.2428733,1,0
5.49679E-06,0.875709028,0.884771139,0.699552362,0.170765588,0.176393011,-81.739585,-122.2161859,118.2038847,-81.73081507,-33.67002492,-151.2428733,1,0
5.49679E-06,0.875858437,0.884682021,0.699551839,0.170751159,0.17637176,-81.73900911,-122.2292728,118.1897464,-81.73008951,-33.67468784,-151.2411987,1,0
5.49654E-06,0.875913613,0.884646158,0.699551556,0.170742834,0.176361364,-81.7393062,-122.2342208,118.18446,-81.73028403,-33.67697229,-151.2398475,1,0
5.49629E-06,0.875884893,0.884670541,0.699553647,0.170735858,0.176345763,-81.73724793,-122.232472,118.1873576,-81.72812935,-33.68035477,-151.2395687,1,0
5.49629E-06,0.875847091,0.884698689,0.699540188,0.170715508,0.176336316,-81.74190171,-122.2282731,118.192872,-81.73270676,-33.68112774,-151.2350383,1,0
5.49629E-06,0.875613331,0.884926917,0.699537156,0.170682404,0.176293747,-81.73963658,-122.2043825,118.2191931,-81.7303695,-33.68914496,-151.2300063,1,0
5.49629E-06,0.875218149,0.885411602,0.699546614,0.170593551,0.176194134,-81.73527117,-122.1552522,118.2655193,-81.72645093,-33.70881632,-151.2118841,1,0
