Va	Vb	Vc	Ia	Ib	Ic
0.091699763	0.074471992	0.856150741	0.645589847	0.625471649	0.149723546
0.44300687	0.448139119	0.877349335	0.606596122	0.576589968	0.170605853
0.86897596	0.08336603	0.075782798	0.162675877	0.674386134	0.661209368
0.480832359	0.405737271	0.877338372	0.574619908	0.532074846	0.170547674
0.057112627	0.044565974	0.075339219	0.67560131	0.674659353	0.676297358
0.455009645	0.435885141	0.877399717	0.611028609	0.577432905	0.170589364
0.091767477	0.07448445	0.856648134	0.645619535	0.625549659	0.150021405
0.87757854	0.480932237	0.410171689	0.170901316	0.559588507	0.517361964
0.05584275	0.044967632	0.074856457	0.6743589	0.674718555	0.675754265
0.48075333	0.405845216	0.877430144	0.57474062	0.532322065	0.170572059
0.877481092	0.480469968	0.405863538	0.170541991	0.575058453	0.532712746
0.103142627	0.099203355	0.84151786	0.627744272	0.60244576	0.135035382
0.87773522	0.473618125	0.404227554	0.170542338	0.625820937	0.58609085
0.868704862	0.081272026	0.078165289	0.162580558	0.674614336	0.662697678
0.047136212	0.871204661	0.87394138	0.656922314	0.164495048	0.16802672
0.087124484	0.077245225	0.868892376	0.672695602	0.661592984	0.162584625
0.402876394	0.877367433	0.485751906	0.564889019	0.170493436	0.607598356
0.054740505	0.05536425	0.054866109	0.69035649	0.690281301	0.690900354
0.847177859	0.147469562	0.859956596	0.150316	0.562781652	0.152475994
0.877644248	0.459623904	0.429667199	0.170831849	0.559793199	0.524480796
0.882542373	5.49957E-06	0.875277423	0.174540454	0.699341008	0.170159468
0.864342717	0.856010836	0.116638661	0.155763054	0.155660201	0.590382209
0.876705825	0.884557673	0.054273853	0.170965633	0.17561476	0.690508536
0.856101987	0.123041573	0.864075183	0.156485138	0.588509071	0.155821929
0.299966033	0.825837722	0.291527787	0.588080871	0.118812009	0.61801537
0.877836344	0.473662329	0.404285659	0.170633437	0.625787917	0.58611409
0.141475643	0.825490307	0.149073719	0.573900935	0.118508204	0.601603316
0.84155708	0.113818941	0.10012119	0.13507114	0.625717296	0.600454036
0.124669704	0.103198637	0.841595535	0.624089282	0.598335336	0.135119244
0.084088133	0.868976846	0.085546717	0.660154513	0.162621088	0.674351899
0.873842366	0.047226399	0.869871373	0.16846399	0.65692946	0.16454313
0.128340857	0.108862497	0.146671346	0.616339845	0.614728214	0.615794943
0.863768353	0.85723392	0.130319573	0.155230306	0.157094308	0.586597891
0.077063956	0.8676885	0.864985455	0.623034676	0.1600502	0.160934475
0.045776499	0.049044292	0.052047066	0.657759499	0.65815686	0.659398894
4.79854E-06	0.881414223	4.93738E-06	0.699334689	0.175017542	0.699150978
0.424390721	0.877452306	0.465485012	0.573146838	0.170547758	0.609867926
0.864061451	0.857443911	0.130297837	0.155386689	0.157334573	0.586535819
0.883046753	0.054279134	0.875972686	0.174872902	0.69054825	0.170761779
0.074057161	0.855645911	0.082322441	0.627632134	0.149192297	0.64828441
0.415738984	0.878018508	0.462306198	0.589661794	0.170776963	0.62617188
0.054599712	0.054273285	0.881652838	0.689901986	0.69066163	0.175085136
0.401890882	0.878052427	0.480905285	0.548320896	0.170242636	0.590147226
0.013878068	0.014359535	0.013942012	0.696962929	0.697563789	0.697499931
0.044560973	0.872583836	0.874580089	0.659195869	0.165667474	0.16841169
0.04197948	0.041051569	0.042523871	0.692793208	0.691726157	0.692372154
0.329206	0.825999012	0.322307331	0.586971057	0.118628439	0.613268173
0.470322203	0.41983894	0.877643324	0.559665173	0.520984618	0.170868269
0.872488309	0.874815219	0.0651805	0.1647882	0.16850803	0.652862791
0.095385196	0.86634411	0.866045411	0.617519011	0.158874655	0.162002118
0.864563687	0.854876055	0.111458302	0.155792302	0.154687327	0.59190121
0.100137935	0.081310441	0.869210695	0.66921434	0.657605448	0.162733077
0.095429477	0.866783314	0.865675035	0.6175322	0.159203057	0.162113823
0.278576452	0.282501577	0.826249597	0.610910576	0.581610565	0.119086492
0.422331827	0.878066395	0.459339042	0.555348235	0.170559249	0.591192701
0.223680146	0.219593834	0.825279511	0.607370409	0.582960193	0.118859702
0.070179126	0.06542862	0.085121455	0.670337946	0.670891239	0.672314303
0.497003268	0.5124178	0.877472344	0.559549743	0.531391078	0.170609693
0.486099811	0.524511309	0.87770173	0.5605506	0.53176108	0.170660883
0.860176483	0.845083275	0.147489267	0.152689985	0.150279743	0.562888814
0.469858616	0.415679677	0.877384748	0.575417852	0.53626207	0.170597602
0.843886601	0.137131211	0.861625008	0.148848028	0.566226726	0.154334266
0.140053595	0.131883566	0.82551067	0.604223145	0.575942283	0.11901847
0.040827259	0.046619226	0.074926156	0.677223613	0.678237718	0.680676149
0.871634294	0.875270045	0.047483949	0.165028131	0.168862401	0.65713044
0.855228043	0.107571332	0.865419754	0.154924082	0.593873023	0.157124353
0.461837207	0.415278758	0.877088406	0.626105532	0.589702983	0.170468242
0.0625021	0.062483593	0.062430355	0.638357983	0.638388108	0.638519671
0.047128979	0.871470154	0.874095184	0.656918063	0.164585182	0.167872941
0.859866153	0.846083703	0.147435443	0.153155101	0.150807429	0.56253172
0.081773242	0.867437663	0.865275914	0.621325891	0.160027361	0.16161484
0.864167145	0.855692777	0.116634941	0.155701259	0.155689497	0.590340327
0.066268698	0.078524925	0.855783718	0.653527237	0.633151266	0.149617467
0.841723484	0.10289917	0.098932896	0.135017859	0.627686876	0.602600059
0.848769151	0.846678522	0.847655495	0.257075971	0.257171712	0.256429124
0.05537843	0.87101025	0.874657636	0.654918493	0.164736468	0.168553703
0.459234082	0.422208309	0.877884582	0.590940492	0.555144682	0.170331608
0.059600112	0.064638999	0.062850775	0.652365814	0.652327573	0.651658955
0.86708475	0.103994489	0.86662806	0.162813774	0.615312438	0.159195382
0.455221983	0.435491409	0.877355129	0.609863178	0.576613291	0.170594758
0.10219971	0.841583281	0.083434541	0.606189414	0.134760218	0.631264565
0.103087489	0.099122446	0.841742907	0.627776836	0.602666783	0.134958569
0.875907718	0.883345394	5.49578E-06	0.170611259	0.17522933	0.699305579
0.133745738	0.86200242	0.844364318	0.567774471	0.154847638	0.147858249
0.841436134	0.102896079	0.099013366	0.135000019	0.627589476	0.602478547
0.054543878	0.055159005	0.055128226	0.690495542	0.689980027	0.689872266
0.09998722	0.081324112	0.869210293	0.669234363	0.657583375	0.162747621
0.054295478	0.881319275	0.054630993	0.691018562	0.175461316	0.690001589
2.78775E-06	2.90859E-06	2.81451E-06	0.699436413	0.698789218	0.698961179
0.137180966	0.861356191	0.843615881	0.566297819	0.153971995	0.148680782
0.844792254	0.147477019	0.858161513	0.150147806	0.562772659	0.152500303
0.862333045	0.84527434	0.13724033	0.154388243	0.149019254	0.566230937
0.124678785	0.103200988	0.841769111	0.624178718	0.598605698	0.135206119
0.414074173	0.87745171	0.475743486	0.566206399	0.170654513	0.605514451
0.876665577	0.884664965	5.49679E-06	0.17084522	0.175797656	0.699379596
0.076998772	0.867933301	0.86495835	0.623030255	0.16006928	0.160964713
0.844730114	0.141724404	0.86087407	0.149597546	0.564646202	0.153614313
0.825840396	0.281000725	0.297920747	0.118489137	0.610404105	0.582954309
0.865730477	0.087709145	0.866803152	0.161862276	0.619341931	0.159304004
0.86659586	0.866653852	0.104468068	0.159131662	0.162812983	0.615226435
0.401227196	0.877021272	0.480525259	0.548589851	0.169974558	0.590469464
0.855030436	0.111467534	0.86397572	0.154651508	0.592171902	0.1557292
0.427287585	0.87801318	0.450710999	0.59310822	0.170824528	0.62647405
0.051884263	0.053503017	0.058086081	0.654026218	0.654133998	0.654135158
0.123092993	0.863808652	0.85613648	0.588680776	0.15516134	0.156297222
0.054335943	0.881794092	0.054612531	0.691011826	0.175527634	0.690435475
0.872689477	0.874756625	0.055333729	0.16563756	0.168740324	0.654748256
0.458905789	0.421882895	0.87723059	0.590675085	0.555022846	0.170301554
0.083555182	0.868875851	0.084823102	0.660343115	0.16267065	0.67298403
0.85595646	0.107571807	0.865076269	0.155185264	0.593663348	0.157087546
0.404174202	0.877628768	0.473565493	0.586220267	0.170788199	0.625865318
0.867312729	0.865290816	0.077621242	0.15968007	0.161201189	0.622828033
0.877360413	0.473583635	0.410177953	0.170543363	0.609097273	0.569258948
0.450311688	0.426879032	0.877205483	0.62638657	0.593236003	0.170320147
0.405956986	0.877357885	0.480535506	0.532709094	0.170522953	0.575074327
0.041552905	0.882148369	0.041502616	0.692655214	0.175512793	0.69213477
0.882558289	5.50007E-06	0.876471191	0.174954085	0.699379454	0.170414306
0.459014499	0.425712861	0.877361079	0.575891668	0.539694418	0.170582357
0.861330045	0.844846172	0.137195019	0.153968794	0.14861747	0.566215526
0.882632132	0.054624219	0.054197227	0.175696269	0.690140959	0.690421572
0.070375299	0.071536599	0.074192554	0.649853734	0.650215928	0.650647509
0.466032932	0.423919679	0.877373364	0.608773255	0.572065198	0.170556068
0.872549099	0.873787116	0.047219403	0.165316798	0.168363182	0.656987382
0.070472829	0.071164349	0.073791524	0.650319422	0.649520242	0.650085824
0.081811287	0.867115814	0.866220025	0.621086603	0.159840407	0.161954101
0.091504699	0.076365171	0.869351262	0.670282033	0.660235637	0.162596499
