Va	Vb	Vc	Ia	Ib	Ic
0.877738176	0.448099532	0.433129943	0.170621294	0.591235933	0.558689979
0.843879997	0.137130384	0.861624801	0.148846254	0.566230162	0.154332628
0.045678212	0.049184688	0.05229642	0.657786864	0.658152294	0.659410516
0.413710521	0.877393223	0.475671432	0.566062482	0.170670383	0.605780334
0.877674624	0.459677849	0.429631814	0.170630534	0.559633324	0.524557694
0.055369981	0.871825038	0.87437703	0.654901813	0.164640534	0.168453061
0.147044837	0.133403019	0.825875521	0.601782608	0.571759432	0.119251047
0.028180092	0.028160378	0.881766917	0.69471384	0.694894017	0.175439736
0.081604022	0.869225023	0.099295658	0.656379666	0.162643343	0.669014951
0.860452363	0.845184977	0.147498858	0.15292432	0.150497433	0.562911745
0.00000496	0.0000048	0.881616069	0.699313807	0.699108509	0.175054271
0.87727681	0.448051384	0.43583162	0.170594865	0.575677646	0.542799279
0.877771384	0.877222325	0.878140978	0.170974493	0.17069578	0.171017523
0.02747147	0.88181826	0.027734847	0.695166265	0.175376767	0.695219985
0.413721102	0.8773842	0.47567038	0.566004333	0.170681054	0.605588946
0.869007219	0.083261873	0.075683186	0.1626524	0.674200894	0.661511585
0.47603991	0.413058618	0.877336045	0.610545358	0.570858888	0.170524599
0.872917229	0.875946439	0.047453257	0.165341308	0.169257874	0.657158434
0.459040345	0.425631803	0.877313941	0.575708786	0.53952548	0.170588443
0.013708073	0.876714049	0.883820956	0.697354802	0.170940413	0.175525244
0.877298446	0.437044576	0.44632199	0.170588359	0.575706497	0.546060865
0.069819249	0.051548083	0.082292953	0.673226087	0.672570385	0.67402021
0.040857103	0.876036609	0.883300638	0.693088754	0.170555005	0.175764598
0.844920812	0.137223421	0.861538978	0.148836451	0.566265571	0.154249121
0.00000482	0.881564383	0.00000488	0.699343829	0.175330295	0.699195893
0.825882719	0.217463687	0.224637508	0.118732055	0.611224898	0.583653037
0.10402438	0.866210068	0.866685955	0.615577939	0.159182288	0.162870753
0.103436674	0.841713592	0.125059518	0.598518482	0.135319662	0.623479528
0.876135396	0.884091987	0.0000055	0.17084002	0.175801431	0.699390442
0.124386473	0.111842841	0.142834642	0.615226577	0.615323581	0.615953248
0.877807974	0.484951033	0.393107049	0.170789978	0.625048754	0.582516463
0.066354706	0.078408301	0.854506349	0.653775161	0.634237569	0.149020804
0.051884263	0.053503017	0.058086081	0.654026218	0.654133998	0.654135158
0.102841273	0.078806317	0.855383668	0.643726242	0.623672126	0.149263374
0.455041636	0.435865982	0.877395449	0.611021559	0.577437658	0.170590753
0.054615618	0.05427441	0.882205495	0.689910091	0.690505268	0.175514819
0.080266536	0.855645007	0.104301848	0.623575128	0.14935127	0.643715129
0.127702173	0.321616668	0.225114175	0.622807938	0.623842702	0.620990413
0.140389406	0.130999879	0.826498941	0.606106115	0.577554869	0.11931851
0.461610213	0.415053714	0.876636119	0.626163159	0.589653584	0.170504446
0.041175243	0.881805206	0.041692429	0.692960124	0.175259603	0.692809851
0.437660485	0.444776049	0.877097825	0.592258943	0.562875636	0.170403598
0.860884277	0.846057916	0.14743751	0.15337333	0.150853175	0.562907558
0.055363912	0.872721138	0.875042324	0.654999108	0.164924588	0.169026103
0.065200627	0.87168162	0.875023905	0.652841548	0.164483111	0.168682801
0.085658034	0.869076992	0.082543761	0.665422078	0.162541875	0.677391672
0.877448739	0.473491825	0.410125115	0.170616335	0.609295876	0.569487715
0.099344816	0.131580848	0.171154826	0.617235635	0.621460091	0.621719449
0.040862007	0.875237417	0.883708283	0.693146924	0.170666329	0.175619764
0.289817913	0.284788289	0.825864128	0.613742646	0.584677576	0.118708555
0.846197151	0.846831672	0.846185187	0.256285189	0.25731027	0.256568155
0.435880178	0.877259283	0.448038322	0.542885052	0.170510473	0.575832001
0.857216966	0.123036872	0.864570486	0.156507955	0.588441264	0.155482787
0.088238191	0.080196498	0.868772775	0.672373854	0.66038078	0.162685039
0.841621365	0.124971825	0.103851964	0.135296696	0.623276656	0.597887671
0.480597129	0.405858046	0.877241572	0.574471676	0.531973655	0.170536832
0.437104372	0.446359485	0.877397323	0.57577672	0.546047249	0.170617872
0.869014475	0.080164138	0.077426558	0.162581055	0.674681354	0.663140312
0.092539085	0.080517083	0.869017508	0.667807443	0.657096238	0.16264854
0.059374902	0.064128266	0.063364738	0.652179925	0.651565923	0.651808619
0.872668124	0.87436838	0.075947469	0.164500116	0.168345463	0.650436713
0.077048046	0.867548851	0.864421504	0.623190155	0.160162886	0.16116908
0.057366167	0.045118618	0.076485298	0.67548665	0.674644257	0.676415618
0.826597341	0.262923626	0.283837736	0.118740244	0.611938912	0.584262536
0.247405542	0.261329812	0.825064505	0.609426124	0.581177499	0.118509757
0.040155167	0.04739787	0.075018435	0.676463377	0.677393771	0.677355941
0.868820389	0.076229199	0.079244132	0.162528277	0.67643328	0.66433455
0.863816288	0.863235703	0.86381925	0.219186858	0.219123245	0.219585086
0.141845486	0.86012939	0.843996513	0.564532233	0.153800234	0.149839859
0.402603884	0.877412215	0.485703088	0.564838556	0.170547336	0.607539814
0.438368628	0.444862977	0.877708216	0.593224151	0.563483205	0.17059385
0.859307723	0.846104536	0.153989126	0.151985403	0.151159164	0.560976947
0.14706196	0.133355536	0.825864317	0.601770056	0.571767622	0.119262345
0.437106857	0.4463694	0.87740829	0.575775069	0.546052044	0.170610267
0.344101557	0.825342155	0.334423923	0.582023492	0.118447731	0.613155323
0.130754314	0.110918717	0.153920036	0.615571966	0.614222616	0.614982756
0.448586209	0.439418032	0.877072552	0.559650512	0.527852302	0.170383782
0.882483865	0.027326533	0.876653158	0.175504208	0.695211618	0.170929172
0.439984461	0.878134013	0.449060867	0.527519836	0.170836343	0.560014284
0.86891387	0.090130453	0.076009455	0.162711353	0.671517409	0.659233687
0.442945364	0.448251162	0.877347035	0.606569875	0.576604725	0.1706031
0.866871038	0.866384432	0.095503677	0.159234912	0.162190271	0.617321735
0.44813782	0.43590076	0.877402458	0.57581421	0.542881297	0.1705548
0.843653139	0.84644943	0.845068648	0.256817005	0.256919842	0.257423835
0.435915892	0.877325937	0.448013476	0.542860738	0.170622108	0.575863964
0.413974298	0.87747036	0.475963001	0.566495651	0.170629431	0.605698233
0.877342261	0.473416963	0.40403712	0.170577998	0.625889969	0.58604236
0.48077613	0.410077692	0.87732349	0.559244344	0.517660925	0.170423232
0.86395156	0.854290158	0.107641296	0.156370361	0.154045444	0.59386967
0.051899803	0.053785983	0.058528949	0.654479382	0.654293528	0.654498452
0.125049298	0.294796904	0.202337048	0.623072022	0.628241543	0.623330569
0.875336134	0.883724846	0.054273403	0.170872963	0.175701793	0.690474175
0.842929453	0.133822525	0.861784458	0.147399865	0.567710518	0.154435047
0.825390784	0.20574475	0.197058258	0.11880547	0.6108378	0.578766817
0.09924062	0.841734615	0.103029793	0.602418947	0.13490981	0.627645011
0.027327415	0.87672562	0.884023368	0.69524637	0.171163728	0.175715711
0.470099675	0.41956177	0.877144481	0.559660605	0.521080331	0.170781484
0.476039937	0.413058626	0.877336047	0.610545397	0.570858899	0.170524599
0.841852739	0.103001884	0.099087025	0.135033614	0.627747271	0.602569489
0.062532117	0.06248079	0.062468378	0.63840403	0.638420859	0.638521312
0.857051163	0.130438711	0.862844887	0.156820293	0.586479452	0.154616951
0.877737491	0.468818794	0.482014795	0.17043813	0.562142997	0.533440089
0.45957239	0.429653287	0.877585798	0.559748495	0.524373011	0.17065727
0.08184148	0.0799231	0.868958825	0.67526517	0.662527004	0.162504091
0.42418479	0.877388526	0.465194699	0.573174648	0.170547323	0.609860915
0.054273854	0.877105036	0.88270928	0.690476257	0.171310254	0.175330062
0.825133093	0.148416513	0.130774827	0.11918873	0.603229953	0.575757367
0.054289261	0.881770178	0.054631636	0.690827048	0.175504708	0.690537704
0.05537843	0.87101025	0.874657636	0.654918493	0.164736468	0.168553703
0.427118609	0.877676849	0.450543686	0.593135932	0.170497037	0.626502657
0.847479451	0.153921284	0.860376869	0.15144921	0.560938522	0.15210093
