Va	Vb	Vc	Ia	Ib	Ic
0.01370578	0.876162899	0.881523948	0.697297902	0.170832994	0.175203372
0.411678539	0.877665077	0.470074826	0.551429021	0.170758756	0.590701402
0.484999727	0.393140911	0.877889106	0.625363311	0.582478473	0.170580999
0.877988042	0.437723887	0.444419185	0.170661105	0.591104938	0.561526325
0.473784685	0.404408807	0.878081051	0.625978977	0.586117503	0.170505961
0.847796192	0.846416873	0.84741676	0.258164213	0.257176698	0.25754325
0.841708991	0.102985062	0.099082626	0.13503928	0.627702064	0.60256035
0.051965767	0.05350657	0.058251479	0.653765839	0.65427724	0.653527567
0.082441318	0.273578333	0.255570663	0.620215492	0.623406931	0.624731041
0.88156498	0.028060776	0.027593702	0.175345823	0.694995194	0.695398319
0.091883607	0.079916288	0.869350765	0.667946097	0.656985688	0.162683839
0.46209819	0.415536516	0.877607644	0.626317143	0.589586132	0.17075404
0.166971295	0.154402501	0.095181772	0.617555862	0.617040339	0.615764782
0.866894419	0.095570104	0.866833347	0.162318076	0.61740033	0.159353737
0.459854396	0.429966211	0.878187886	0.559863137	0.524463856	0.170781658
0.42961555	0.877656286	0.459688381	0.524430577	0.170846292	0.559753043
0.841325296	0.102857	0.099039774	0.134987449	0.627722709	0.602776571
0.86615846	0.077094124	0.868346657	0.161668089	0.623246569	0.159942204
0.845313473	0.147458475	0.859718341	0.149915563	0.562725858	0.152375287
0.877275242	0.459108819	0.422089774	0.170353124	0.59076724	0.554955753
0.871397923	0.874947598	0.046349644	0.165043443	0.168492449	0.658056749
0.091760142	0.074506455	0.855803192	0.645704208	0.625409899	0.149628402
0.44541143	0.877495187	0.438137116	0.562995251	0.170554213	0.592671248
0.05453129	0.05448247	0.05471007	0.690413167	0.689984449	0.690821998
0.123110761	0.864442014	0.857096251	0.588518318	0.155849709	0.156785893
0.863893022	0.863745772	0.863081838	0.218417643	0.219431068	0.218838358
0.824938653	0.823042046	0.825041684	0.29855602	0.298585484	0.298174966
0.086832869	0.869345865	0.083208648	0.665446595	0.162470245	0.67755501
0.401228941	0.877053573	0.480539101	0.548585115	0.169923179	0.590436393
0.279733877	0.300049857	0.82588281	0.612913432	0.583786437	0.118715004
0.343401539	0.825285033	0.332219683	0.582218635	0.118455403	0.613209932
0.07472327	0.856336668	0.091495282	0.625669758	0.149749443	0.645797283
0.275992627	0.281038402	0.82612073	0.612465595	0.581283726	0.118774078
0.058872978	0.038434607	0.077390594	0.67944781	0.679104933	0.679973801
0.427013337	0.877465971	0.450437786	0.593042386	0.170486651	0.626488834
0.04197906	0.041051546	0.04252276	0.692797064	0.691725914	0.692368116
0.876127855	0.883684941	0.027322957	0.170420207	0.175725574	0.695116668
0.867014859	0.104042987	0.866559453	0.162868597	0.615452777	0.158937569
0.480844385	0.401360623	0.877515268	0.59024271	0.548164881	0.170872331
0.058989928	0.038876051	0.07796266	0.679826629	0.678998064	0.680210205
0.856601331	0.06869137	0.072139098	0.149404405	0.649902549	0.628640507
0.874368332	0.047314909	0.871629322	0.16845965	0.656746197	0.164659825
0.857970468	0.13048466	0.862826098	0.157061198	0.586550921	0.154934993
0.877219335	0.450315122	0.426889444	0.170593663	0.626390931	0.593168357
0.882583534	0.040847757	0.876136462	0.174528126	0.692855771	0.170548522
0.86763899	0.865743684	0.081974715	0.159861732	0.16152483	0.620955881
