Va	Vb	Vc	Ia	Ib	Ic
0.864800494	0.856053663	0.116574331	0.156142539	0.156059744	0.590414612
0.047136711	0.872425346	0.874710979	0.656930057	0.165251501	0.168287197
0.065237379	0.872126342	0.873659428	0.652770957	0.164946857	0.168510025
0.876784682	0.884052246	0.054279861	0.17137993	0.175384154	0.690601654
0.826212526	0.221261316	0.236732573	0.118816793	0.610239654	0.582434573
0.857216966	0.123036872	0.864570486	0.156507955	0.588441264	0.155482787
0.00000486	0.882042242	0.00000483	0.699160295	0.175437707	0.699278243
0.859980528	0.844862215	0.13728678	0.154033938	0.148770523	0.566209869
0.122682372	0.112894366	0.147290626	0.616647292	0.614894875	0.616099768
0.047132556	0.87197512	0.873927981	0.656880593	0.165296817	0.168286494
0.045724273	0.047742437	0.053590739	0.655706472	0.656290339	0.656559063
0.877858762	0.481043271	0.410336009	0.170433718	0.559294929	0.517599994
0.062475	0.062478695	0.062437872	0.638261051	0.638412797	0.638522178
0.859613585	0.846540472	0.154008657	0.152384388	0.151446854	0.560911796
0.044698557	0.048492689	0.051313531	0.657217252	0.65812285	0.659127973
0.8559903	0.116691167	0.863528803	0.155882457	0.590402051	0.155938275
0.877410492	0.470560186	0.41178276	0.17034219	0.590697061	0.551695205
0.102883718	0.84194514	0.124987404	0.598586811	0.135194769	0.623668901
0.881397755	0.041180282	0.040963434	0.17532589	0.692532894	0.693043001
0.070359215	0.071443299	0.074122039	0.650267306	0.649498139	0.649898397
0.147044837	0.133403019	0.825875521	0.601782608	0.571759432	0.119251047
0.331149578	0.826181136	0.330301667	0.584359627	0.118892768	0.613012015
0.855274266	0.111425178	0.8643645	0.154997602	0.592010709	0.155904418
0.013708159	0.876562933	0.883598207	0.697410229	0.171186824	0.175251418
0.877426556	0.459021748	0.425670199	0.170606396	0.575727253	0.539677294
0.826286753	0.239372485	0.236947944	0.118864328	0.613648792	0.584949723
0.124672756	0.10317294	0.841583472	0.624007538	0.598325095	0.135137637
0.424747013	0.877439438	0.464689654	0.573038997	0.170558956	0.609794091
0.445695849	0.877482603	0.437823624	0.563007519	0.170531272	0.592670229
0.881498554	0.00000482	0.0000049	0.175293236	0.699633208	0.699594481
0.864469192	0.855538047	0.111454697	0.15621181	0.155398518	0.592238754
0.438640619	0.438635937	0.877302662	0.626531621	0.596321066	0.170437899
0.87738786	0.46271315	0.420668636	0.170664022	0.609512197	0.572975974
0.480798063	0.401473983	0.877590814	0.590055791	0.548321125	0.170248076
0.87370704	0.873587037	0.874809546	0.189004809	0.18881374	0.189803014
