Vam	Vbm	Vcm	Iam	Ibm	Icm
0.875341281	0.055302935	0.872412171	0.168486837	0.654900213	0.164776729
0.844962817	0.141818403	0.860398452	0.149811765	0.564605649	0.153430596
0.845130305	0.133786387	0.86237706	0.148834521	0.567655149	0.155730253
0.825509713	0.146550127	0.129864321	0.11911134	0.602665612	0.573980711
0.854594445	0.116639164	0.8643162	0.155944415	0.590329758	0.156070398
0.469849903	0.415739178	0.877370681	0.575362265	0.536096673	0.170516478
0.068587238	0.080329636	0.855569723	0.652262944	0.632438497	0.148941967
0.047428399	0.872330667	0.87440299	0.658375999	0.164795728	0.168527683
0.85581156	0.079838331	0.071559603	0.149618869	0.647988515	0.62774069
0.116724385	0.864424083	0.855869251	0.590346208	0.155684222	0.155812055
0.080544602	0.209872221	0.205431592	0.620387266	0.622532098	0.626357515
0.445484633	0.449613009	0.87735966	0.608489768	0.578294904	0.170592558
0.048793277	0.045578767	0.053575153	0.656236443	0.655920236	0.655826096
0.045984078	0.049413185	0.053546554	0.657672675	0.658403859	0.659034322
0.44862363	0.43958349	0.877273365	0.559743088	0.527731107	0.170332874
0.427219539	0.877875172	0.450640723	0.592921909	0.170417415	0.626595784
0.147480314	0.860364704	0.845186005	0.562724958	0.152795988	0.15045915
0.02741366	0.076854475	0.076693039	0.678670007	0.680105523	0.67852001
0.855963164	0.066005891	0.078883175	0.149226328	0.652771673	0.631910817
0.87346224	0.876083401	0.047227697	0.165483812	0.168904625	0.656965139
0.046839756	0.047690081	0.052347272	0.657152504	0.658383333	0.65821246
0.876874831	0.882985685	0.013706439	0.171509922	0.175614483	0.697308226
0.42556905	0.877406669	0.459147018	0.53975473	0.17061916	0.575795544
0.080413008	0.211196102	0.205846806	0.620389987	0.621903393	0.625603799
0.877751479	0.470095502	0.411746921	0.170318353	0.590501205	0.551753766
0.855563043	0.069012752	0.071360493	0.148997352	0.649718313	0.629470608
0.446339928	0.877335411	0.437063276	0.546052666	0.170621629	0.575690555
0.875086389	0.055340568	0.87093956	0.168468801	0.654893259	0.163921097
0.877362752	0.451408754	0.431981281	0.170562067	0.610089093	0.576535836
0.845706843	0.846468097	0.84494372	0.256738755	0.257000499	0.256661164
0.415738616	0.878009152	0.462297735	0.589595092	0.17054402	0.626276138
0.877839435	0.450623236	0.427201401	0.170581761	0.626509506	0.593022822
0.857101206	0.123151471	0.86365035	0.156268655	0.588308728	0.155232671
0.884834937	0.027327856	0.877313866	0.176193213	0.695219941	0.170763167
0.111543499	0.865116803	0.85506231	0.592207097	0.156303637	0.155318812
0.425513655	0.877316695	0.459160569	0.539538671	0.170622353	0.57563534
0.435624817	0.877327692	0.454113303	0.576788016	0.17052061	0.610263034
0.448120291	0.436003509	0.87740471	0.575573385	0.542812094	0.170588018
0.077326964	0.868066353	0.865025005	0.623199437	0.16003747	0.161571751
0.866935709	0.087931861	0.866855085	0.162327723	0.619543129	0.159491158
0.092616857	0.099697654	0.841599868	0.629579033	0.604410315	0.134910325
0.881003643	0.014146103	0.014331424	0.175198261	0.696268023	0.697306935
0.086181386	0.076987663	0.869051173	0.672158764	0.660428525	0.162636852
0.876479064	0.882758115	0.027326112	0.171194275	0.175535815	0.695160011
0.846316344	0.846064672	0.845547806	0.256718763	0.25693885	0.256738904
0.422139147	0.877301474	0.459037079	0.555138302	0.170501382	0.590883103
0.081435701	0.855339586	0.067808206	0.63199241	0.148863948	0.653123296
0.124286847	0.122346645	0.098450761	0.612765753	0.611664069	0.614300643
0.05530024	0.870975169	0.873859241	0.65492689	0.164318656	0.168160332
0.883070706	0.054280963	0.875645941	0.175536188	0.690629032	0.170370173
0.415723494	0.877978054	0.462281713	0.589600668	0.170568516	0.626260231
0.446366785	0.87737747	0.437077124	0.546080223	0.170614427	0.575719127
0.063483174	0.059927298	0.065470294	0.651943486	0.652021952	0.651596319
0.877365703	0.448088151	0.435880907	0.170606767	0.5757296	0.542793078
0.126757349	0.825674819	0.144572755	0.575073612	0.118528109	0.603853935
0.17093023	0.091260125	0.171181425	0.618947398	0.616458753	0.621000784
0.267100886	0.280066671	0.826677548	0.61616891	0.589626115	0.118886342
0.876745561	0.883802973	0.027326001	0.171031936	0.175726696	0.695178196
0.113871711	0.100210069	0.841692733	0.62581504	0.600515791	0.135059011
0.458918481	0.421926498	0.877275735	0.590656529	0.554943457	0.170454835
0.405940121	0.877400976	0.480575612	0.532727129	0.170498077	0.57516855
0.309423913	0.82587831	0.313575729	0.585267973	0.11856972	0.615551682
0.87557362	0.076041525	0.871285614	0.169092113	0.650427036	0.164334659
0.877342585	0.439468478	0.444044097	0.170554589	0.609247155	0.579038962
0.137167642	0.860101465	0.843312919	0.566215373	0.153867905	0.14840259
0.083570202	0.869278089	0.099799253	0.655263012	0.162715984	0.667595269
0.855208047	0.091324902	0.074288667	0.149248949	0.645681036	0.62561121
0.439812573	0.877876727	0.448959803	0.527594994	0.170602108	0.559882381
0.867528639	0.865636323	0.081530484	0.159791952	0.161642063	0.62151419
0.863796616	0.855396019	0.116730268	0.155464261	0.155393952	0.590262976
0.04105211	0.041050413	0.041213303	0.692359842	0.692255218	0.692453624
0.251528615	0.825496703	0.246274207	0.585056381	0.11847691	0.611931786
0.401604351	0.877195628	0.480637935	0.548072461	0.170430006	0.59030856
5.49603E-06	0.874149946	0.882238926	0.699411105	0.170071332	0.175480458
0.41202575	0.877917106	0.470487182	0.551738394	0.170686039	0.590725762
0.446330162	0.877320026	0.437058044	0.546043029	0.170620572	0.57568349
0.147438456	0.860092017	0.845431758	0.562802226	0.152722932	0.150364433
