Vam	Vbm	Vcm	Iam	Ibm	Icm
0.855526894	0.07985247	0.071551823	0.149324049	0.647756725	0.627762722
0.154054254	0.85866525	0.847091357	0.56095069	0.152133682	0.151475169
0.454975999	0.436191382	0.877316461	0.609984985	0.576430175	0.170582517
0.404155856	0.877566502	0.473523075	0.586027204	0.170599201	0.62588357
0.8602524	0.846786748	0.153990062	0.15256148	0.151743463	0.561059132
0.458951906	0.425711596	0.877271923	0.575651498	0.539537384	0.17054658
0.125885687	0.825727583	0.144230639	0.575121933	0.119214279	0.603583
0.877383593	0.458985642	0.42565785	0.170588793	0.575638164	0.539592243
0.874860718	0.076016999	0.871076802	0.168989606	0.650598586	0.164251359
0.860093775	0.846566971	0.147461344	0.153053642	0.150833141	0.562566069
0.45913751	0.425668118	0.877427594	0.57541313	0.539296472	0.17062071
0.846811039	0.847144792	0.847657736	0.257212912	0.257265894	0.257591605
0.845834528	0.147369422	0.860267241	0.150685881	0.562843119	0.153049851
0.877402737	0.448104195	0.435906007	0.170633539	0.575717365	0.542879782
0.869181207	0.092231423	0.078621515	0.162641817	0.672060159	0.658617544
0.054626497	0.054239328	0.881952294	0.690096745	0.690112311	0.175439958
0.106520776	0.083147498	0.855090095	0.643302635	0.623451176	0.149442613
0.446284532	0.877231584	0.43701582	0.546058589	0.170582761	0.575720463
0.090470907	0.307785045	0.264715221	0.622463853	0.624103904	0.620053901
0.855545731	0.06561312	0.078145121	0.149043375	0.652376211	0.632268481
0.047194282	0.871927891	0.874378587	0.657133519	0.164873768	0.168395788
0.881610732	4.90806E-06	4.82393E-06	0.175261573	0.699291357	0.699278543
0.826465782	0.187907213	0.188249982	0.118817451	0.611595439	0.580933882
0.437803303	0.445387014	0.877680324	0.593071437	0.563437063	0.170767108
0.877240249	0.473367483	0.403983951	0.17041397	0.625892888	0.586091443
0.480684878	0.405952993	0.877446993	0.575168354	0.532703236	0.170587712
0.08633996	0.077412163	0.868880819	0.672947079	0.660840409	0.162528451
0.448411288	0.877337702	0.444895138	0.578597365	0.170604458	0.608839428
0.013770426	0.014823002	0.014581095	0.697007201	0.697309078	0.696852776
0.082360689	0.079782683	0.868787199	0.674230529	0.662404116	0.162544187
0.054439272	0.054793758	0.055104318	0.690023532	0.690781388	0.690889841
0.102232363	0.84160446	0.083347795	0.606018275	0.134837114	0.631173754
0.067319871	0.079166577	0.855528253	0.652138286	0.632907254	0.148984251
0.113871889	0.099916456	0.841745624	0.62616863	0.60106402	0.135048303
0.459664313	0.429547768	0.877576645	0.559882561	0.524464373	0.170806602
0.419977632	0.877863402	0.470394567	0.521067531	0.170775012	0.559633584
0.877715555	0.45056177	0.427139101	0.170598957	0.626507958	0.593038867
0.244957506	0.82526252	0.236537035	0.58346107	0.118475309	0.612865029
0.875738224	0.076032518	0.871101748	0.169192608	0.650453944	0.164461039
0.86173027	0.862111229	0.863454278	0.219319305	0.218581647	0.219323637
0.884311786	0.013706642	0.875752197	0.176176813	0.697351846	0.171039205
0.076633631	0.869317502	0.085314734	0.661307326	0.162507781	0.673528572
0.027470344	0.076772616	0.076620434	0.678719846	0.679463302	0.679616577
0.448781733	0.877342573	0.444562338	0.579472056	0.170597112	0.609603533
0.066137269	0.052596	0.080467765	0.673304491	0.672316457	0.674046506
0.881795035	0.027508272	0.027488026	0.175669928	0.694943893	0.695137144
0.099228819	0.841185903	0.103110226	0.602467793	0.135076895	0.627519384
0.46986472	0.415707036	0.877377366	0.57531925	0.53606362	0.170553457
