Vam	Vbm	Vcm	Iam	Ibm	Icm
0.07788657	0.080767973	0.868744751	0.675684598	0.665187072	0.16243636
0.459103449	0.425433984	0.877152972	0.57567067	0.539625553	0.170537606
0.079339753	0.869356047	0.082328674	0.662859996	0.162520878	0.674855772
0.446337606	0.877320619	0.437050694	0.546041686	0.170632494	0.575675674
0.10786781	0.865095853	0.854285789	0.593642451	0.1568292	0.154763095
0.869116804	0.092490695	0.079560436	0.162679589	0.672893017	0.659342584
0.42977586	0.877977224	0.459837256	0.524328196	0.170845349	0.559869059
0.132623671	0.825875558	0.139163534	0.576526128	0.118650525	0.60565762
0.437086479	0.446394361	0.877412616	0.575700591	0.546123533	0.17062912
0.211471271	0.207108722	0.825848174	0.610357741	0.582469782	0.119172983
0.459175582	0.422148997	0.877763769	0.59095593	0.554994702	0.170889402
0.1002736	0.841827938	0.114041224	0.600419658	0.134897638	0.625619806
0.048210377	0.041947013	0.073790356	0.677527177	0.677999302	0.680222559
0.877399393	0.461992798	0.421693347	0.170584928	0.608149628	0.571664527
0.877355707	0.437073937	0.446348674	0.170616337	0.575715345	0.546065411
0.843487073	0.137271098	0.860998774	0.148682653	0.565997936	0.154085752
0.876804294	0.882582447	0.027327333	0.170957908	0.175349162	0.695183471
0.877844829	0.450626609	0.427203432	0.170886899	0.626454932	0.593020808
0.054242656	0.881319858	0.054578312	0.691047685	0.175486251	0.690131237
0.485652405	0.402742376	0.877441808	0.607483807	0.564564907	0.170475674
0.095430125	0.866840051	0.866275385	0.617362478	0.159238889	0.162474396
0.104017999	0.866466639	0.866920624	0.615312572	0.15879751	0.162820099
0.855843639	0.103050217	0.078885954	0.149717844	0.643406318	0.623786199
0.855652838	0.10318704	0.078869297	0.149592849	0.643605673	0.623674175
0.877369782	0.461613337	0.422153264	0.170576142	0.609515636	0.573135104
0.448160956	0.432777976	0.877787197	0.591028082	0.558189825	0.170845139
0.100197968	0.841817573	0.114009798	0.600413544	0.134894649	0.625618997
0.865973291	0.081847258	0.867815215	0.162035292	0.620849312	0.159863592
0.222926763	0.826241823	0.229400905	0.582542591	0.119080847	0.612501289
0.437766712	0.44576947	0.877745766	0.593067682	0.563452418	0.170676907
0.856034654	0.116677035	0.862694701	0.155823604	0.590374121	0.155640036
0.877253746	0.43702914	0.446293495	0.170569029	0.575715027	0.546068604
0.141781299	0.860357113	0.844220867	0.564673194	0.152971113	0.149024379
0.87302724	0.87478586	0.055267775	0.164900882	0.169009767	0.654921404
0.875644474	0.065202553	0.873098707	0.169044036	0.652702056	0.164817118
4.91004E-06	0.880963975	4.83858E-06	0.699321904	0.175052196	0.699105409
0.877393278	0.469916882	0.415476005	0.170554163	0.575440536	0.536154125
0.855533734	0.079725899	0.071549473	0.14919311	0.648014407	0.627709843
0.855709324	0.103024175	0.07884638	0.149365497	0.643525152	0.623653791
0.048633403	0.041109421	0.073354546	0.677481305	0.677624514	0.679583048
0.041031312	0.881222456	0.041299907	0.693009625	0.175540287	0.692313673
0.081712266	0.079419628	0.869140529	0.673550263	0.661735553	0.162586847
0.028452314	0.881230505	0.028238303	0.695500623	0.175278973	0.695436951
0.825762686	0.19348701	0.203526956	0.118743673	0.608729537	0.57743182
0.087997499	0.867195005	0.866205852	0.619258958	0.159643185	0.162339673
0.884468465	5.49578E-06	0.874969029	0.175198156	0.699268142	0.169920353
0.141817146	0.859753093	0.843952499	0.564548128	0.153020761	0.149267513
0.866336167	0.0877772	0.867663405	0.162077715	0.619802151	0.15973685
0.438494246	0.438489496	0.877009578	0.626575476	0.596401121	0.17043092
0.863550002	0.856775282	0.12308664	0.155247524	0.156470108	0.588717188
0.872530755	0.873719222	0.065195618	0.164869788	0.168408896	0.652704159
0.081027922	0.078718541	0.868902717	0.674198196	0.662245314	0.162463334
0.843198417	0.133734833	0.860925441	0.147836782	0.567797023	0.154919442
0.091297344	0.074642084	0.855469721	0.645755558	0.625519699	0.149454969
0.425923874	0.877390791	0.464058215	0.572413217	0.17058281	0.608991479
0.041123689	0.040754682	0.881405599	0.69238061	0.692755756	0.175456329
0.864330615	0.854720928	0.107852003	0.156693024	0.154578264	0.593909274
