Vam	Vbm	Vcm	Iam	Ibm	Icm
0.480579033	0.401186429	0.877094289	0.589959585	0.548234943	0.169999537
4.87259E-06	4.93372E-06	0.881070966	0.699204757	0.699482198	0.175135947
0.878449814	0.485281654	0.393419934	0.17073693	0.625306576	0.582647737
0.076047811	0.870594003	0.874380139	0.650536446	0.164490486	0.168771638
0.079087977	0.855854666	0.102948229	0.623558309	0.149850958	0.643320939
0.108047115	0.865403653	0.854446528	0.593519328	0.156595131	0.154662542
0.480583175	0.401188599	0.877103161	0.589960324	0.548235178	0.170003626
0.875175818	0.883311519	0.027326009	0.17012082	0.175179667	0.695197743
0.04107428	0.040775945	0.881852495	0.691912741	0.692775731	0.175420057
0.865823852	0.855493566	0.107722756	0.157165597	0.154993573	0.593819477
0.41545236	0.877448092	0.4620226	0.589789405	0.170580141	0.626137702
0.873008168	0.875593444	0.047220049	0.165440675	0.168919887	0.656965759
0.439866531	0.877789992	0.448858076	0.527563079	0.170707963	0.559850228
0.84715022	0.846547278	0.847183932	0.257315638	0.256783656	0.2571811
0.459673345	0.429643354	0.877670707	0.559836385	0.524420571	0.170685543
0.44822544	0.439045341	0.876337975	0.559822937	0.527643409	0.170566919
0.84160208	0.083364973	0.102236846	0.134726991	0.631060638	0.605782213
0.46987009	0.415760337	0.877428442	0.575340038	0.536056497	0.170552586
0.027322762	0.876401922	0.882581209	0.695130756	0.170557295	0.175444321
0.862353383	0.843448675	0.1337261	0.155184691	0.148044641	0.567749598
0.865273011	0.077057785	0.867220934	0.161318761	0.623288942	0.159984601
0.439745685	0.877625481	0.448781425	0.527517294	0.170934205	0.55986188
0.410019772	0.877067993	0.480587011	0.517520981	0.170619181	0.559306149
0.436040407	0.877294817	0.454274555	0.576374032	0.170551548	0.61000609
0.32973888	0.333363104	0.825785381	0.613933554	0.582748058	0.118823118
0.027471727	0.027963872	0.02791815	0.694966981	0.694929062	0.695054936
0.882097777	0.027506809	0.027369364	0.175611902	0.694887407	0.695315189
0.843036801	0.137247164	0.86086235	0.148026574	0.566183468	0.15385716
4.92584E-06	4.89674E-06	0.88128961	0.699306443	0.69944145	0.175274219
0.323356131	0.825655715	0.30789038	0.582013587	0.118564761	0.612602212
0.877321291	0.451237607	0.431884805	0.17056394	0.610029142	0.576564846
0.444137778	0.877429263	0.439237665	0.56166117	0.170784189	0.59132808
0.075312798	0.077991074	0.855041312	0.650326294	0.629538247	0.148840468
0.880916234	4.96513E-06	4.77826E-06	0.175268395	0.699074391	0.69908966
0.072564814	0.07007395	0.07500405	0.64947213	0.649863638	0.64939739
0.438570853	0.438566138	0.87716275	0.626554546	0.596373356	0.170318533
0.877204495	0.480577647	0.401361701	0.170088415	0.589890936	0.548302266
0.415443443	0.877424908	0.462008733	0.589658846	0.170577137	0.626256552
0.047189614	0.871858491	0.874645819	0.657086516	0.165143726	0.168636951
0.079720803	0.083903757	0.868790919	0.67566342	0.663546845	0.162666172
0.877576773	0.473539208	0.404148403	0.170660961	0.625836907	0.58615697
0.445101957	0.877481526	0.43831532	0.561939303	0.170551796	0.591616793
0.081736044	0.86709955	0.865277072	0.620982375	0.15913559	0.161566121
0.07243501	0.070085335	0.075039749	0.649168378	0.649934837	0.649060761
0.393069554	0.877742127	0.484925169	0.582558135	0.170823654	0.625421108
0.20346118	0.826129989	0.211978713	0.583485708	0.119118508	0.609922935
0.876486578	0.88274187	5.49528E-06	0.171002355	0.175512537	0.699136045
0.067588595	0.067668183	0.067731292	0.636681374	0.636519818	0.636960863
0.48640315	0.402194347	0.877221323	0.607496302	0.564568842	0.170484707
0.877442994	0.480811187	0.401375489	0.170359747	0.590073615	0.54762387
0.09356326	0.303709018	0.256138959	0.622095617	0.621417595	0.619549072
0.868934772	0.098852961	0.082504079	0.162836984	0.667062639	0.654682224
0.027175667	0.075640256	0.075235156	0.679001819	0.679770335	0.679475088
0.84474586	0.147400564	0.860834323	0.150528789	0.562674626	0.152980012
0.877237136	0.438607805	0.438603136	0.170487915	0.626448316	0.596438974
0.865978793	0.081774332	0.867099729	0.16179214	0.621547136	0.15946339
0.13723229	0.861092346	0.846008223	0.56615322	0.153997877	0.148810377
0.415597884	0.877734106	0.462162879	0.589529839	0.170700591	0.62622575
0.87739097	0.469981574	0.415407871	0.170549462	0.575392798	0.536127576
0.845055093	0.14736998	0.860960574	0.150314207	0.562725721	0.152713105
0.8467602	0.847180944	0.84754944	0.257276325	0.257040033	0.257301205
0.133774134	0.86228811	0.84290373	0.567742446	0.155304779	0.148171035
0.85528794	0.068944051	0.071425293	0.14923585	0.649565506	0.629419218
0.048609823	0.044926862	0.052265456	0.656012235	0.656360538	0.656201246
0.883421799	0.054272077	0.875910667	0.175691471	0.690524946	0.170595825
0.401807427	0.877297539	0.487122868	0.564222727	0.170543981	0.607282657
0.103692432	0.841789888	0.125199122	0.598130089	0.135197121	0.623241958
0.873999513	0.047093642	0.871303381	0.168220352	0.656974511	0.164888624
0.87761538	0.484862847	0.393003387	0.170480262	0.625262277	0.582591493
0.855636849	0.068966665	0.07135819	0.14899764	0.649833613	0.629383356
0.403998962	0.877280138	0.473392172	0.586180649	0.170447218	0.625910006
0.847844531	0.846910202	0.848417251	0.257389542	0.256967306	0.257164274
0.077206803	0.869159471	0.085628522	0.661261453	0.162586092	0.673575098
0.877388294	0.469853195	0.415560676	0.170548559	0.575373006	0.536106356
0.013706148	0.874761546	0.881840765	0.697318369	0.170095491	0.175329291
0.078713297	0.855487349	0.102972822	0.62376759	0.149421492	0.643298228
0.448157672	0.432774796	0.877778707	0.591027762	0.558189929	0.17084479
0.067622992	0.079086739	0.855409471	0.652046617	0.632033038	0.14899795
0.437089124	0.44635101	0.87737232	0.575765783	0.54608812	0.170604341
0.165352392	0.091680091	0.177902352	0.612539351	0.615933924	0.618351903
0.875069344	0.055302285	0.872174259	0.168520889	0.654832743	0.164987287
0.42551474	0.877320018	0.459127831	0.539702245	0.170581384	0.575703314
0.437013873	0.44633091	0.877274594	0.575636137	0.546017463	0.1706508
0.855056416	0.108102444	0.865632853	0.155073267	0.593855654	0.157335521
0.863815117	0.862447129	0.863554645	0.219964708	0.219189437	0.219258734
0.47363129	0.404245162	0.877765697	0.625824523	0.586105162	0.170775868
0.855392533	0.068907793	0.07142941	0.148960905	0.649722953	0.629297225
0.53190896	0.512889212	0.877873298	0.561597365	0.532161255	0.170915656
0.082056872	0.855466703	0.067730471	0.632047478	0.148903042	0.653065643
0.455082593	0.4360757	0.877319784	0.610003905	0.576426266	0.170577875
0.845077741	0.141843975	0.86079723	0.149733024	0.564552621	0.153436879
0.480904722	0.401566408	0.877797494	0.590142854	0.548245593	0.170677068
0.470347296	0.419781887	0.877615438	0.559584375	0.520987727	0.170646077
0.09926131	0.841771015	0.10313671	0.602390088	0.135158023	0.627932581
0.404144764	0.87754754	0.473514978	0.586031205	0.170572795	0.625880403
0.435869079	0.877309844	0.448083205	0.542730533	0.170513259	0.575608115
0.088034601	0.867196242	0.866265541	0.619222486	0.159570501	0.162329985
4.79044E-06	0.880950445	4.86404E-06	0.699383029	0.175039137	0.69917649
0.868172175	0.104448939	0.866916592	0.162863516	0.614980494	0.159222383
0.877445971	0.461998279	0.421748206	0.170562157	0.608154329	0.571751518
0.074160841	0.85613723	0.091108924	0.625908637	0.14937167	0.645634669
0.079032658	0.855789064	0.102990274	0.623746843	0.14954653	0.643301289
0.877084163	0.469762742	0.411437591	0.170082082	0.590421869	0.551624485
0.059763971	0.043150292	0.077311323	0.674745726	0.675079489	0.676597306
0.85495119	0.108043941	0.865147378	0.154768598	0.593852981	0.157199688
0.480478656	0.4098715	0.876800284	0.559348586	0.517521894	0.170690997
0.154047427	0.857800063	0.845069203	0.560888962	0.151884701	0.151059328
0.842024794	0.125132633	0.103599519	0.135213844	0.623876117	0.598320657
0.859512953	0.84606593	0.153995154	0.152557895	0.151646483	0.560908969
0.401836928	0.877258338	0.487150191	0.564292231	0.17054278	0.607366957
0.219715847	0.82646239	0.221178873	0.583999276	0.119276952	0.612633024
0.869013423	0.078268795	0.082542745	0.162585508	0.676896611	0.665081537
0.484842384	0.392997774	0.877587744	0.625550894	0.582315549	0.170547292
0.145863423	0.129119389	0.826374835	0.603356832	0.574538867	0.119149722
0.244287058	0.825641419	0.245431653	0.58503689	0.118599264	0.613270347
0.876944383	0.884067449	5.49629E-06	0.171354842	0.175656768	0.699293149
0.054551647	0.051223234	0.057316492	0.653885425	0.654486262	0.654985399
0.062587193	0.062424331	0.062507886	0.638348739	0.638354687	0.63846668
0.129108491	0.825923399	0.145914186	0.574375161	0.118829347	0.603595464
0.145913335	0.128457387	0.82618149	0.603179889	0.574636296	0.119262085
0.448108626	0.435988468	0.877384241	0.575530835	0.542798089	0.170572415
0.874076847	0.055330218	0.87089965	0.168073332	0.654817207	0.164364794
0.825643055	0.230438438	0.246137852	0.119027031	0.606517008	0.580224526
0.883719642	0.054269371	0.87585942	0.175666	0.690488046	0.170550305
0.884804657	0.013707591	0.877088989	0.176033075	0.697382662	0.171053728
0.108025535	0.865337231	0.854511233	0.593512434	0.156459191	0.1546785
0.486606072	0.401963343	0.877328304	0.607498332	0.564606449	0.170451496
0.135207205	0.126753631	0.827324521	0.605425896	0.576624024	0.119352755
0.08661361	0.07799612	0.869127318	0.671824792	0.66063682	0.162632232
