Vam	Vbm	Vcm	Iam	Ibm	Icm
0.869209939	0.092044975	0.080335067	0.162665725	0.672272102	0.658635287
0.866532756	0.087875549	0.867085236	0.162262543	0.61949884	0.159598524
0.116688308	0.864150565	0.855919651	0.590371393	0.155606827	0.15587716
0.871767487	0.874295281	0.046738315	0.16470028	0.168357818	0.658961552
0.461865358	0.415314546	0.877152473	0.626226762	0.589548944	0.170725809
0.470005988	0.411678996	0.877600624	0.590666269	0.551499893	0.170790914
0.091200312	0.078272795	0.86917947	0.673632833	0.659673298	0.162742096
0.10026205	0.842060218	0.11399223	0.600505217	0.135048115	0.625779487
0.393027179	0.877659709	0.48488493	0.582489857	0.170703148	0.625490605
0.458951906	0.425711596	0.877271923	0.575651498	0.539537384	0.17054658
0.095479478	0.866645356	0.866365864	0.617218855	0.158938282	0.162338945
0.067588595	0.067668183	0.067731292	0.636681374	0.636519818	0.636960863
0.877465092	0.484774312	0.392943113	0.170506381	0.625198214	0.582422255
0.147438315	0.860532111	0.845442945	0.562665938	0.152783466	0.150369278
0.867015084	0.866053821	0.081574175	0.1594858	0.161731552	0.621314826
0.82668385	0.200414706	0.202679014	0.119428569	0.610950114	0.579901619
0.48055566	0.401210454	0.87708394	0.589948499	0.548229419	0.169994023
0.480506041	0.401065702	0.876876289	0.590296836	0.548076088	0.170611765
0.108082726	0.865173294	0.85451696	0.593513352	0.15647046	0.154669778
0.470373299	0.419962754	0.87781312	0.559621297	0.521035041	0.170853461
0.027442623	0.027491288	0.027649742	0.694988879	0.694724091	0.695368978
0.826965321	0.190750052	0.200381642	0.11932753	0.611225512	0.57981033
0.8831745	0.054262153	0.875678661	0.17505891	0.690366374	0.170483852
0.845351011	0.147395524	0.860797377	0.150982836	0.562769961	0.153480624
0.826657128	0.193519139	0.191937014	0.119531127	0.611143708	0.580312217
0.06790358	0.079332334	0.855850222	0.652109419	0.632242076	0.148990986
0.841700088	0.102991425	0.099212551	0.134954661	0.627846287	0.602862696
0.844195105	0.133737102	0.861941587	0.148389828	0.567683878	0.155151183
0.137161911	0.860406617	0.843414315	0.566213313	0.153826054	0.148190142
0.877285228	0.480772565	0.401242355	0.170121725	0.590225078	0.548080942
0.469941009	0.415624353	0.87736851	0.575343608	0.536096893	0.170537965
0.884471249	0.02732532	0.875099653	0.175165815	0.695172427	0.169885232
0.100245767	0.842150935	0.114094746	0.6006693	0.135097126	0.625878577
0.883933389	5.4973E-06	0.876183571	0.175664553	0.699339692	0.170952037
0.077179326	0.867643221	0.865808976	0.623177023	0.159991843	0.161941262
0.470642463	0.420055644	0.87818764	0.559623863	0.521073079	0.170670235
0.856357669	0.123105298	0.863530885	0.156286941	0.58840192	0.155326829
0.071762705	0.855665381	0.079705824	0.627666663	0.149372079	0.647661442
0.097271279	0.32176199	0.266798641	0.622087401	0.624761759	0.621490367
0.040972143	0.88145831	0.041243821	0.692818417	0.175275291	0.692681144
0.859979787	0.846600632	0.147505124	0.153194478	0.150959092	0.562581224
0.09255442	0.080009517	0.86916239	0.669338912	0.656407211	0.162684302
0.079503872	0.082635833	0.868896865	0.675206374	0.663734014	0.162643292
0.469899775	0.411496046	0.877300177	0.590604086	0.551531407	0.170813299
0.87549626	0.883239281	5.49578E-06	0.170318458	0.175614212	0.69939382
0.866728893	0.087870502	0.867787835	0.162066461	0.619333621	0.159665096
0.080764358	0.084603126	0.868909974	0.67553376	0.663576175	0.162691389
0.099185239	0.84125481	0.102884464	0.602562044	0.135031016	0.627715516
0.873891324	0.050495659	0.870843484	0.168155438	0.658638866	0.165055594
0.168625749	0.091560727	0.169465386	0.619476806	0.616525013	0.620495748
0.469668331	0.415866137	0.877342785	0.575382488	0.536124432	0.170530521
0.881510107	0.014498645	0.014159433	0.17553418	0.697598652	0.69773008
0.425017688	0.877403276	0.465158703	0.572487953	0.170584749	0.60907723
0.091336484	0.074495456	0.85582096	0.645596096	0.625713761	0.149400128
0.242732584	0.82638297	0.246475288	0.58445843	0.118864676	0.611820737
0.027489898	0.077043855	0.076980986	0.678635723	0.680199716	0.678557137
0.435889133	0.877305871	0.448086671	0.542732121	0.170522387	0.575631776
0.86503691	0.856946727	0.116675632	0.155765641	0.155713472	0.590333744
0.054281147	0.876251424	0.882952797	0.690647305	0.170945728	0.17536223
0.877351171	0.480630955	0.405608349	0.170563393	0.575134596	0.532767124
0.867470677	0.866169915	0.081514748	0.159530794	0.161965418	0.621480995
0.438544525	0.438539753	0.877110063	0.626596462	0.596433641	0.170514035
0.071182773	0.065388173	0.084626972	0.669606563	0.670153756	0.670734025
0.078981036	0.855888102	0.102949915	0.623561591	0.149814031	0.643324195
0.469995392	0.415659664	0.877441332	0.575306352	0.536032571	0.170547929
0.07498412	0.074885034	0.075255825	0.634386007	0.63435762	0.634508212
0.013707951	0.875949344	0.883432532	0.697434235	0.170729528	0.175538779
0.881519731	0.013951549	0.01413681	0.175489257	0.697018427	0.697324582
0.099330457	0.841305849	0.102964778	0.602603967	0.13516237	0.627707194
0.877797041	0.473644504	0.404264364	0.170592625	0.625949384	0.586068181
0.271675918	0.277947669	0.825601102	0.613707055	0.586216473	0.118585132
0.405780881	0.877513768	0.480826576	0.532741035	0.170646182	0.575269478
0.013950725	0.01392345	0.881281577	0.696935631	0.697005688	0.175252411
0.825532556	0.136126923	0.129967771	0.119091772	0.605842689	0.577189823
0.881786235	0.041114029	0.040778096	0.175504533	0.692291111	0.692728049
0.882743047	0.05426527	0.875772586	0.175036912	0.690397727	0.170473409
0.244523683	0.825329329	0.241484834	0.584947687	0.118513648	0.613319834
0.877553468	0.450482197	0.42705657	0.170556377	0.626410764	0.593218843
0.088082223	0.866645117	0.86569832	0.619517402	0.159053402	0.162034744
0.881665147	0.054636447	0.054150705	0.175330973	0.690229978	0.690583527
0.047443218	0.047607976	0.052791077	0.657532897	0.658317767	0.658427784
0.877368814	0.461600866	0.422189995	0.170572435	0.609483697	0.573133395
0.027331002	0.875299851	0.884022159	0.695391701	0.170729331	0.175880654
0.876439745	0.884179296	0.054272129	0.170891434	0.17602534	0.690476951
0.866756139	0.104344765	0.866607975	0.162373959	0.615366183	0.15913221
0.459040072	0.877807736	0.453498652	0.530868172	0.170992713	0.56016181
2.76225E-06	3.04382E-06	2.9695E-06	0.699045332	0.699366104	0.699292396
0.062842706	0.060018596	0.065045757	0.651881163	0.652004042	0.651530748
0.082799413	0.869050546	0.093496807	0.655977076	0.162658002	0.668673279
0.02744531	0.076782733	0.076651292	0.678636052	0.680262492	0.678656861
0.876234629	0.884040126	0.054274381	0.170760784	0.175928048	0.690504681
0.111419177	0.864350826	0.855984638	0.59207934	0.155667713	0.155139301
0.027470344	0.076772616	0.076620434	0.678719846	0.679463302	0.679616577
0.877433037	0.484773919	0.392910267	0.170423811	0.625327853	0.582561486
0.133776587	0.861716654	0.843522943	0.567789896	0.154626419	0.147636877
0.076072387	0.869300074	0.084850694	0.661312792	0.162503155	0.673564957
0.116691578	0.864298766	0.855650501	0.590377122	0.155595502	0.155874694
0.878097369	0.485102194	0.393246343	0.170721092	0.625333327	0.582504261
0.85579347	0.130454841	0.861695816	0.156392104	0.586514702	0.154545275
0.507377494	0.533648569	0.877531103	0.560334955	0.531007468	0.170798277
0.841697152	0.092753579	0.099819807	0.134789877	0.629518839	0.604024246
0.147436605	0.860967867	0.84607813	0.562706664	0.153191682	0.150762737
0.46976912	0.411475984	0.877165277	0.590690333	0.551499573	0.170149326
0.877232211	0.437016538	0.446283704	0.170583315	0.575747753	0.546052189
0.014174522	0.881694806	0.014544898	0.697486123	0.175227975	0.696971871
0.113796818	0.099825981	0.841744482	0.626197713	0.601005574	0.135047649
0.066283898	0.052953751	0.081505513	0.673002472	0.672601525	0.673778201
0.825637994	0.135642113	0.128301201	0.119153124	0.605648683	0.577133982
0.041082716	0.041318928	0.041555603	0.692800671	0.692880957	0.692433777
0.877639956	0.45907536	0.42215732	0.170501843	0.590877331	0.555343834
0.082431186	0.855091103	0.067742536	0.631707558	0.148876635	0.653023446
0.862391898	0.843204112	0.137071848	0.154101234	0.148629226	0.56623827
0.415635669	0.877334395	0.469915071	0.535927439	0.170590384	0.575286962
0.076905922	0.869338111	0.085103676	0.661309903	0.162509382	0.673540325
0.154061819	0.858139406	0.845323352	0.560906406	0.151755069	0.151041561
0.874213179	0.882041307	0.013707308	0.170321157	0.174433463	0.697334896
0.06639904	0.052758772	0.08108458	0.673118961	0.672369507	0.673904049
0.087820799	0.866365599	0.865669749	0.619692427	0.158753037	0.161843217
0.877397875	0.480769865	0.401397782	0.170348341	0.590223883	0.548033897
0.470190103	0.419612258	0.877274279	0.559585158	0.521060463	0.170599578
0.877230383	0.469894365	0.411442597	0.17014606	0.590528851	0.551735014
0.859823776	0.846311368	0.154033103	0.152490513	0.151604262	0.560941252
0.214593576	0.206225331	0.825897207	0.607536742	0.579516512	0.118678586
0.210898578	0.208012174	0.826335868	0.608600972	0.579676746	0.119164313
0.439768797	0.877935924	0.449068592	0.527816111	0.170730395	0.55976066
0.842084974	0.124921674	0.103841749	0.135153839	0.623482691	0.598057254
0.877472719	0.480555652	0.40580209	0.170587839	0.575352385	0.532972264
0.44806085	0.877285145	0.445297892	0.579311554	0.170598501	0.609372215
0.027399501	0.028081527	0.027980513	0.694767372	0.695072328	0.695439916
0.448229879	0.432844529	0.877935246	0.591174606	0.558451513	0.170611778
0.845246786	0.133784839	0.862648687	0.148473494	0.56779729	0.155577183
0.867865351	0.865700125	0.087791568	0.159575802	0.16177586	0.619663884
0.480506767	0.40596389	0.877373919	0.574975767	0.532574282	0.17054364
0.877368141	0.44865209	0.439641776	0.170512685	0.559833544	0.527612949
0.054592367	0.054227075	0.882152641	0.690082723	0.690007761	0.175474997
0.076043958	0.870893999	0.874453743	0.650485963	0.164457173	0.16861818
0.054278762	0.875341331	0.88266756	0.690570118	0.170743906	0.175231861
0.874021251	0.065153983	0.873057988	0.168954485	0.652668176	0.165057809
0.862540987	0.843711427	0.133774921	0.155217221	0.148094796	0.567802187
0.87127257	0.874378734	0.075982325	0.164754145	0.16841589	0.65056686
0.072515541	0.070127597	0.074963286	0.649479177	0.650096984	0.649744529
0.028141217	0.88111215	0.028653295	0.695563853	0.175378492	0.69533324
0.864741504	0.856632909	0.116672393	0.155775543	0.15586798	0.590274558
