Vam	Vbm	Vcm	Iam	Ibm	Icm
0.867081348	0.866882495	0.095430684	0.159573023	0.162560484	0.617647688
0.074914189	0.077659694	0.854971685	0.650376527	0.629389339	0.148638303
0.20624745	0.204184766	0.825594586	0.609858628	0.583041666	0.118653429
0.141833282	0.861170969	0.844373151	0.564659095	0.153083242	0.149167025
0.08435194	0.076072901	0.855773072	0.647615892	0.628151634	0.149376281
0.404153468	0.87757487	0.473532313	0.585995832	0.170612531	0.625816309
0.027392711	0.075323635	0.075742831	0.679161072	0.68030562	0.679561573
0.884269987	5.49629E-06	0.875776109	0.176061049	0.699350099	0.170712996
0.869169249	0.092067342	0.08011468	0.16265822	0.672225575	0.658615113
0.154013425	0.859374249	0.846649636	0.560879364	0.152297121	0.151571111
0.083451646	0.083759353	0.084090286	0.632326066	0.632035853	0.632497647
0.877217787	0.47335762	0.403971133	0.17047645	0.625909666	0.5859788
0.054028926	0.05127525	0.05723649	0.654159987	0.654021596	0.654049764
0.060014223	0.060022068	0.060037516	0.640101372	0.640200693	0.640018755
0.841599327	0.083357106	0.10226326	0.134750612	0.631033643	0.605838357
0.877460118	0.462026103	0.415461193	0.170499934	0.626158877	0.589751916
0.074964658	0.074850924	0.075223503	0.634193588	0.634545494	0.634661004
0.393071264	0.877744797	0.484926271	0.58256208	0.170820018	0.625425425
0.480711736	0.405738665	0.877431891	0.575193229	0.532701211	0.170599219
0.469852554	0.415803442	0.877441607	0.575328213	0.536041978	0.170550974
0.877352314	0.437073005	0.446346296	0.170617003	0.575715918	0.546063502
0.877304203	0.438869963	0.444328369	0.170573791	0.608767508	0.578527025
0.415552389	0.877628838	0.462104115	0.58954818	0.170680797	0.626215755
0.447905421	0.877283734	0.445422349	0.579217518	0.170601442	0.60929264
0.88073408	0.01420108	0.013897217	0.175211411	0.696441273	0.696970692
0.207359422	0.211690549	0.826879268	0.607628339	0.57947641	0.119148144
0.055330442	0.871754706	0.874449795	0.654869231	0.164663674	0.168625257
0.046720328	0.871923504	0.874114379	0.658794886	0.164743939	0.168070597
0.438618354	0.438613527	0.877258988	0.626847501	0.596164969	0.17059033
0.091250433	0.074736838	0.855817568	0.645709214	0.625886595	0.149452465
0.403999394	0.87728096	0.473392565	0.586180777	0.170447297	0.625909873
0.102218671	0.841555107	0.08338287	0.606051406	0.134780468	0.631275689
0.877319607	0.438779083	0.444600314	0.170562986	0.608986944	0.578745807
0.867727838	0.86578269	0.081595436	0.160010299	0.161798617	0.621332379
0.861892083	0.856261875	0.130436757	0.154747391	0.156784477	0.586501586
0.463690046	0.42588554	0.877371753	0.607493485	0.570801828	0.170525479
0.074842199	0.078200594	0.855868853	0.650229065	0.629709213	0.149364675
0.876429481	0.884349996	5.49755E-06	0.170777143	0.176289646	0.699522847
0.84400577	0.133757761	0.862908264	0.148393595	0.567883782	0.155510358
