Va	Vb	Vc	Ia	Ib	Ic
0.877424364	0.462742142	0.42082934	0.170615924	0.609503823	0.572905843
0.874432856	0.065242093	0.871344829	0.168537273	0.652749461	0.164752233
0.826168478	0.222063139	0.24046514	0.118807107	0.610362363	0.581282947
0.413900056	0.877395916	0.475683413	0.566036769	0.17067602	0.605483807
0.87726694	0.440484129	0.443894848	0.170564117	0.608086156	0.577706797
0.103679346	0.841717948	0.125046295	0.598609442	0.135291629	0.62346755
0.070222774	0.065215486	0.085143733	0.670334562	0.670918044	0.672334947
0.882521736	5.50083E-06	0.87621765	0.175449063	0.699365205	0.171125466
0.869026622	0.083056987	0.075551842	0.162646144	0.674153637	0.661550263
0.120933328	0.111823402	0.141058686	0.615651358	0.614797662	0.61605153
0.877185707	0.459486372	0.429336522	0.17046571	0.55980543	0.524425651
0.102199007	0.134230946	0.180989467	0.618229796	0.619168	0.620839322
0.476220974	0.412949281	0.877342385	0.610629941	0.570861389	0.170535778
0.872163123	0.87551535	0.047431171	0.165311376	0.169222657	0.657148734
0.863495761	0.844012212	0.133701761	0.155210112	0.148071171	0.567868712
0.842782738	0.133750624	0.860862547	0.147566501	0.567815882	0.154560056
0.087474116	0.078902552	0.868707522	0.672392814	0.660121744	0.162646614
0.882988325	0.054275492	0.875818678	0.174878383	0.690509289	0.170837972
0.100231092	0.133340796	0.175656011	0.617666363	0.621117257	0.62172433
0.841803251	0.092695077	0.099671008	0.134793137	0.629621418	0.604356032
0.856479296	0.068682999	0.072114084	0.149402065	0.64982019	0.628647327
0.438594605	0.877219303	0.438599267	0.596518935	0.170611138	0.626472717
0.091740979	0.074186571	0.855272791	0.645322854	0.625799555	0.14869692
0.884722724	0.013705744	0.877156267	0.175585764	0.697306026	0.171211183
0.877474912	0.480838034	0.410167798	0.170443414	0.559328521	0.517587102
2.80562E-06	2.9709E-06	2.81746E-06	0.69923867	0.698959752	0.69841071
0.153972139	0.860009673	0.847534895	0.560836652	0.151992545	0.151267354
0.860101679	0.844405442	0.141744947	0.152927997	0.149080936	0.564559564
0.410250303	0.877772059	0.481037719	0.517511655	0.170850242	0.559464309
0.825837191	0.137464189	0.129909421	0.118760423	0.605796856	0.57624078
0.233757925	0.230133702	0.826094521	0.609006918	0.581232442	0.119093217
0.758515535	0.757483151	0.757107618	0.383933471	0.383317252	0.382271061
0.087787771	0.867102489	0.866233478	0.619830176	0.159505488	0.162050468
0.082765803	0.869254926	0.100069713	0.657212033	0.162628989	0.669495837
0.147982589	0.132240218	0.825626191	0.602013158	0.571806771	0.119144402
0.426986435	0.877411019	0.450410103	0.593145799	0.170528154	0.62638258
0.208639996	0.825981045	0.208376642	0.578079937	0.118905945	0.608131176
0.846714096	0.154000926	0.85892747	0.151165836	0.560838978	0.151827721
0.111397122	0.865769809	0.85629488	0.592213115	0.156284657	0.155422883
0.825877277	0.18384824	0.187112752	0.118788202	0.610041045	0.580034211
0.877354536	0.459133589	0.422128794	0.170398834	0.590590462	0.554770738
0.103509605	0.841318088	0.125137126	0.59849625	0.135275596	0.623389633
0.103145548	0.078934116	0.856129796	0.643589058	0.623473953	0.149712846
0.130401911	0.825976631	0.14954853	0.575311428	0.118948744	0.603811668
0.342518873	0.825242233	0.33096863	0.587669935	0.118493824	0.615112051
0.878068054	0.450739865	0.427313495	0.170591073	0.626386715	0.593190166
0.04134384	0.04115064	0.042125306	0.692582172	0.692573782	0.694019131
0.087958974	0.079480825	0.868695556	0.672531632	0.660495643	0.162668191
0.137204147	0.860291962	0.844637012	0.56643658	0.153884952	0.148665573
