Va	Vb	Vc	Ia	Ib	Ic
0.100086394	0.081120031	0.869095582	0.668698043	0.656703335	0.162625281
0.869102763	0.083116729	0.075444335	0.162648184	0.674412023	0.660956016
0.870499694	0.873514318	0.055338206	0.164517362	0.167612494	0.654786824
0.166287438	0.153685522	0.095196769	0.61756251	0.617048949	0.615761224
0.877928497	0.459754575	0.429817185	0.170464605	0.559698428	0.524571443
0.082778639	0.079785107	0.868770507	0.675227704	0.663576806	0.162583465
0.866453096	0.095447743	0.867365505	0.16237144	0.617199187	0.159468707
0.877185707	0.459486372	0.429336522	0.17046571	0.55980543	0.524425651
0.01387288	0.014280203	0.013892916	0.69702548	0.696778594	0.69622021
0.860418109	0.844998354	0.14746042	0.153200929	0.150808504	0.562550443
0.130384779	0.863592976	0.857242539	0.586215104	0.154976709	0.157365001
0.855721692	0.116682632	0.863974071	0.155249832	0.590295991	0.155616769
0.393017523	0.8776394	0.484873758	0.582642817	0.170888904	0.625268587
0.860721588	0.844022974	0.137197653	0.15398528	0.148618134	0.566196462
0.882728948	0.027436407	0.027361087	0.175435834	0.694914734	0.694822535
0.85606019	0.107524997	0.866055223	0.15515164	0.593820351	0.157050713
0.343476383	0.825320017	0.330265954	0.583093808	0.118451802	0.613434223
0.877285141	0.448132847	0.435760905	0.170604333	0.575691415	0.542816074
0.103127207	0.078898304	0.856646176	0.643607621	0.623801856	0.149707594
0.873589714	0.873211266	0.871744108	0.188703721	0.188874868	0.188511904
0.87161791	0.87469465	0.065185483	0.164808463	0.168533963	0.652865808
0.057225797	0.044717109	0.07541255	0.675582868	0.674670118	0.676333942
0.43889486	0.877820881	0.438899553	0.596391655	0.170924658	0.626521082
0.459087505	0.42570704	0.877399166	0.575490628	0.539387955	0.170568106
0.877292225	0.440342479	0.444046742	0.170516267	0.60805029	0.577723869
0.446357486	0.877381006	0.437090534	0.546049051	0.170614576	0.575751459
0.884101376	0.027325103	0.87499586	0.175681117	0.695213441	0.170330167
0.462421588	0.415855057	0.87824942	0.626079744	0.589875142	0.170623277
0.867096601	0.866625445	0.095378731	0.159291549	0.162606829	0.617905714
0.867309775	0.865935947	0.081942014	0.159852493	0.161596708	0.621175087
0.866697188	0.865599461	0.081814651	0.159229799	0.161367043	0.62146748
0.279709322	0.300208928	0.825889515	0.613030264	0.583828342	0.118714416
0.013837301	0.014210781	0.013933994	0.696993721	0.697432567	0.697563114
0.10329752	0.841760993	0.125148568	0.598473345	0.135130492	0.62355729
0.444594267	0.877366533	0.438546951	0.561811245	0.170409618	0.591288721
0.09966957	0.841780675	0.092668883	0.604454617	0.134891671	0.629760468
0.040857425	0.875889055	0.883354507	0.693092948	0.170567482	0.175797963
0.079888644	0.869025244	0.093893945	0.659176491	0.162693689	0.670389407
0.081813077	0.867113155	0.866220428	0.621085823	0.159841833	0.161954288
0.443595546	0.447781078	0.87732387	0.607551173	0.578194189	0.170588908
0.87743735	0.462015551	0.415448857	0.170466249	0.62608319	0.5898499
0.484779396	0.392923922	0.877451109	0.625342526	0.582501375	0.170529311
0.402503312	0.877406	0.485733791	0.564838415	0.170547978	0.607547895
0.041443187	0.882106881	0.041526127	0.692641316	0.175593973	0.692126453
0.438653696	0.438648982	0.877328846	0.62655028	0.596355341	0.170404642
0.087737553	0.079275775	0.868542241	0.672864267	0.661814776	0.16279656
0.128361104	0.321520039	0.224414454	0.622453183	0.622682498	0.62088326
0.866231693	0.087663627	0.866266355	0.161692248	0.619509856	0.159053892
0.103049708	0.078857147	0.855960165	0.643145455	0.623692359	0.149717084
0.877437532	0.450423814	0.426999281	0.170490113	0.626367234	0.593212652
0.027724232	0.027380713	0.027718802	0.69486677	0.69453108	0.695202384
0.480879251	0.410161247	0.877510333	0.559508236	0.517509864	0.170735981
0.059573212	0.064478267	0.062980791	0.652081069	0.651685177	0.652092626
0.462136508	0.415574196	0.877683459	0.626261861	0.589631652	0.170761938
0.459061443	0.422135281	0.87762773	0.59085774	0.555018916	0.170594623
0.861014826	0.844911706	0.141737113	0.153613051	0.149694222	0.564456237
0.88223832	0.0000055	0.874233603	0.174574905	0.69939569	0.170148189
0.141834799	0.860471395	0.844540626	0.564339176	0.153575793	0.149765764
0.866756487	0.087694921	0.867471558	0.162092901	0.619341396	0.15968653
0.856605831	0.130394803	0.862196431	0.156545334	0.586550809	0.1543102
0.091153586	0.079228209	0.869309344	0.668276525	0.657110055	0.162653367
