,,,,,,,,,,,
Output / Desired,Fault(1009),Fault(1000),Fault(1003),Fault(1002),Fault(1007),Fault(1005),Fault(1001),Fault(1010),Fault(1008),Fault(1006),Fault(1004)
Fault(1009),622,0,0,0,0,0,0,0,0,0,0
Fault(1000),0,239,0,0,0,0,0,0,0,0,0
Fault(1003),0,0,629,0,0,0,0,0,0,0,0
Fault(1002),0,0,0,631,0,0,0,0,0,0,0
Fault(1007),0,0,0,0,650,0,0,0,0,0,0
Fault(1005),0,0,0,0,0,662,0,0,0,0,0
Fault(1001),0,0,0,0,0,0,623,0,0,0,0
Fault(1010),0,0,0,0,0,0,0,629,0,0,0
Fault(1008),0,0,0,0,0,0,0,0,631,0,0
Fault(1006),0,0,0,0,0,0,0,0,0,566,0
Fault(1004),0,0,0,0,0,0,0,0,0,0,618
,,,,,,,,,,,
,,,,,,,,,,,
Performance,Fault(1009),Fault(1000),Fault(1003),Fault(1002),Fault(1007),Fault(1005),Fault(1001),Fault(1010),Fault(1008),Fault(1006),Fault(1004)
MSE,0.003755929,0.003184769,0.00340032,0.001583694,0.00197622,0.004309744,0.002299357,0.00236544,0.003619315,0.003733153,0.004045358
NMSE,0.043403442,0.089921399,0.038903057,0.018067774,0.021958004,0.047114667,0.02653318,0.027062999,0.041291406,0.046961129,0.04701865
MAE,0.051674023,0.046441164,0.051808984,0.035296159,0.030024793,0.049055144,0.041631792,0.03820075,0.050332848,0.052306569,0.050358682
Min Abs Error,0.000110637,0.000168471,3.40271E-06,8.17488E-06,2.35905E-05,5.28483E-06,0.000998309,4.71001E-06,2.94262E-05,5.83886E-05,3.39641E-05
Max Abs Error,0.435946987,0.251224993,0.171656255,0.120568524,0.478790222,0.270160866,0.153105422,0.17652789,0.267215467,0.386025403,0.27006483
r,0.980842811,0.960555151,0.983464602,0.992400463,0.989204319,0.980570895,0.988895034,0.989119265,0.983043807,0.979162132,0.98003277
Percent Correct,100,100,100,100,100,100,100,100,100,100,100
,,,,,,,,,,,
