Va	Vb	Vc	Ia	Ib	Ic
0.079783761	0.071509781	0.855148958	0.647708777	0.627794333	0.149119276
0.484908675	0.3930495	0.877707359	0.625234689	0.582615564	0.170678851
0.066709281	0.078668491	0.855794462	0.653598869	0.633164845	0.149596113
0.00000487	0.00000483	0.881930422	0.699230921	0.699386501	0.17537308
0.469865554	0.415738643	0.877393636	0.575423633	0.536261408	0.170586684
0.448139712	0.435912283	0.877413101	0.575750095	0.542815555	0.170566585
0.877890472	0.877152325	0.876988941	0.170645312	0.170621735	0.170161494
0.421784853	0.877150324	0.459000416	0.554970373	0.170060254	0.590247109
0.825082332	0.192882922	0.200338151	0.118633525	0.611598229	0.57866704
0.054277468	0.881543733	0.054644201	0.690541097	0.175365861	0.689930166
0.062460366	0.062481486	0.062415037	0.638238312	0.638374879	0.638560914
0.448925313	0.439600772	0.87761142	0.559739738	0.527868828	0.170495792
0.027330874	0.88163077	0.027663894	0.695345264	0.175052214	0.694376934
0.863047434	0.843994182	0.133699354	0.155126877	0.147919673	0.56788728
0.14307956	0.826098859	0.148964853	0.576206052	0.119266128	0.605657563
0.855656223	0.107509475	0.86570513	0.155246188	0.593666188	0.157111405
0.876604893	0.883581123	0.027332672	0.170646588	0.175835201	0.695421909
0.448142577	0.435900537	0.877407055	0.575820037	0.542883622	0.170553977
0.876221906	0.883510335	0.054274685	0.171070846	0.175603614	0.690522883
0.875760702	0.883747736	0.027329279	0.170183197	0.175356255	0.695330576
0.878261349	0.481417736	0.401895957	0.170901825	0.589992573	0.54782678
0.104211581	0.86671043	0.86702511	0.615378747	0.159256717	0.162879681
0.877949109	0.463551614	0.491500648	0.170622569	0.56068428	0.532283123
0.083419501	0.102158256	0.841555865	0.630767116	0.605924287	0.134730862
0.864079186	0.855893329	0.116631544	0.155637337	0.155641654	0.590330918
0.426863304	0.877170616	0.450292369	0.59307404	0.170416591	0.626503036
0.877191545	0.447825243	0.43289514	0.170289336	0.590960493	0.558562679
0.437815366	0.444843709	0.877278914	0.592684884	0.56315158	0.170348394
0.844555692	0.147482634	0.858101048	0.150261525	0.562789421	0.152444641
0.859975697	0.844578717	0.141759833	0.152991292	0.14932181	0.564556009
0.8556026	0.116691152	0.863687346	0.155261487	0.59026209	0.155621998
0.877335411	0.437073416	0.446329759	0.170589892	0.575763493	0.546078836
0.448177499	0.435877221	0.877407645	0.575780178	0.542809219	0.170560899
0.84177047	0.102982288	0.099163742	0.13505591	0.627712494	0.602561339
0.877463793	0.480451719	0.405826548	0.170570039	0.575392127	0.532895617
0.113753673	0.100212582	0.841980222	0.625925472	0.600571307	0.135140387
0.448155757	0.435883921	0.877381504	0.575655568	0.542677416	0.170572274
0.142743059	0.826098355	0.149057463	0.576281891	0.119156844	0.605707635
0.875258879	0.07602039	0.871253565	0.168520657	0.650474884	0.164555334
0.875266763	0.075970829	0.871700132	0.168999939	0.650475186	0.164676676
0.083419501	0.102158256	0.841555865	0.630767116	0.605924287	0.134730862
0.841909919	0.092712204	0.099656408	0.134789436	0.629627463	0.604393692
0.448859881	0.439835968	0.87777543	0.559867007	0.527555385	0.170463892
0.095619933	0.866809273	0.866423152	0.617421894	0.15945685	0.162635093
0.876398562	0.882611598	0.0000055	0.171438167	0.175590277	0.699236645
0.855784235	0.123099486	0.863457031	0.155831818	0.588346339	0.155035538
0.877292187	0.437040914	0.446319534	0.170589331	0.575699124	0.546055749
0.876133455	0.882108561	0.040859572	0.170670374	0.175222729	0.693098447
0.863086011	0.863519609	0.863183646	0.218762209	0.219207846	0.219064806
0.862040629	0.842356737	0.133726497	0.155139067	0.147808535	0.567706386
0.091759145	0.074618678	0.856359299	0.645583259	0.625433627	0.149994796
0.126993517	0.297865406	0.202960339	0.621720681	0.627034957	0.624643216
0.113770347	0.100097151	0.842088235	0.625867203	0.600735176	0.135111609
0.104047488	0.867178882	0.866770744	0.615753272	0.159290693	0.162888148
0.847143477	0.153966286	0.858702003	0.151389841	0.560875666	0.152035786
0.874894047	0.065251197	0.87122902	0.168634098	0.652691814	0.164830887
0.104237182	0.866620036	0.867030896	0.615377944	0.1592312	0.162813293
0.876330141	0.877567719	0.877936513	0.170764839	0.170731999	0.171222181
0.100165278	0.080876324	0.869050905	0.668544358	0.65660313	0.162620714
0.866585957	0.866060928	0.088246564	0.159426671	0.162019274	0.619566153
0.877482511	0.4736422	0.410137498	0.170564753	0.609302563	0.569464811
0.041263434	0.88191304	0.041625046	0.693092397	0.175173232	0.692862792
0.40443594	0.878159983	0.473834239	0.586223212	0.170819696	0.625882941
0.131104899	0.82597757	0.149900652	0.575632029	0.119023133	0.603992687
0.014677667	0.014479534	0.881197186	0.697223754	0.697515176	0.175284114
0.425676126	0.877330631	0.459085523	0.539466542	0.170507415	0.575589432
0.84443436	0.137216074	0.861640396	0.149053515	0.566355397	0.154510443
0.459062804	0.425715437	0.877353458	0.575493157	0.539364687	0.17058001
0.081698599	0.867324872	0.865669814	0.621263043	0.159830473	0.161616215
0.47035955	0.419832058	0.877684691	0.55965003	0.521022582	0.17078104
0.877348996	0.473425131	0.404034814	0.170690252	0.62579353	0.58621229
0.868843534	0.097144366	0.081193005	0.162776641	0.666089844	0.654082264
0.841772142	0.092669993	0.099685234	0.134768727	0.629632024	0.604212805
0.86652755	0.865789153	0.088287054	0.159289175	0.161826124	0.619561785
0.432805925	0.877709727	0.448110225	0.55828427	0.170827837	0.591380302
0.878134814	0.449030983	0.440014251	0.170698186	0.559758884	0.527814501
0.147455024	0.859925806	0.844473199	0.562792447	0.152580344	0.150495573
0.040458836	0.046103737	0.07390079	0.677003551	0.678612733	0.680522554
0.869089473	0.098909263	0.081628464	0.162769178	0.668706996	0.65494986
0.871745194	0.874133789	0.048165056	0.165109046	0.168152247	0.65868016
0.877455654	0.459139625	0.422287375	0.170349757	0.590580723	0.554804129
0.421882422	0.877131953	0.458882489	0.555126103	0.170106063	0.590768647
0.846025448	0.141779011	0.861874914	0.150000269	0.564591479	0.153969809
0.868928368	0.090594822	0.076808963	0.162660985	0.671421339	0.659287293
0.438773117	0.877577362	0.438777828	0.596447347	0.170665426	0.626584114
0.133010618	0.825646918	0.149690814	0.575041501	0.118898129	0.603955339
0.872355578	0.874100443	0.047148628	0.16552646	0.16850394	0.657010903
0.485074715	0.393203426	0.878027675	0.625224638	0.582626051	0.170689833
0.091302115	0.074285191	0.854642711	0.645676259	0.625662584	0.149203085
0.848049363	0.847199173	0.846514476	0.257606384	0.257562593	0.257039601
0.081897392	0.079079904	0.868897952	0.675819777	0.663963247	0.162575234
0.079335234	0.082452861	0.868946761	0.679538579	0.666488268	0.162494137
0.87760055	0.470357171	0.419749065	0.170781999	0.559658215	0.52096181
0.825642841	0.278485292	0.288389718	0.118298542	0.610554212	0.583739447
0.092688275	0.099619477	0.841389871	0.629574021	0.604388774	0.134829738
0.877504945	0.473495253	0.404121208	0.170605232	0.625762371	0.586066347
0.419714941	0.877408006	0.470212703	0.520987491	0.170615626	0.559597902
0.140397371	0.130520005	0.825709443	0.604109343	0.576122719	0.11915016
0.469909236	0.415697046	0.877427978	0.575453179	0.536302641	0.170547766
0.855728282	0.107517419	0.865509174	0.155179887	0.593820994	0.157049226
0.078743663	0.86893539	0.088219792	0.662467453	0.162637923	0.671502042
0.120392619	0.111891868	0.141675945	0.616155667	0.614655546	0.616148747
0.404147868	0.87756691	0.473529968	0.586203821	0.170667088	0.625721374
0.054459153	0.054991137	0.054961013	0.690184593	0.690187218	0.69030908
0.866020071	0.865396859	0.088366609	0.159363148	0.162027631	0.61942406
0.070238115	0.071488161	0.073820903	0.649748503	0.650208267	0.650560134
0.841088326	0.083340101	0.10221917	0.134841751	0.63122523	0.605942779
0.075999928	0.871335983	0.874277668	0.650500981	0.164400911	0.168731117
0.877319241	0.448096184	0.435840101	0.170582091	0.575621105	0.542741484
0.877756792	0.480941997	0.41035341	0.170905356	0.559575733	0.517351682
0.864558793	0.856353417	0.123141509	0.155262056	0.15610836	0.588593188
0.877599674	0.474105057	0.485309721	0.170763934	0.561719699	0.532251719
0.866886559	0.095261755	0.867322372	0.162377049	0.617722991	0.159429629
0.045655791	0.047930307	0.053648449	0.655735698	0.656771677	0.656809249
0.099604554	0.841782104	0.092674623	0.604308225	0.13490001	0.629742545
0.074696396	0.856320688	0.091618848	0.625954737	0.149540686	0.64563196
0.027452337	0.88186145	0.027752115	0.69523448	0.175337083	0.694713779
0.00000492	0.00000483	0.882144302	0.699213048	0.699397221	0.175112164
0.877074798	0.884412686	0.0000055	0.171059839	0.176426217	0.699622911
0.867376437	0.865739979	0.081866824	0.159853012	0.161518125	0.620935187
0.10147139	0.128212483	0.170026024	0.617133382	0.62214422	0.620701075
0.107836191	0.864667873	0.854922329	0.593729274	0.156627055	0.154516794
0.100390067	0.082261556	0.869274528	0.669030067	0.657711806	0.162659973
0.878258415	0.87712228	0.877698544	0.170902967	0.17068603	0.170907191
0.040854044	0.873976716	0.881190763	0.69304486	0.170099865	0.175043551
0.868895414	0.080525198	0.077558938	0.162534756	0.674711747	0.662978953
