Va	Vb	Vc	Ia	Ib	Ic
0.871683008	0.875490691	0.047467248	0.165331771	0.169264417	0.657156688
0.855478412	0.079620117	0.071843187	0.149086859	0.647898177	0.627881172
0.867044182	0.866258375	0.081680543	0.159437294	0.161964893	0.621169763
0.859556452	0.844119888	0.141760737	0.152982053	0.149342342	0.564534593
0.405906538	0.877368943	0.480618178	0.532714604	0.170525229	0.575082241
0.860944463	0.844649051	0.141744072	0.15364592	0.149679752	0.564572062
0.130527238	0.110865162	0.154115926	0.615742204	0.614113902	0.614972276
0.219558812	0.826418594	0.213029706	0.580074091	0.119112972	0.608582877
0.883840344	0.027324716	0.874911529	0.175314199	0.695205541	0.170013023
0.402821231	0.877402239	0.485596956	0.564828116	0.170552619	0.607511147
0.040860417	0.875108534	0.882878108	0.693136944	0.169826264	0.175133635
0.855089141	0.111456769	0.864073281	0.154709019	0.59217808	0.155750266
0.876948905	0.438463677	0.43845888	0.170286345	0.626620256	0.596477407
0.415682709	0.877437784	0.46993594	0.536187185	0.170537155	0.575469482
0.102997497	0.078823165	0.85534064	0.643474856	0.623657205	0.14926161
0.874496162	0.05540436	0.871887788	0.168723357	0.655090618	0.164819576
0.558496342	0.877202827	0.537361506	0.527127346	0.170587602	0.555997461
0.877484334	0.480501902	0.405828881	0.17059185	0.575398078	0.532974269
0.882913816	0.040857927	0.875048211	0.175042665	0.693022709	0.170668551
0.103123958	0.07892255	0.856210069	0.643493765	0.623691243	0.149759266
0.056554595	0.044493505	0.074873377	0.675611134	0.67463917	0.675923076
0.877284142	0.448693442	0.439490904	0.170497046	0.559757597	0.52772733
0.410265242	0.877745589	0.480997321	0.517517534	0.170789556	0.559507203
0.874313373	0.055388543	0.87302256	0.168645035	0.655128882	0.164779704
0.054270564	0.876253609	0.88280897	0.690456959	0.171096112	0.17537479
0.147435804	0.859117097	0.844848838	0.56278789	0.152506547	0.150331024
0.847640275	0.8463709	0.847404974	0.258185594	0.257175695	0.257557408
0.028643956	0.028144465	0.880946639	0.695020699	0.695839322	0.175160755
0.070459942	0.051579029	0.083173245	0.672899229	0.672397418	0.674358613
0.047148474	0.872191133	0.874189701	0.656880219	0.165276695	0.16829138
0.855916486	0.079523597	0.071866498	0.149271161	0.648109461	0.627323631
0.881425388	0.00000492	0.00000482	0.175525743	0.698900633	0.699272681
0.122996138	0.296224495	0.206121944	0.621701311	0.626718499	0.62470323
0.881337096	0.00000491	0.00000486	0.175382981	0.699225353	0.699677938
0.848988752	0.847134784	0.847253924	0.257648408	0.257162271	0.257197032
0.877668314	0.448831963	0.439734686	0.170801545	0.559947029	0.527632028
0.438856418	0.877743884	0.43886114	0.596447609	0.170585719	0.626584432
0.439642987	0.877454625	0.448729601	0.527519141	0.17069142	0.559905012
0.147396307	0.861058484	0.846051651	0.562745653	0.153151249	0.150907432
0.842932356	0.133834274	0.86170184	0.14741732	0.567703191	0.15444544
0.476416887	0.413133852	0.877491566	0.609350553	0.568953573	0.170559597
0.883118255	0.013708009	0.875632119	0.174961516	0.697421169	0.170412728
0.00000486	0.882166973	0.00000485	0.699203742	0.175414015	0.699321518
0.233781185	0.244474911	0.826009448	0.607922327	0.58102463	0.119090769
0.470540941	0.42003587	0.878064941	0.559562015	0.521032217	0.170473398
0.855856717	0.102826443	0.078708677	0.149631058	0.643416561	0.623843629
0.470599276	0.420097497	0.878187442	0.559560511	0.521056294	0.170469974
0.459673102	0.429690004	0.877725465	0.559816712	0.524350236	0.170756368
0.826340326	0.242068942	0.235552565	0.118850485	0.612736537	0.583940754
0.083402118	0.102143537	0.841546097	0.630859825	0.605766109	0.134731085
0.11143836	0.864161143	0.855621088	0.592140636	0.155835524	0.155063796
0.877371059	0.473554537	0.410224466	0.170538068	0.609080306	0.56926616
0.027926951	0.0273945	0.027844653	0.694944765	0.694686554	0.69574438
0.344100869	0.825470977	0.338022306	0.586986221	0.118544989	0.612525463
0.432788897	0.87771936	0.448119553	0.558282526	0.170830668	0.591379657
0.149191194	0.134019844	0.824993772	0.603424096	0.572841539	0.119059627
0.46986188	0.415751579	0.877396561	0.575422585	0.536263128	0.170586795
0.104242901	0.867061037	0.867507101	0.61541268	0.159281272	0.162944251
0.080273113	0.86907743	0.093619192	0.659108247	0.162719657	0.670460183
0.081624045	0.301623254	0.287638541	0.619710772	0.617529605	0.617187803
0.013728738	0.014101966	0.014020097	0.697071878	0.696747497	0.696385368
0.864066334	0.856482268	0.116632481	0.155679777	0.155680603	0.590344997
0.877476551	0.480838292	0.410169279	0.170443257	0.559328626	0.517587035
0.47013628	0.419604625	0.877220027	0.559560464	0.521100737	0.170459538
0.095853554	0.866550148	0.866842752	0.617405511	0.159031424	0.162361562
0.436237047	0.877314714	0.454186717	0.576362883	0.170561449	0.60979097
0.013902353	0.0143875	0.013934188	0.696965882	0.697504636	0.69755821
0.081792852	0.867110174	0.866270354	0.621084648	0.159779252	0.161939028
0.877461139	0.480559386	0.405667856	0.170523724	0.575008119	0.532623406
0.099190482	0.841932378	0.103103972	0.602301012	0.134907366	0.627744091
0.145991251	0.1319763	0.826170554	0.601490637	0.572328725	0.119725656
0.070041654	0.051499437	0.08234659	0.673239837	0.67257066	0.674020995
0.883277368	0.013708009	0.876216141	0.175030789	0.697407828	0.17043024
0.480575738	0.405821009	0.877371998	0.574861538	0.532404805	0.170529615
0.465740768	0.424566343	0.877392139	0.608870274	0.572208478	0.170606696
0.877205774	0.470350401	0.411650212	0.170422654	0.590844678	0.551720432
0.079774291	0.071506573	0.855761304	0.647820176	0.627337816	0.149396306
0.04713572	0.872119216	0.873863315	0.656856418	0.164653782	0.167943818
0.845442427	0.147465894	0.85942091	0.150129329	0.562611531	0.152404751
0.079655871	0.071526617	0.855628395	0.647695108	0.627663225	0.14922359
0.14706196	0.133355536	0.825864317	0.601770056	0.571767622	0.119262345
