Va	Vb	Vc	Ia	Ib	Ic
0.447763175	0.432434985	0.877054627	0.590833036	0.558349379	0.170149504
0.867195505	0.104018472	0.866508989	0.16277759	0.615494333	0.15893846
0.855436519	0.123089222	0.864241616	0.156141437	0.588305663	0.155294475
0.877499932	0.462043873	0.415483382	0.17049735	0.626087632	0.589817604
0.87761202	0.448059581	0.433003543	0.170649846	0.591227244	0.558678175
0.877361819	0.473586054	0.410176375	0.170543165	0.609097064	0.569259481
0.85568279	0.123093264	0.863664863	0.155848556	0.588341241	0.155038673
0.881909446	0.0000055	0.874126886	0.175031705	0.699353386	0.169858735
0.872473588	0.87553884	0.055323659	0.165280958	0.169118951	0.655019067
0.570677892	0.877209704	0.551577874	0.537525521	0.17042305	0.564072732
0.845475178	0.141752231	0.859826799	0.150110836	0.564538348	0.153881136
0.867058037	0.866324088	0.088218324	0.159593362	0.162456631	0.619678337
0.0000049	0.00000488	0.88142965	0.699406593	0.699137203	0.175029173
0.480695591	0.40138278	0.87739222	0.590155259	0.548027847	0.170438677
0.079632656	0.071543896	0.855628041	0.647706004	0.627664016	0.149227638
0.130408053	0.863451452	0.857473567	0.586472375	0.155145236	0.157364802
0.045478544	0.048142776	0.053575115	0.655797521	0.656000564	0.656651219
0.269505239	0.290616002	0.825753356	0.612224383	0.58213821	0.118613107
0.027480554	0.881863389	0.027750962	0.695015881	0.175028074	0.69506102
0.866147631	0.087679267	0.866377124	0.161626909	0.619381466	0.159017795
0.427116182	0.877672553	0.450541608	0.593066551	0.170823304	0.626463028
0.877398242	0.473594938	0.410169202	0.170546912	0.60910461	0.569258568
0.00000482	0.882177228	0.00000482	0.699297415	0.175327867	0.699226328
0.487662245	0.522999363	0.87734024	0.559379416	0.530748199	0.170669038
0.446357276	0.877371872	0.437080884	0.546087615	0.170600227	0.575723703
0.404183528	0.877645711	0.473573237	0.586220301	0.17079823	0.625867236
0.099423823	0.841922467	0.103237975	0.602307833	0.134908458	0.627733362
0.124656482	0.103177186	0.841607875	0.62401337	0.598300967	0.135136288
0.450618017	0.427193199	0.877825956	0.62659044	0.593037648	0.17050772
0.455043386	0.435889698	0.877394623	0.610999812	0.577446006	0.170590755
