Va	Vb	Vc	Ia	Ib	Ic
0.450196794	0.426772586	0.876983714	0.626474108	0.593097247	0.170397309
0.480788453	0.405835115	0.87745728	0.574761295	0.532335812	0.170575306
0.866591514	0.095482891	0.867301217	0.16230162	0.617188434	0.159379972
0.841353097	0.083367293	0.102211171	0.134821269	0.631359777	0.606231566
0.059619984	0.064107383	0.062492077	0.652108105	0.65179018	0.652105946
0.087981033	0.867312512	0.865803413	0.619198064	0.159751866	0.161966162
0.867900487	0.865240228	0.077594468	0.159943878	0.161514933	0.623468053
0.470388149	0.419859894	0.877740171	0.559595624	0.520951696	0.170559908
0.072822238	0.856076706	0.071178426	0.629649021	0.149600545	0.650249068
0.480768913	0.401475251	0.877559043	0.590035094	0.548257683	0.170413063
0.824954428	0.823040581	0.825085296	0.298551601	0.298588796	0.298168644
0.415488715	0.877355648	0.469998634	0.53601616	0.170533944	0.575267395
0.143301949	0.826947681	0.149730716	0.576929779	0.119120469	0.604978551
0.86267424	0.85611936	0.130383553	0.15502478	0.156918271	0.586448273
0.422231242	0.878047187	0.459466595	0.555131314	0.170345706	0.590457372
0.880455467	0.054598181	0.054270254	0.175363591	0.689883706	0.690676393
0.068822162	0.071413619	0.855136326	0.649834446	0.629803647	0.148881019
0.876362752	0.884213929	0.0000055	0.170838294	0.175817444	0.699392571
0.876511327	0.884276164	0.027330313	0.170612465	0.175844372	0.695294395
0.404239625	0.87774974	0.473621935	0.586217611	0.170901857	0.625918205
0.881179492	0.00000488	0.00000492	0.175369441	0.699103563	0.699296629
0.577538291	0.877443439	0.523721874	0.533986577	0.170583123	0.56295987
0.866829324	0.865891807	0.088413587	0.159376225	0.161877643	0.619634941
0.07972662	0.071503453	0.855536813	0.647604708	0.627699804	0.14895633
0.882441176	0.041247675	0.040890189	0.175572814	0.692364893	0.692924097
0.05997049	0.039614297	0.079794824	0.679419689	0.67916394	0.679915023
0.059569006	0.064637649	0.063193573	0.652135219	0.651794178	0.651991167
0.877347891	0.437075102	0.446339488	0.170591516	0.57574467	0.546086521
0.445104172	0.877960642	0.438475761	0.562278482	0.170478808	0.591763867
0.077287968	0.080657645	0.868966866	0.67828329	0.666050085	0.162527003
0.876620582	0.877517724	0.877543211	0.170631145	0.170795701	0.17096718
0.070520837	0.051615333	0.082913123	0.673439638	0.672521371	0.674090053
