Va	Vb	Vc	Ia	Ib	Ic
0.099291836	0.841797671	0.103205763	0.602533288	0.134912113	0.627676648
0.855696509	0.10757921	0.864981523	0.155266146	0.593725347	0.157082677
0.435908042	0.877256574	0.448015816	0.542889456	0.170512312	0.575835802
0.103496326	0.841366516	0.125098985	0.598408918	0.135233205	0.623363476
0.40593992	0.877345247	0.480595673	0.532756004	0.170553974	0.575082928
0.855608535	0.111430818	0.864382677	0.154930215	0.592190183	0.155754738
0.865143353	0.077148153	0.867253312	0.16096571	0.622697595	0.160028845
0.855306826	0.10751598	0.865082563	0.154882979	0.593973929	0.157001372
0.00000492	0.00000485	0.881855006	0.699329798	0.699732577	0.175336016
0.860476929	0.843775163	0.137138043	0.153917876	0.148356635	0.566334538
0.070332663	0.065466318	0.085712497	0.670364821	0.671119655	0.672724951
0.86101848	0.844163893	0.14173609	0.152944784	0.14902939	0.564565351
0.864638667	0.854855191	0.107672266	0.156394338	0.154255963	0.593685091
0.088007416	0.867022101	0.86660044	0.619611152	0.159652936	0.161970969
0.145869637	0.825870281	0.15262498	0.575524473	0.119130705	0.605484616
0.10324266	0.841808714	0.125127647	0.598519894	0.135123278	0.62357147
0.877615405	0.44879009	0.4397412	0.170716956	0.559966438	0.527628908
0.455043877	0.435880273	0.877393936	0.611011151	0.577443951	0.170591138
0.870478466	0.873519364	0.055337927	0.16452579	0.167672094	0.654800936
0.068879968	0.071233905	0.855067163	0.649906047	0.629578739	0.148854793
0.054449293	0.054819877	0.055032757	0.690198153	0.690162096	0.690337856
0.432549316	0.877205906	0.447879877	0.55812832	0.170575062	0.590816737
0.573067176	0.877176864	0.543877181	0.537945877	0.17040177	0.564759625
0.040843235	0.876094597	0.883214861	0.692830416	0.170580263	0.175504246
0.87464146	0.076055553	0.871295835	0.168505659	0.650462686	0.164627157
0.855003575	0.064179586	0.077959626	0.148956801	0.653155925	0.632322531
0.405884374	0.877352406	0.480592336	0.532762573	0.170557378	0.575079397
0.055346554	0.872879033	0.873985681	0.654798959	0.165390331	0.16883269
0.09966957	0.841780675	0.092668883	0.604454617	0.134891671	0.629760468
0.437114127	0.446377592	0.877424591	0.57580054	0.546053409	0.17057524
0.054623672	0.054812213	0.054555337	0.690477009	0.689995303	0.690335449
0.062503843	0.062469137	0.062421947	0.638263289	0.638265266	0.638504041
0.825536352	0.147893485	0.131350934	0.119092044	0.604684608	0.57529227
0.098801558	0.131529746	0.170461017	0.617342987	0.621228727	0.621777495
0.867568312	0.865835472	0.081892414	0.159840643	0.161559787	0.62107596
0.856096522	0.091248397	0.074117814	0.149223266	0.645795608	0.625474939
0.873660784	0.873536132	0.872382184	0.18851784	0.189005337	0.188500817
0.123119086	0.863460169	0.85714979	0.588347192	0.155264984	0.15645629
0.864854213	0.854653166	0.107757663	0.156349069	0.154272842	0.593669812
0.133729735	0.862093186	0.843988043	0.567832089	0.155220669	0.1482037
0.877356596	0.45898386	0.425623718	0.170578107	0.575655226	0.539633302
0.448824739	0.43958422	0.8774739	0.55969471	0.52784867	0.170727324
0.00000488	0.00000497	0.882001016	0.699097614	0.699325429	0.17531764
0.877754429	0.877496098	0.878973632	0.170999684	0.170687007	0.171069804
0.095616563	0.866974171	0.866388798	0.617420768	0.159522435	0.162594947
0.459028052	0.425680568	0.877279055	0.575466891	0.539349799	0.170582016
0.841739957	0.103031965	0.099038963	0.134992923	0.62768171	0.602619843
0.131110893	0.826199647	0.149894259	0.576093811	0.11896426	0.603632336
0.05186116	0.053675861	0.058167339	0.654408662	0.654203601	0.65439946
0.868846875	0.075945046	0.078893838	0.16251926	0.676403564	0.664459488
0.128550976	0.316264261	0.218780197	0.623750825	0.626581643	0.621161545
0.413597333	0.877375171	0.475686456	0.566500731	0.170565049	0.606441175
0.877439221	0.451496584	0.431470172	0.170536214	0.609070189	0.57573752
0.465627169	0.424457334	0.877251608	0.608694489	0.572011986	0.170573009
0.877320486	0.484723138	0.392847432	0.170599757	0.625302054	0.582586538
0.040956575	0.881911349	0.041647578	0.692859248	0.175080313	0.69293213
0.09578393	0.866947828	0.865991418	0.617454977	0.159523029	0.162233931
0.874751492	0.883714304	0.0000055	0.170718506	0.17543994	0.699295569
0.864240169	0.856173051	0.116590422	0.155811603	0.155756073	0.590449943
0.028223576	0.028050039	0.881766741	0.69468837	0.69494492	0.175443207
0.1000491	0.081394973	0.869233217	0.66874286	0.657717251	0.16261135
0.877346496	0.484733874	0.392863254	0.170587662	0.625306055	0.582581559
0.1372224	0.86104942	0.842902129	0.56626272	0.154194718	0.148794556
0.856867504	0.130471068	0.863433072	0.156496158	0.586437754	0.154460723
0.869009795	0.097875888	0.080776359	0.162765036	0.666784791	0.6539691
0.103171619	0.078812274	0.856328683	0.643234898	0.623781436	0.149652269
0.873308418	0.874805535	0.875047529	0.188217954	0.189186198	0.189277568
0.855574617	0.107549729	0.865458769	0.154985428	0.593837159	0.157048112
0.410138953	0.877462998	0.480844545	0.517504439	0.170387118	0.559510648
0.014283775	0.881455342	0.014162363	0.697275279	0.175443874	0.697059087
0.437102527	0.44635445	0.877390987	0.575776666	0.546043658	0.170620418
0.824215644	0.823252461	0.823039945	0.298188693	0.298709181	0.298134851
0.084335691	0.868962956	0.085426137	0.660056308	0.162636682	0.674048061
