Va	Vb	Vc	Ia	Ib	Ic
0.8559392	0.111448499	0.864520654	0.155001332	0.59195268	0.155888151
0.469945685	0.415676435	0.877359557	0.575484215	0.536253075	0.170581422
0.877612911	0.438795904	0.438791167	0.170853229	0.626586058	0.596438988
0.868803661	0.081806621	0.078253386	0.162613086	0.673666191	0.661871657
0.85563849	0.107518193	0.865692119	0.155237292	0.593671018	0.1570942
0.087819456	0.867095199	0.865804317	0.619751262	0.159714452	0.162327637
0.044592227	0.872822286	0.874766387	0.65918573	0.165693522	0.168413269
0.878197677	0.439087863	0.439083232	0.17082635	0.626718023	0.596360053
0.841754241	0.092687309	0.099716997	0.134773059	0.629596843	0.604253725
0.068814436	0.071259415	0.855289904	0.649483057	0.629439215	0.149017079
0.448150391	0.435901252	0.877409138	0.575799583	0.542869923	0.170558809
0.871542639	0.875472477	0.065178772	0.164594813	0.168922939	0.652651535
0.103848239	0.841924523	0.125021917	0.598625766	0.135331639	0.623592971
0.33878465	0.825483086	0.334813936	0.586735678	0.118621321	0.612841919
0.876257112	0.882196884	0.0000055	0.170924002	0.175458189	0.699174146
0.866253642	0.077168886	0.868503347	0.161431156	0.623190222	0.159852955
0.147438464	0.860747627	0.845760874	0.562692936	0.153129627	0.150838459
0.08754444	0.079532347	0.868688773	0.672600828	0.660655553	0.162671695
0.099641974	0.841846632	0.092659975	0.604326033	0.134896248	0.629760071
0.147410568	0.859833531	0.844837102	0.562761768	0.152980703	0.150736804
0.841699786	0.124788782	0.103611986	0.135291043	0.623292766	0.598050016
0.00000488	0.00000489	0.881537412	0.699290682	0.699262282	0.175069471
0.865109088	0.077016414	0.866572839	0.160994292	0.623265674	0.159543194
0.864100472	0.856201198	0.116647488	0.15579849	0.155667911	0.590406933
0.473518974	0.404133575	0.87754125	0.625743552	0.586255609	0.170580461
0.455030898	0.43590281	0.877456277	0.610979204	0.577204653	0.170570269
0.075052185	0.856007367	0.091414135	0.62593524	0.149510197	0.645596198
0.078821345	0.868959338	0.08786121	0.66291586	0.162638576	0.671875098
0.013816812	0.013968747	0.013786582	0.696634538	0.697444175	0.696722294
0.877263823	0.473383143	0.403991271	0.170626992	0.625800566	0.586124794
0.079816033	0.071523521	0.855488526	0.647761304	0.627641146	0.148906077
0.473674487	0.404286245	0.877849423	0.625677027	0.58631763	0.17056847
0.107641384	0.864678219	0.85445924	0.593753508	0.156698214	0.154394442
0.125806366	0.11286895	0.152398616	0.61586897	0.612899766	0.615654195
0.871729398	0.875619927	0.065170033	0.164879063	0.169144755	0.652723143
0.877337367	0.437072162	0.446332103	0.170593115	0.575746136	0.546080553
0.102179233	0.841501965	0.083439423	0.605740434	0.134761656	0.630655429
0.855768143	0.111467153	0.864769581	0.155474272	0.59212773	0.156744085
0.103860856	0.841817095	0.125067987	0.598609482	0.135397162	0.623577619
0.426997281	0.877427695	0.450415882	0.593023268	0.170608571	0.626439999
0.824129039	0.823940715	0.826812075	0.29877063	0.298693384	0.29884064
0.039801691	0.046567662	0.073642802	0.677350865	0.67664221	0.677759762
0.047136327	0.871922764	0.873979276	0.656858801	0.164673612	0.167944753
0.462005735	0.415439021	0.877417791	0.62634128	0.589650765	0.170588604
0.013708057	0.877092766	0.883838803	0.697335438	0.170917752	0.175781187
0.079661526	0.071584041	0.85497917	0.647976134	0.627649503	0.148927443
0.099735212	0.841732153	0.092689191	0.604319936	0.134818536	0.629762414
0.487051668	0.401400053	0.877438355	0.607419216	0.564315273	0.170529301
0.877437813	0.474551111	0.478563113	0.170663854	0.562586429	0.533723806
0.401611771	0.877570767	0.480716555	0.548225168	0.170454523	0.589948579
0.410182227	0.87759075	0.480931418	0.51755707	0.1704969	0.559373593
0.113780257	0.100249896	0.841847588	0.626007251	0.600586661	0.135010883
0.881384001	0.00000488	0.00000486	0.175379382	0.699239085	0.699697614
0.427288247	0.878016388	0.450713534	0.593133806	0.170546879	0.626392761
0.882685041	0.027727432	0.027479418	0.175402176	0.694913811	0.694826539
0.877597052	0.471420105	0.477256979	0.170681247	0.561059289	0.532823307
0.069533106	0.065334459	0.084835591	0.670511609	0.670555561	0.67275265
0.0000028	0.00000296	0.00000283	0.699322737	0.698929267	0.698469664
0.072960115	0.855361956	0.071632188	0.629368756	0.148748396	0.649736817
0.099611151	0.080998409	0.869069089	0.668654343	0.656669233	0.162624345
0.863977215	0.857196347	0.130370505	0.155114926	0.156852324	0.58650275
0.411610417	0.877529316	0.469990415	0.551576327	0.170522794	0.590518528
0.074634117	0.075052146	0.075094621	0.634141898	0.634385766	0.634622207
0.882624193	0.027322148	0.875052177	0.175417946	0.695146514	0.170349957
0.438613566	0.877258388	0.438618298	0.596443782	0.170508232	0.626592569
0.841890878	0.092709192	0.09968518	0.13478673	0.629687029	0.604362705
0.079323115	0.082597718	0.868926777	0.678925135	0.666033442	0.162491349
0.458775727	0.421775456	0.876990068	0.590570798	0.554901487	0.170348891
0.846439522	0.153957099	0.859766551	0.150881198	0.560892114	0.151705609
0.00000482	0.88237838	0.00000484	0.699278146	0.175324616	0.699259396
0.863086011	0.863519609	0.863183646	0.218762209	0.219207846	0.219064806
0.872580763	0.87385591	0.055338044	0.165561653	0.168707043	0.654757222
0.869114159	0.082213261	0.074701612	0.162603232	0.674194764	0.660472816
0.055346554	0.872879033	0.873985681	0.654798959	0.165390331	0.16883269
0.878015117	0.470451246	0.420083104	0.170938012	0.559678837	0.521083508
0.844521675	0.141792136	0.861037622	0.149446213	0.564646024	0.153375521
0.067528238	0.067730955	0.067795391	0.636212941	0.63643454	0.636796198
0.102216098	0.841595875	0.083423951	0.606125235	0.134711998	0.631431472
0.855011243	0.068628969	0.072091615	0.149302461	0.649898445	0.629068539
0.88127537	0.0000049	0.00000477	0.175372008	0.699079245	0.69903712
0.028159728	0.027615434	0.881437395	0.694921789	0.694986667	0.174968808
0.841700313	0.092710117	0.099594717	0.134785185	0.629491815	0.604366278
0.862717763	0.863030816	0.863325412	0.218554406	0.219075225	0.219053953
0.013706649	0.876738201	0.884130009	0.697333921	0.170895686	0.175614591
0.102996588	0.099107024	0.841569391	0.627724845	0.60250739	0.135019788
0.881399096	0.041158549	0.041022651	0.175316031	0.692542344	0.693037807
0.869028495	0.080197958	0.077230098	0.162568202	0.674743104	0.663098754
0.074158316	0.855399638	0.082584498	0.628013794	0.149409992	0.648236955
0.438761793	0.877554504	0.438766494	0.596391693	0.170875553	0.626487576
0.081635671	0.869213484	0.099410125	0.657048614	0.162660881	0.669514868
0.226103357	0.229777158	0.827141266	0.610494213	0.578884339	0.118920219
0.87735933	0.473649692	0.410105925	0.170517973	0.609058607	0.569268519
0.027578536	0.881858658	0.027718605	0.695281482	0.175357194	0.695165999
0.873302846	0.874400719	0.875218167	0.188640244	0.188855786	0.189553016
0.877366327	0.469683393	0.415704436	0.170564402	0.575401489	0.536126579
0.823987692	0.823902988	0.826487185	0.298632774	0.29877771	0.299194833
0.448138722	0.435898197	0.877396132	0.575801972	0.542872463	0.17055938
0.125211916	0.299715138	0.207481908	0.621912068	0.621881439	0.620933327
0.8832737	0.054280384	0.87633878	0.175001184	0.690581784	0.170782189
0.882488242	0.027324144	0.87496929	0.175343647	0.695175173	0.170065853
0.104154846	0.866558412	0.867045478	0.615163503	0.159328373	0.162907238
0.446180765	0.877325171	0.443974862	0.576745394	0.170577393	0.607581656
0.045464938	0.04863973	0.051259009	0.657278106	0.658234196	0.659023753
0.013811957	0.014406991	0.014096314	0.697036756	0.69742951	0.697532368
0.132410505	0.826035749	0.148224873	0.575963847	0.118970937	0.603397656
0.825611667	0.823039967	0.825940404	0.29848341	0.298554522	0.297857329
0.871790759	0.875640778	0.075957936	0.16460922	0.169232796	0.650422898
0.864967529	0.855349121	0.116591004	0.15629987	0.156180891	0.590387972
0.847229486	0.15392055	0.860085404	0.151364351	0.560927651	0.152075626
0.864067084	0.856475319	0.116634353	0.155684159	0.155685857	0.590331317
0.415562009	0.877660713	0.462125737	0.589695475	0.170692193	0.626230738
0.86395156	0.854290158	0.107641296	0.156370361	0.154045444	0.59386967
0.081691871	0.078784764	0.868863775	0.675839737	0.663952039	0.162584342
0.841804711	0.102987059	0.099029852	0.13504733	0.627735846	0.602558914
0.02751315	0.881981318	0.027621824	0.694931922	0.175196127	0.695280546
0.868892362	0.091034214	0.07823446	0.162694739	0.671338267	0.659345522
0.877304233	0.459152531	0.422080166	0.170438974	0.590582517	0.554753079
0.480764392	0.401430103	0.877505846	0.59011723	0.548068728	0.170896459
0.860968924	0.844818791	0.141737902	0.153625534	0.149663426	0.56457308
0.401469745	0.877584707	0.480839798	0.548568503	0.170660298	0.590201572
0.421729073	0.877084682	0.45899077	0.554914198	0.1700327	0.590277209
0.459207859	0.422213023	0.877860917	0.5909138	0.555165053	0.170355169
0.447686018	0.43242354	0.876965286	0.591134066	0.558130639	0.170476464
0.075977696	0.871805497	0.874772343	0.650589574	0.16459376	0.168549459
0.875649518	0.065243362	0.871534139	0.168345436	0.652813451	0.164503061
0.845302887	0.14745786	0.859069093	0.149958375	0.562783274	0.152413581
0.083904005	0.306004217	0.282515843	0.619703206	0.619610739	0.618982329
0.141750264	0.860693294	0.84476148	0.564511388	0.153484741	0.149671473
0.877387366	0.469817168	0.415549496	0.170556689	0.575404546	0.536119938
0.286043597	0.298014463	0.825569358	0.61618527	0.588277214	0.11871545
0.872852228	0.874262989	0.87194784	0.188593868	0.188898873	0.188451548
0.079565799	0.071492814	0.85502817	0.647928316	0.627709409	0.148940823
0.877060492	0.473272391	0.40390006	0.170524717	0.625802444	0.586081118
0.102211691	0.841345689	0.083401593	0.605853633	0.1347592	0.631399197
0.083311651	0.289213924	0.267681713	0.62014952	0.619383395	0.621331481
0.455044157	0.43587867	0.877394082	0.611013173	0.577443344	0.170591141
0.01423586	0.014310328	0.881774062	0.697586324	0.697594519	0.175353302
0.103016851	0.078913829	0.855973189	0.643385868	0.623306474	0.149441969
0.877443496	0.462768512	0.420753392	0.170637493	0.609522902	0.572978083
0.044468141	0.049966013	0.051488799	0.658611788	0.659638178	0.658660309
0.027326246	0.876722903	0.884142196	0.695236092	0.171013315	0.175743585
0.87745652	0.437847179	0.443640637	0.17057048	0.590762124	0.561144408
0.292385728	0.825860399	0.28707956	0.583525151	0.118982684	0.612317185
0.076002896	0.871528854	0.875283119	0.650481251	0.164343812	0.168740453
0.083381249	0.102192887	0.841320634	0.630831008	0.606046474	0.134855625
0.877602605	0.473967353	0.483608256	0.170724993	0.561851134	0.532181267
0.877327176	0.437170786	0.444245564	0.170349136	0.591474149	0.561954722
0.876189057	0.883273495	0.054274491	0.171094645	0.175612819	0.690519922
0.08059561	0.855280355	0.104592112	0.623444825	0.149162717	0.643374595
0.841725694	0.092644812	0.099672879	0.134785453	0.629598081	0.604238778
0.081584294	0.85597634	0.068144456	0.631399213	0.149105936	0.65265578
0.877460468	0.877491454	0.878220016	0.170789045	0.170716624	0.171274097
