Va	Vb	Vc	Ia	Ib	Ic
0.869007609	0.097973432	0.080631842	0.162765122	0.66676365	0.653966352
0.027578536	0.881858658	0.027718605	0.695281482	0.175357194	0.695165999
0.133748266	0.862088345	0.844592567	0.567737584	0.154977159	0.147965541
0.843673865	0.133764717	0.862281319	0.147762009	0.567834897	0.154921575
0.045487754	0.048221882	0.054005698	0.655607821	0.656529583	0.655514453
0.841678146	0.124888348	0.103501773	0.135276426	0.623434391	0.598009847
0.884722724	0.013705744	0.877156267	0.175585764	0.697306026	0.171211183
0.404180897	0.877640871	0.473570996	0.586220195	0.17079721	0.625867222
0.142743059	0.826098355	0.149057463	0.576281891	0.119156844	0.605707635
0.393178327	0.877947091	0.485021343	0.582638985	0.170820896	0.625176016
0.07926637	0.869108347	0.093588976	0.659124023	0.16273011	0.6704726
0.055338306	0.871971329	0.874265571	0.654901973	0.164664325	0.168437743
0.861093714	0.844411548	0.141748349	0.15286831	0.148937965	0.564510882
0.130423424	0.863571158	0.857470554	0.586292139	0.155126384	0.157419219
0.469724949	0.411432889	0.877074252	0.590508881	0.552093431	0.170021709
0.435989651	0.877421516	0.448141766	0.542680436	0.170632472	0.575499553
0.867568312	0.865835472	0.081892414	0.159840643	0.161559787	0.62107596
0.454776859	0.436111683	0.877422112	0.611017111	0.577296359	0.170576902
0.06252814	0.062481134	0.062464028	0.638398573	0.638430835	0.638539483
0.877336135	0.438657644	0.438652845	0.17032902	0.626410997	0.596511287
0.073212875	0.85543045	0.071802137	0.629290065	0.149647458	0.649514016
0.459065092	0.425715633	0.877362791	0.575490393	0.539369076	0.170572352
0.876980811	0.480755236	0.401206262	0.170225927	0.589615425	0.54756776
0.292807285	0.825848672	0.287513292	0.584060913	0.119004267	0.61220946
0.864294444	0.862912472	0.864466006	0.219322393	0.219242916	0.219527051
0.404065409	0.87740909	0.473454205	0.586230504	0.170639811	0.625721266
0.861570055	0.84370497	0.137207088	0.15450381	0.148851467	0.566215457
0.878243182	0.470617013	0.4201294	0.170841903	0.559724777	0.521017107
0.133745738	0.86200242	0.844364318	0.567774471	0.154847638	0.147858249
0.062460366	0.062481486	0.062415037	0.638238312	0.638374879	0.638560914
0.825572706	0.147863188	0.131306714	0.119075458	0.604692157	0.575314165
0.24281211	0.242834829	0.825898154	0.608917009	0.58316509	0.119087025
0.060015647	0.060022663	0.059991081	0.639680089	0.640288906	0.639784902
0.874267859	0.049991121	0.872314663	0.168278321	0.65881862	0.164991212
0.855096115	0.123091501	0.864156889	0.156381139	0.588324168	0.155589878
0.062470069	0.062482883	0.062453336	0.638316426	0.638230029	0.638493608
0.401356222	0.877465453	0.480887026	0.547679728	0.17072622	0.589333453
0.871422641	0.874092552	0.047183769	0.164836241	0.168063387	0.657066508
0.41030003	0.877835848	0.48105459	0.517511015	0.17089301	0.559493426
0.054289332	0.881580778	0.054645623	0.690440816	0.175344363	0.689996279
0.845384558	0.137222727	0.861614474	0.148961873	0.566283935	0.154400753
0.871398104	0.875537316	0.047491529	0.164727956	0.168631062	0.657118804
0.051906038	0.053631129	0.058364534	0.65378562	0.654170369	0.653508667
0.081466396	0.867541822	0.865758456	0.621354899	0.159759091	0.161710506
0.06883865	0.071362969	0.855293322	0.650018577	0.629800492	0.148841861
0.85574247	0.09125715	0.07426277	0.149382144	0.645137539	0.625834717
0.844445985	0.13721509	0.861583874	0.14908003	0.566369385	0.154525038
0.078968571	0.081980049	0.868751681	0.677992464	0.665738583	0.162593707
0.401598504	0.877518228	0.480674881	0.548218552	0.170388847	0.589945857
0.88169771	0.054492919	0.054243182	0.175803652	0.690227219	0.690271933
0.079757304	0.869170334	0.093198756	0.65904554	0.162731896	0.670397578
0.410138953	0.877462998	0.480844545	0.517504439	0.170387118	0.559510648
0.449275107	0.440086146	0.878446837	0.559832005	0.527647704	0.170646091
0.86898181	0.083253347	0.075654334	0.162676577	0.674410979	0.660972986
0.079734748	0.869155528	0.093399895	0.659127757	0.162729549	0.670492657
0.099223494	0.841757708	0.103092046	0.602416964	0.134910241	0.627646901
0.869127647	0.07995299	0.077180178	0.162567289	0.674413593	0.663129419
0.130423491	0.863569659	0.857471025	0.58629205	0.155126468	0.15741928
0.877668995	0.448833319	0.439733581	0.170801242	0.55993221	0.527629377
0.078027426	0.081383491	0.869008977	0.67859281	0.665946528	0.162480423
0.885684197	0.027327713	0.878022243	0.176170343	0.695272095	0.170764157
0.877405246	0.461999008	0.415433378	0.170568428	0.626139735	0.589750358
0.846104139	0.153893629	0.859440001	0.151189451	0.56078854	0.152133437
0.866891614	0.087686213	0.867157973	0.161956128	0.619458074	0.159166718
0.07034439	0.051823407	0.083429557	0.673010709	0.672538337	0.67407256
0.123082238	0.86362366	0.856967837	0.588424885	0.155719828	0.15695071
0.041112812	0.040898704	0.881481425	0.692528633	0.692891181	0.175017984
0.446136056	0.877380484	0.445277832	0.576794967	0.170548104	0.6071294
0.099662421	0.841762433	0.092642614	0.604337823	0.13483622	0.629763031
0.86288529	0.862785744	0.863593923	0.218388916	0.218867026	0.219405343
0.459557325	0.429654663	0.877572753	0.559812529	0.524390068	0.170628934
0.103026626	0.078865058	0.855976951	0.643238399	0.623621355	0.149671487
0.86885025	0.07587496	0.078885696	0.162519872	0.676412582	0.664429097
0.073968975	0.855527116	0.082582485	0.627548786	0.149285302	0.647723289
0.874314774	0.065233906	0.872021204	0.16791209	0.652674244	0.164483594
0.051808225	0.053351745	0.057697891	0.654057163	0.653949416	0.653788567
0.877302607	0.462453233	0.421022907	0.170578531	0.608612989	0.572162704
0.069977502	0.071928295	0.073916047	0.649262019	0.649777658	0.649824917
0.876093708	0.883347682	0.027319485	0.170574236	0.175814005	0.695061313
