Va	Vb	Vc	Ia	Ib	Ic
0.846076785	0.846947047	0.846483463	0.256689874	0.257009602	0.257110095
0.058993617	0.038600017	0.077744853	0.679813583	0.679046943	0.68008879
0.419728383	0.877530328	0.470306842	0.521031938	0.170547499	0.559606197
0.405987156	0.877349649	0.480580826	0.532758827	0.170553777	0.575079293
0.041124694	0.040954307	0.880741934	0.692625427	0.69314839	0.174968905
0.432603788	0.877488464	0.448088861	0.558171348	0.170743638	0.591084293
0.863239369	0.856872356	0.130346018	0.15470066	0.156852391	0.586417715
0.041479308	0.88203463	0.041863325	0.692872365	0.175574155	0.692716206
0.107620747	0.864541356	0.855363362	0.593750112	0.156868176	0.154655668
0.872917229	0.875946439	0.047453257	0.165341308	0.169257874	0.657158434
0.48475035	0.392891063	0.877389668	0.625356424	0.582473112	0.170584787
0.080058381	0.855815809	0.104245987	0.623386014	0.149617281	0.643792236
0.877314814	0.459492091	0.429477656	0.170621023	0.559805583	0.524457271
0.111439788	0.86416481	0.855652847	0.592119028	0.155839919	0.155071284
0.844301887	0.13721883	0.861161247	0.148712241	0.56622551	0.154075927
0.40562235	0.877296355	0.48079762	0.532759225	0.17055759	0.575063821
0.11137999	0.864827373	0.854816557	0.592038534	0.15632067	0.155285837
0.062502946	0.062484516	0.062449203	0.638340553	0.638374675	0.638512397
0.882147815	0.040850446	0.874393749	0.174585077	0.692896808	0.170565968
0.13941796	0.825298133	0.146863399	0.574656761	0.118571203	0.601632222
0.00000549	0.875585481	0.885007651	0.699406059	0.170021238	0.175627597
0.027321198	0.876882882	0.882428487	0.695077355	0.170819753	0.17549519
0.862054715	0.842793738	0.133730009	0.154675604	0.147415247	0.567697051
0.419907512	0.877657608	0.470267453	0.520888293	0.170598483	0.559678722
0.469629189	0.411257876	0.876794472	0.59054781	0.551781155	0.170369996
0.876532883	0.883117388	0.013706198	0.170809238	0.175617565	0.697305007
0.077287968	0.080657645	0.868966866	0.67828329	0.666050085	0.162527003
0.465723111	0.424556522	0.87737493	0.608784426	0.5721748	0.170600281
0.44636738	0.877395193	0.437094513	0.546053351	0.170612688	0.575750295
0.448686471	0.439485144	0.877241826	0.559916829	0.527578182	0.170476243
0.04527097	0.873071994	0.875275942	0.659153183	0.165555986	0.168669673
0.877188325	0.438583472	0.438578747	0.170363708	0.626563782	0.596402454
0.013706421	0.876385148	0.883304935	0.697289947	0.170833763	0.175610044
0.130404151	0.863699317	0.857740377	0.586431615	0.155147412	0.157452545
0.846224009	0.845320544	0.848436371	0.25722398	0.256851576	0.257552051
0.413552356	0.877410619	0.47571822	0.566211735	0.170624384	0.606087646
0.855856888	0.066577812	0.078948332	0.148836851	0.6521221	0.631703988
0.496714952	0.512170153	0.877529706	0.560599277	0.531679933	0.17063375
0.877577163	0.472043261	0.479074447	0.170692729	0.561263575	0.532266153
0.028163346	0.027898626	0.881794356	0.694926663	0.695036763	0.174905258
0.153948649	0.860117354	0.846848914	0.560853265	0.152731667	0.151911409
0.459611451	0.429576868	0.877555282	0.55985135	0.524460349	0.170771094
0.218449559	0.826320296	0.212557662	0.579963936	0.119252635	0.610099342
0.040846996	0.875860189	0.882596492	0.692894831	0.170421359	0.175444167
0.877348583	0.459010067	0.425597308	0.170580404	0.575609154	0.539612585
0.874731201	0.076026466	0.871388082	0.168507272	0.650511433	0.164571067
0.861598165	0.845653675	0.14171461	0.153881434	0.150059938	0.56459704
0.860747304	0.843902147	0.14177531	0.153825212	0.149809397	0.56449991
0.411521551	0.877287334	0.469841501	0.551731538	0.170175242	0.590544356
0.86891387	0.090130453	0.076009455	0.162711353	0.671517409	0.659233687
0.139179048	0.132143403	0.824567998	0.605025384	0.577590652	0.118808779
0.855982492	0.123120501	0.862850969	0.156090709	0.588502923	0.154891249
0.823596607	0.823746329	0.825308009	0.298601841	0.298809344	0.299378468
0.567074431	0.877266043	0.553562096	0.537142043	0.170482851	0.565700196
0.123111608	0.863327991	0.85684748	0.588448331	0.155034664	0.156249279
0.877321568	0.437062807	0.446326942	0.17059425	0.575739202	0.54606475
0.841625051	0.113737306	0.100398999	0.135061628	0.625712639	0.600455143
0.42378742	0.877340637	0.465946082	0.57282596	0.1705544	0.60944951
0.86362926	0.856198795	0.123157271	0.15581997	0.156566408	0.588466302
0.140457543	0.130962576	0.82571573	0.605998628	0.57726907	0.119203125
0.875645932	0.883879943	0.054267578	0.17051358	0.175249951	0.690398931
0.861087154	0.842547749	0.133719184	0.154857099	0.147796469	0.567792565
0.862152903	0.845012108	0.137238989	0.154565782	0.148925664	0.566195816
0.859803472	0.845987485	0.153941613	0.151578133	0.150748062	0.56100933
0.448139712	0.435912283	0.877413101	0.575750095	0.542815555	0.170566585
0.881360945	0.00000479	0.00000488	0.175368585	0.699315545	0.699694016
0.866957315	0.866608736	0.081754982	0.159584418	0.16188576	0.621364087
0.843411078	0.137183705	0.860799157	0.148373895	0.56617546	0.154143189
0.06769566	0.067618437	0.067851837	0.636445905	0.636507142	0.636751996
0.045434892	0.048293803	0.05366926	0.655853213	0.656061831	0.656045803
0.865806962	0.08150563	0.867526994	0.161412873	0.621167913	0.159623692
0.00000278	0.00000295	0.00000287	0.699169269	0.699004103	0.699302622
0.844784172	0.846347938	0.845982513	0.256837381	0.256772809	0.257604797
0.876831619	0.480461598	0.401396232	0.170705498	0.590279625	0.548155275
0.43473051	0.8774624	0.45518954	0.57535329	0.170564302	0.608670321
0.877348577	0.458980407	0.425625219	0.170576377	0.575626843	0.539622573
0.045293661	0.048795647	0.051332724	0.657319122	0.658064037	0.658941292
0.286043597	0.298014463	0.825569358	0.61618527	0.588277214	0.11871545
0.86639806	0.081527928	0.867290177	0.161705493	0.621429187	0.159569165
0.845496656	0.141745673	0.85994446	0.150133641	0.564561194	0.153895971
0.845254012	0.147479876	0.858831573	0.150202284	0.562776498	0.152501779
0.825144074	0.147583623	0.131809372	0.119027544	0.604100651	0.576031938
0.051939221	0.053603283	0.058345195	0.654256354	0.654208743	0.654296912
0.147423698	0.133852937	0.82527625	0.603659329	0.573399244	0.119093169
0.079589849	0.868976474	0.093415509	0.659241571	0.162662906	0.67039393
0.572760499	0.877107461	0.543633161	0.538601537	0.170404872	0.565921784
0.039666086	0.046674624	0.073599141	0.676679096	0.676920288	0.677081513
0.881451098	0.00000495	0.00000479	0.175332831	0.69952649	0.699666494
0.014431643	0.880955096	0.014813491	0.697336743	0.175209877	0.697349837
0.062454984	0.062474111	0.062396733	0.638267956	0.638454336	0.638512762
0.883650211	0.054277685	0.876577244	0.175020569	0.690541032	0.170790419
0.480768218	0.401471488	0.877555324	0.590035547	0.548258181	0.170419623
0.883368154	0.054281027	0.876914627	0.175161971	0.690594094	0.170795803
0.055375682	0.87181516	0.874376885	0.654914475	0.164666602	0.16845812
0.841555888	0.102894452	0.09909297	0.134975435	0.627886121	0.602827764
0.867263637	0.866498332	0.095437961	0.159495156	0.162692465	0.61734578
0.872078263	0.875660395	0.075951724	0.16475027	0.169355252	0.650430157
0.88429504	0.027326515	0.875765361	0.17617672	0.695251398	0.170630201
0.425654653	0.877267531	0.459014339	0.539417365	0.170581701	0.575495469
0.877335113	0.459059581	0.425540538	0.170583558	0.575646828	0.539632965
0.086456947	0.869171199	0.082927479	0.665295075	0.162463499	0.677296508
0.877426383	0.473461409	0.404075885	0.170626059	0.625922852	0.586025623
0.446341907	0.87734425	0.437069284	0.546071327	0.170598831	0.575716251
0.877181879	0.447875019	0.432822487	0.17023477	0.590939759	0.558566702
0.87743781	0.450423951	0.426999421	0.170490039	0.626367099	0.593212744
0.040827279	0.04661574	0.074921892	0.677236753	0.678221706	0.680675969
0.00000489	0.00000491	0.881683898	0.699178608	0.699212923	0.17542241
0.153968467	0.859596276	0.846761162	0.56082241	0.152061476	0.151294599
0.445716063	0.877355416	0.444613256	0.57681193	0.170569945	0.607664755
0.095649352	0.86748567	0.866585927	0.617589961	0.159486244	0.162289712
0.866922008	0.866436027	0.088300234	0.159557452	0.162290916	0.619568822
0.111370179	0.864719317	0.855566259	0.59203994	0.156241473	0.155215241
0.873046772	0.876439685	0.075952365	0.165031527	0.168981986	0.650455829
0.876596094	0.883255193	0.013705822	0.170737666	0.175590211	0.697280609
0.871105328	0.874540603	0.07595744	0.164401716	0.168136341	0.650375083
0.480844385	0.401360623	0.877515268	0.59024271	0.548164881	0.170872331
0.875803821	0.883290336	0.013707254	0.170385397	0.17531509	0.697343494
0.485005298	0.393163429	0.877916239	0.625149205	0.58259739	0.170754468
0.448131606	0.435906964	0.877399723	0.575758238	0.542809932	0.170567899
0.864884963	0.077028331	0.867306928	0.160968915	0.622745531	0.159839139
0.014458391	0.014478732	0.881833707	0.696905125	0.697399431	0.175313361
0.860617596	0.844536704	0.137246616	0.153790032	0.148569217	0.566175713
0.877590691	0.438784785	0.438780041	0.170610228	0.626496553	0.596422586
0.079718015	0.071536555	0.855581635	0.648135898	0.627200227	0.149131049
0.841270995	0.083365283	0.102205721	0.134761291	0.631387162	0.606063282
0.401890882	0.878052427	0.480905285	0.548320896	0.170242636	0.590147226
0.449159977	0.43995482	0.878197458	0.559820379	0.527678706	0.17064197
0.864357266	0.855888924	0.116635331	0.15562825	0.155633237	0.590348926
0.448141344	0.435901454	0.877408033	0.575818949	0.542883846	0.170554094
0.841858161	0.092762543	0.09965158	0.134797741	0.629619034	0.604365461
0.132375321	0.825964006	0.14994736	0.576040405	0.118953803	0.604168101
0.113752448	0.100307496	0.841712857	0.626010503	0.600589875	0.135014274
0.123111794	0.863376316	0.856570998	0.588393106	0.1550881	0.156301453
0.140383335	0.826471797	0.151922254	0.576274159	0.11887543	0.603224777
0.87757268	0.884917578	0.013707591	0.170922339	0.175870438	0.697398076
0.476168798	0.413525812	0.877413499	0.610202214	0.570003734	0.170563035
0.877499795	0.462043806	0.415483311	0.170497426	0.62608768	0.589817575
