Vam	Vbm	Vcm	Iam	Ibm	Icm
0.867537496	0.866468663	0.087785307	0.159946809	0.162421208	0.619364565
0.882035999	0.041213735	0.040862292	0.175243478	0.692569076	0.692531285
0.133269536	0.128648711	0.098444031	0.610068404	0.609692908	0.614336485
0.027398527	0.076684391	0.076566293	0.678726064	0.680024234	0.678575517
0.072236542	0.069983864	0.074193713	0.649749109	0.649684985	0.649830731
0.437068452	0.446320713	0.877321005	0.575746164	0.546058488	0.170603138
0.412063711	0.877596261	0.470085469	0.551848391	0.170603278	0.59070983
0.842050543	0.125043882	0.103337698	0.135183626	0.623879632	0.598421215
0.079026435	0.855630133	0.102957821	0.623594309	0.149457494	0.643375268
0.872448268	0.87371843	0.075980749	0.165241841	0.168596045	0.650525802
0.876031088	0.883605033	0.013707121	0.17040512	0.175605036	0.697353493
0.841697152	0.092753579	0.099819807	0.134789877	0.629518839	0.604024246
0.048034681	0.045243274	0.05222765	0.656156051	0.656221845	0.656222789
0.060008434	0.06001506	0.059972891	0.640113164	0.640279145	0.640250817
0.85679557	0.13042704	0.863112623	0.156790079	0.586516093	0.154873707
0.842099236	0.125105282	0.103541117	0.135212978	0.623790428	0.59822138
0.040932121	0.881561553	0.041224965	0.692847575	0.175251795	0.692721577
0.02739504	0.027967606	0.027952528	0.694953571	0.694999009	0.695285376
0.866346933	0.866079168	0.087869887	0.159413788	0.162061279	0.619459659
0.414108972	0.877331052	0.474816162	0.568889251	0.170535651	0.608671423
0.84169037	0.092774152	0.099911201	0.13488191	0.629375557	0.604326079
0.168625749	0.091560727	0.169465386	0.619476806	0.616525013	0.620495748
0.32848287	0.333007813	0.8251874	0.614992453	0.58698875	0.118535068
0.845724132	0.846433284	0.845102027	0.25670085	0.256924994	0.256367741
0.844291368	0.137279977	0.862222784	0.149053764	0.566381025	0.154672656
0.445916215	0.447860174	0.877275971	0.608688804	0.578365529	0.170541717
0.095472061	0.866646328	0.866075422	0.617216458	0.15906	0.162376603
0.873879701	0.88193162	0.013707933	0.17028987	0.174818032	0.697370619
0.448656685	0.439436027	0.877161208	0.559748401	0.527735886	0.170319006
0.14742515	0.860729403	0.845435654	0.562653474	0.153150682	0.15075036
0.855645864	0.09124412	0.074327921	0.149092897	0.6458265	0.625771966
0.083629279	0.868776576	0.094040049	0.655511721	0.162780661	0.668473376
0.874186991	0.047101357	0.872081512	0.168322352	0.65698393	0.165115929
0.873686039	0.876404864	0.047209147	0.165623531	0.168867712	0.656961531
0.059995459	0.060017591	0.06000813	0.640143087	0.640105355	0.640212254
0.432683412	0.877409633	0.448137129	0.557963413	0.170467972	0.590328435
0.040860572	0.874717922	0.882365913	0.693156019	0.170487255	0.17463785
