Vam	Vbm	Vcm	Iam	Ibm	Icm
0.881742333	0.054604043	0.054135933	0.175354313	0.689912324	0.690472058
0.877412529	0.480741394	0.401447938	0.170261419	0.590176426	0.548034898
0.86386034	0.857124805	0.123055653	0.155483176	0.156320042	0.588354091
0.845714004	0.147387389	0.860781423	0.150632667	0.562778757	0.153129145
0.083165975	0.869303407	0.099513752	0.654939018	0.162643095	0.667582305
0.866023253	0.08180506	0.867744624	0.162010095	0.620866147	0.159853913
0.844383069	0.14183818	0.860857451	0.149851323	0.564506319	0.153792297
0.339125649	0.332919711	0.824769682	0.612736327	0.586520741	0.118627858
0.865135268	0.077072436	0.867670136	0.161137569	0.623370021	0.159899879
0.877421839	0.437099792	0.446388704	0.17058865	0.575744968	0.546088734
0.845194063	0.153967579	0.859277097	0.151145397	0.560817539	0.151963146
0.111453196	0.864805975	0.855044513	0.592249208	0.155969523	0.154906064
0.437925102	0.445077183	0.877130342	0.59102062	0.561119375	0.17071612
0.014036656	0.014034682	0.881052121	0.697016032	0.696813835	0.175210089
0.087994234	0.866824177	0.865589084	0.619511746	0.159489223	0.162141993
0.825547163	0.13615566	0.1296642	0.119087285	0.605884338	0.577187898
0.871786839	0.874339824	0.07597648	0.164687154	0.168063622	0.650558576
0.054040596	0.051403753	0.05722817	0.65429939	0.654131598	0.654018069
0.438689584	0.877409741	0.438694285	0.596567623	0.170400993	0.62652205
0.054179187	0.881861778	0.054632054	0.6900602	0.175344206	0.690593872
0.079910394	0.869260012	0.082036598	0.663601544	0.162415743	0.675545502
0.878563243	0.877609081	0.877330504	0.170883514	0.170687028	0.170574409
0.873523195	0.05533473	0.86997478	0.168436486	0.654875899	0.164063088
0.866956113	0.866661588	0.095428869	0.159547617	0.162385687	0.617567638
0.108111034	0.86474273	0.854722113	0.593686582	0.156629805	0.154547816
0.480583164	0.401188619	0.877103157	0.589960287	0.548235196	0.170003577
0.437097606	0.446344981	0.877375604	0.575770736	0.546063932	0.17060388
0.877348688	0.469964783	0.415407893	0.17057224	0.575467693	0.536160738
0.083820085	0.869161304	0.080051055	0.66456824	0.162686308	0.6776165
0.410306178	0.877654726	0.480880553	0.517693805	0.170677336	0.559333523
0.87738737	0.436973793	0.4446323	0.170347198	0.591955672	0.562371303
0.518904835	0.51756613	0.877424251	0.562113182	0.532289217	0.170629856
0.877425742	0.462009892	0.415442883	0.170504136	0.626158352	0.589752636
0.401721635	0.87743525	0.480710877	0.548398324	0.16999491	0.590027824
0.881741531	0.054604009	0.054135934	0.175354366	0.689911991	0.690472079
0.094934882	0.337640359	0.286828247	0.622128247	0.624349764	0.62175257
0.419885973	0.877639746	0.470256094	0.521017317	0.170731558	0.559681045
0.84204104	0.125027754	0.103507487	0.135222798	0.623825158	0.598252081
4.86575E-06	0.881453196	4.84946E-06	0.698987578	0.175168675	0.699296851
0.106029431	0.082022217	0.855177346	0.642209009	0.623635263	0.149073068
0.877230077	0.484248535	0.399234604	0.170599197	0.608534838	0.565906243
0.46128708	0.877793154	0.452178089	0.530297308	0.170778014	0.559458269
0.863937032	0.85569503	0.116726596	0.1557923	0.155606875	0.590306405
0.0717441	0.855191969	0.079607203	0.62739222	0.148840575	0.647915484
0.868987773	0.080661939	0.077813152	0.16253358	0.674911108	0.663389421
0.123184382	0.864226574	0.856825923	0.588521286	0.155556859	0.156657671
0.448116955	0.432755464	0.877729984	0.591120407	0.558384822	0.170632229
0.040904256	0.880493414	0.041083941	0.692966611	0.175341771	0.692150664
0.884098761	0.040849898	0.876815281	0.175291268	0.6928945	0.170725915
0.856701836	0.123065194	0.864538716	0.156715133	0.588437703	0.155822984
0.872518354	0.875150885	0.055298379	0.165031576	0.169060023	0.654872438
0.841714813	0.113825355	0.100074238	0.135042346	0.625735499	0.600546386
0.480828052	0.405743511	0.877435479	0.575202441	0.532703988	0.170599922
0.855528426	0.068919678	0.071415827	0.149042878	0.64982119	0.62932604
0.091294536	0.074401107	0.855503457	0.645535916	0.625578884	0.149145985
0.475727406	0.413853318	0.877443936	0.607919857	0.568343944	0.170588455
0.822923864	0.823320917	0.82294104	0.298262346	0.298614041	0.298321327
0.059989388	0.060022715	0.059984831	0.640105963	0.640091965	0.640237358
0.844447711	0.137275028	0.862781719	0.149097804	0.566387921	0.154701697
0.880490782	0.014378616	0.014422044	0.17536909	0.696427101	0.697259727
0.027292783	0.07571383	0.075617454	0.678738319	0.680005157	0.678618201
0.877422864	0.461675004	0.422159186	0.170577853	0.609534811	0.573115862
0.041137173	0.040920581	0.881463066	0.69232289	0.692822068	0.175487902
0.866736048	0.866318687	0.103944428	0.159027867	0.16244977	0.615229199
0.847934361	0.154014476	0.85888372	0.151154352	0.560794836	0.151799617
0.877025689	0.480678757	0.409879103	0.170480711	0.559509523	0.517433555
0.437103422	0.446359172	0.877395565	0.575776107	0.546074698	0.170603696
0.074952409	0.076958167	0.8549951	0.649583051	0.62959481	0.149261186
0.860564579	0.845613256	0.141765616	0.153882285	0.1499342	0.56437339
0.884876158	0.013706763	0.877106615	0.175623115	0.697372765	0.171369228
0.877067796	0.884322023	0.013705995	0.171447041	0.175602481	0.697298042
0.027331196	0.875137926	0.884102261	0.695395887	0.170759697	0.175945663
0.100247062	0.841730216	0.113842839	0.600323861	0.134951934	0.625665317
0.091358824	0.074510028	0.855902796	0.645591434	0.62576666	0.149376429
0.454900061	0.436030891	0.877322489	0.609849262	0.576384394	0.170605849
0.047360157	0.872347063	0.874385769	0.658399395	0.164892177	0.168430446
0.078119758	0.081021506	0.868956154	0.675165808	0.664374777	0.162505085
0.100191198	0.842200494	0.1141145	0.600582196	0.135054849	0.625824156
0.86503691	0.856946727	0.116675632	0.155765641	0.155713472	0.590333744
0.882097777	0.027506809	0.027369364	0.175611902	0.694887407	0.695315189
0.855640906	0.079878057	0.071527946	0.149287217	0.647681366	0.627766189
0.846678566	0.153958494	0.858662151	0.151082313	0.560867723	0.151881069
0.854952942	0.111502043	0.864787458	0.154969785	0.592072265	0.156244436
0.435718192	0.877345376	0.454135294	0.576790525	0.170515502	0.610266875
0.518263441	0.52814019	0.877757603	0.561266933	0.532144273	0.17097721
0.877357255	0.473373764	0.410026751	0.170597622	0.608768805	0.56908878
0.459042276	0.425498334	0.877159834	0.575661009	0.539604442	0.17053841
0.873300873	0.873326575	0.874101073	0.188590385	0.188756075	0.188758711
0.100267556	0.081659306	0.868807216	0.665767793	0.655469835	0.162748481
0.884536689	5.49578E-06	0.876129418	0.176147842	0.69939583	0.17075284
0.841997412	0.10308529	0.09914747	0.134886547	0.627907333	0.602505431
0.040865041	0.875016131	0.882367719	0.69323194	0.1704828	0.174483984
0.877821511	0.450614871	0.427191752	0.170835849	0.626400795	0.592999866
0.459040072	0.877807736	0.453498652	0.530868172	0.170992713	0.56016181
0.846325687	0.847256356	0.846894526	0.257501471	0.257008895	0.257468809
0.869078919	0.079889528	0.078371454	0.162550522	0.675091775	0.662544057
0.055307542	0.871463934	0.874705935	0.654964226	0.164133061	0.168232268
0.426195916	0.877463173	0.464066477	0.573033783	0.170574372	0.609583187
0.100222663	0.842086883	0.114003903	0.600747108	0.135112119	0.625925238
0.856558754	0.130451855	0.86387088	0.156737665	0.586473387	0.154820692
0.845540033	0.14184129	0.861233684	0.149738529	0.564564698	0.153430402
0.461822976	0.415264821	0.877060356	0.626071075	0.589792862	0.170590816
0.041163313	0.040920431	0.881870167	0.691719971	0.692786958	0.175485852
0.87335411	0.872608234	0.873577391	0.18868515	0.188616358	0.188409997
0.825909425	0.145664839	0.128827246	0.119376061	0.603481916	0.574449677
0.874755084	0.076009149	0.871586514	0.168689433	0.650295875	0.164528627
0.470398466	0.419852953	0.8777334	0.559499691	0.520943999	0.170686209
0.081550222	0.867871199	0.865791491	0.621291577	0.159806395	0.161882769
0.868928309	0.080154807	0.077101414	0.162523762	0.674574813	0.66358177
0.055295111	0.871302723	0.874264059	0.654985475	0.164153281	0.168236508
0.86879681	0.077243853	0.081419346	0.162571054	0.675827105	0.664693988
0.085966161	0.076902095	0.86909976	0.672778428	0.660625908	0.162534078
0.877387623	0.451129314	0.432462265	0.170542057	0.609046865	0.575774441
0.077172224	0.867667017	0.865800864	0.623172961	0.159988279	0.161936612
0.214750567	0.826343326	0.211504218	0.583533069	0.119125795	0.610262739
0.091339051	0.078829219	0.86928403	0.673024381	0.658460614	0.162585548
0.862048514	0.844088578	0.133785793	0.155479858	0.148692949	0.567830674
0.876750292	0.473113827	0.403749198	0.170364046	0.625854257	0.585961904
0.869037403	0.082555934	0.073569007	0.162646946	0.672574864	0.660454705
0.867735315	0.865643422	0.087801153	0.159774791	0.162069529	0.619594072
0.825458245	0.137682694	0.129999519	0.11895991	0.604345611	0.575485722
0.027449483	0.028334607	0.028138584	0.694907019	0.694868014	0.695056816
0.861226073	0.844358646	0.141807007	0.153132907	0.14918713	0.564459636
0.100251588	0.84211506	0.114146722	0.600678565	0.135101868	0.625893373
0.448160719	0.432777695	0.877786576	0.591028075	0.558189835	0.170845165
0.882557064	0.054271803	0.874776264	0.17525861	0.690508716	0.170564199
0.877744873	0.450574615	0.427155766	0.170824929	0.626475323	0.59303942
0.063822672	0.059896873	0.06576204	0.651870887	0.651965524	0.651686054
0.132560252	0.827246644	0.139975134	0.576703834	0.119899726	0.6054746
0.864990745	0.864878229	0.863118795	0.219208066	0.219068329	0.219072888
