Vam	Vbm	Vcm	Iam	Ibm	Icm
0.054289301	0.876474747	0.883058319	0.690742761	0.1708451	0.174912378
0.464829691	0.877902035	0.452001243	0.530845721	0.171086214	0.559908479
0.877331252	0.43885725	0.444280404	0.170577341	0.608523833	0.57833291
0.877311622	0.458825561	0.42211227	0.170783626	0.590896312	0.555099993
0.432860006	0.877454686	0.44800538	0.558434466	0.170574623	0.591532783
0.125049394	0.103305304	0.841649382	0.623496204	0.598426007	0.135357245
0.480583119	0.401188584	0.877103059	0.589960288	0.548235188	0.17000353
0.874311993	0.874533274	0.873834601	0.188691476	0.189291	0.188836228
0.841919808	0.103019824	0.09921877	0.134870401	0.627848522	0.602533032
0.877349143	0.437072129	0.446344078	0.170617629	0.575716436	0.546061718
0.448120296	0.436003444	0.877404707	0.575573428	0.542812073	0.17058808
0.027968076	0.027464687	0.881656399	0.694556511	0.694599667	0.175323853
0.877496896	0.44886678	0.439558779	0.170694531	0.559682305	0.527747512
0.135138643	0.126019068	0.827163557	0.60421145	0.576284535	0.119106954
0.438413143	0.876856964	0.438417837	0.59650549	0.169938997	0.626380807
0.078705764	0.081680465	0.868900166	0.675152949	0.663857816	0.162617877
0.841714743	0.092760291	0.099837953	0.134784327	0.629494741	0.603968854
0.095443602	0.866720432	0.867002431	0.617360141	0.158996491	0.162464495
0.42970815	0.877783122	0.459714317	0.524337529	0.170806415	0.559932392
0.013762625	0.014533371	0.014369247	0.696882687	0.697343917	0.697274082
0.450864252	0.427438791	0.878317678	0.626452985	0.593204091	0.170645746
0.877895709	0.459184929	0.422363712	0.170875516	0.591036124	0.554875812
0.826008511	0.295060779	0.297820198	0.118556083	0.614752724	0.584899118
0.080772639	0.078296304	0.868894473	0.67421881	0.662255836	0.162473318
0.877851259	0.876622545	0.877498124	0.170870004	0.170613847	0.170595675
0.864137344	0.855593558	0.111433503	0.156128678	0.155172643	0.592183817
0.041043158	0.041283624	0.041600043	0.692195621	0.692464639	0.692329867
0.872587973	0.874250956	0.075968793	0.164688985	0.168103459	0.650578202
0.87204775	0.87431054	0.046614418	0.164798748	0.168003863	0.658903835
0.856039551	0.079780362	0.071591616	0.149301058	0.648132029	0.627453147
0.141756617	0.860640784	0.846083012	0.564528578	0.153117944	0.149481618
0.882951817	0.04085248	0.876271595	0.174803743	0.69290282	0.170753691
0.103138179	0.099323899	0.841526604	0.627769103	0.602763588	0.13501026
0.130507633	0.862882909	0.856989167	0.586512871	0.154816298	0.156893305
0.846448464	0.846535271	0.846191536	0.256873486	0.256589716	0.256510054
0.445434169	0.449273029	0.877346112	0.608474527	0.578268307	0.170601262
0.082103529	0.868821145	0.093477994	0.65522786	0.162768065	0.668601673
0.877410656	0.461651921	0.42219965	0.170577842	0.609530736	0.573124694
0.866292346	0.095513235	0.866299541	0.16246153	0.61778364	0.15903412
0.881315226	4.79594E-06	4.87373E-06	0.175235478	0.699379047	0.699006892
0.877244743	0.492632751	0.496705268	0.170549046	0.561316313	0.531665355
0.869260524	0.090897264	0.0785395	0.162659618	0.672495276	0.658801606
0.092594723	0.099754036	0.84163591	0.629562489	0.604308906	0.134842865
0.088071918	0.86680214	0.865501184	0.61943737	0.159455753	0.162149753
0.865985719	0.087634302	0.867009045	0.161658048	0.619739139	0.15946377
0.438120367	0.44529544	0.877610002	0.592395004	0.562878223	0.170903906
0.319625124	0.825765411	0.309029797	0.582908133	0.118738228	0.612034272
0.855471326	0.06692435	0.078878907	0.148827997	0.65258948	0.632443729
0.422164166	0.877363139	0.45912706	0.555185179	0.170428622	0.590948301
0.091250433	0.074736838	0.855817568	0.645709214	0.625886595	0.149452465
0.868903625	0.091683398	0.079598637	0.162611736	0.671345587	0.659742796
0.465547976	0.877479936	0.449588052	0.531203172	0.170688642	0.560345505
0.869208202	0.092785005	0.079432719	0.162662926	0.672303679	0.658655196
0.877066044	0.448500531	0.4394997	0.17073379	0.559906426	0.527523147
0.077176027	0.867722618	0.865129095	0.623329246	0.159989236	0.161354001
0.873985252	0.873815591	0.873794224	0.188610925	0.188733866	0.188803102
0.884368063	0.027325163	0.876059447	0.176181102	0.695181858	0.170759216
0.014298296	0.881207951	0.014314287	0.697149322	0.175180979	0.696590169
0.065224098	0.87105164	0.874744628	0.652432235	0.164377155	0.168449137
0.103960638	0.841563628	0.124828093	0.597857726	0.135379271	0.623068473
0.067205219	0.07924872	0.855563104	0.652203601	0.633019396	0.148974164
0.081693273	0.867019072	0.865325443	0.62119447	0.159615795	0.16146308
0.4481671	0.435965494	0.877436883	0.575567488	0.542785009	0.170622314
0.154091186	0.858834996	0.84704751	0.560976712	0.151977766	0.151297947
0.05425304	0.881685609	0.05458623	0.690420667	0.175305447	0.690370892
0.877185219	0.438581884	0.438577151	0.170392892	0.626376677	0.596449608
0.10336926	0.842039357	0.125177162	0.59816123	0.135235542	0.623504711
0.846323626	0.846225185	0.845892175	0.256748078	0.257069235	0.256724052
0.476227665	0.413446143	0.877345926	0.608841503	0.569278034	0.170597485
0.083389693	0.102234983	0.841748915	0.63136085	0.606021838	0.134693064
0.459096824	0.422085775	0.877622636	0.590723134	0.555072863	0.170541855
0.099960672	0.082352437	0.868796843	0.66583233	0.655404062	0.162742152
0.870128232	0.873762559	0.06520623	0.164226163	0.168391209	0.652721093
0.445468957	0.449068442	0.877336772	0.608467881	0.578271007	0.170603758
0.071299043	0.06563238	0.085275743	0.669651995	0.670119133	0.670565588
0.882603425	0.013707917	0.876387041	0.175571587	0.697405729	0.171477131
0.045697913	0.049185876	0.052587274	0.65748441	0.658486292	0.659028468
0.822251523	0.823199711	0.822793149	0.29810589	0.298657783	0.298136179
0.15402545	0.859950429	0.846447092	0.5608795	0.152256003	0.151501554
0.877269321	0.480593743	0.401406373	0.170104242	0.589945302	0.548331533
0.05492208	0.054728551	0.055794492	0.690396496	0.690105278	0.690617473
0.877507766	0.437194492	0.444321731	0.170507998	0.590961253	0.561465853
0.841429847	0.11370217	0.100383738	0.1350891	0.625740726	0.600564462
0.065245009	0.871145646	0.875092282	0.652813586	0.164446892	0.168753899
0.825760867	0.137584175	0.128863035	0.119021813	0.60468348	0.575657098
0.877198961	0.438588748	0.438584012	0.170378404	0.626389625	0.596456301
0.877277392	0.473047672	0.410425417	0.17059434	0.608840946	0.569308857
0.103059829	0.099228653	0.841538943	0.627757318	0.60257691	0.13503102
0.085072881	0.869180474	0.100589248	0.65440087	0.1626537	0.667696732
0.083573502	0.869192804	0.099405856	0.65460014	0.162563484	0.667829459
0.847468765	0.845718306	0.846617186	0.256822806	0.256949793	0.256657472
0.077555459	0.080999131	0.86870374	0.675846484	0.665343356	0.162439171
0.437104812	0.446356564	0.877395361	0.575775226	0.546091483	0.170603015
0.873966594	0.055320101	0.872532745	0.168048327	0.654768755	0.16448908
0.846689782	0.847022876	0.84692407	0.257071773	0.256766767	0.257113363
0.102216868	0.841611944	0.083387413	0.606137803	0.134724565	0.631294376
0.135112267	0.126954255	0.826666656	0.604156065	0.575590433	0.119498865
0.882770883	0.041145726	0.040829078	0.175487332	0.692380206	0.692569677
0.102270782	0.841664723	0.083379506	0.605985164	0.134775368	0.631431482
0.868826543	0.098746327	0.082370894	0.162834006	0.6673982	0.655364462
0.20979579	0.825228527	0.211842973	0.583039089	0.118891089	0.609384115
0.877387781	0.436981583	0.444626532	0.17034621	0.591961637	0.562371245
0.871968223	0.875894964	0.07592952	0.16501284	0.169180673	0.650365109
0.081540482	0.867867279	0.865618993	0.621206245	0.159830767	0.161906995
0.427072671	0.877591145	0.450503672	0.593109444	0.17052092	0.626604957
0.054278942	0.876370587	0.88372707	0.69061358	0.170980363	0.175379176
0.075250183	0.076815939	0.854659384	0.649658907	0.629579656	0.149101149
0.862743728	0.843036364	0.133747688	0.155472149	0.14832987	0.567717547
0.469849991	0.415739313	0.877370927	0.575362206	0.536096784	0.170516429
0.415640535	0.877425271	0.470036235	0.536153738	0.170588285	0.575466293
0.104070197	0.841603668	0.124768514	0.597859697	0.1353688	0.62311977
0.877330883	0.448059936	0.435900375	0.170591407	0.575688486	0.542846536
0.877316813	0.448702024	0.439538797	0.17052741	0.559872444	0.527656181
0.88336018	0.027323053	0.875149191	0.175170552	0.695158518	0.16992649
0.863745623	0.857181773	0.130378712	0.155387769	0.157177703	0.586441243
0.841939546	0.125166878	0.103031846	0.135150739	0.623708136	0.598457867
0.825579098	0.206293616	0.217329873	0.11879117	0.610577653	0.584704027
0.081967742	0.868959834	0.093348051	0.657115499	0.1626428	0.670542623
0.88364306	5.4973E-06	0.87551888	0.17547769	0.69958905	0.170154201
0.404097411	0.877462157	0.473476253	0.58603077	0.170564342	0.625891362
0.877378553	0.484272275	0.399510173	0.170630611	0.607602098	0.564895236
0.847257581	0.154000215	0.858822234	0.150961715	0.560784386	0.151561085
0.877500975	0.484810603	0.39294242	0.170610976	0.625316527	0.582660856
0.401243129	0.877318476	0.487303307	0.56480576	0.170533438	0.607920667
0.084185413	0.869289141	0.100793756	0.655864994	0.162738477	0.66714166
0.88191558	0.054538172	0.054152389	0.17554115	0.689545593	0.690303126
0.45973533	0.429572207	0.877670381	0.559860746	0.52442704	0.170798858
0.439351044	0.877038859	0.448621796	0.527829044	0.170620252	0.559708609
0.844042319	0.13375152	0.863530549	0.148298113	0.567887478	0.155428542
0.881732831	0.041093485	0.040784323	0.175374013	0.691999079	0.692490468
0.877639821	0.501753828	0.488486373	0.170617524	0.560515912	0.53141448
0.873977769	0.050508836	0.87121566	0.167989902	0.658581989	0.165011148
0.877388036	0.473125504	0.410299769	0.17062091	0.608970379	0.569383912
0.42704409	0.87752895	0.450470303	0.593079733	0.170668693	0.626533751
0.86602042	0.081493157	0.866887289	0.161572441	0.621478935	0.159420585
0.105818568	0.082788682	0.854675759	0.6431054	0.623769	0.149261947
0.067773266	0.067652686	0.067980721	0.63633173	0.636515771	0.636727547
0.41273936	0.877347176	0.475877683	0.568722308	0.170556717	0.608525463
0.125127455	0.103206603	0.841860031	0.623675461	0.598380798	0.135326822
0.874156256	0.874165125	0.873948216	0.188696267	0.189308041	0.188886592
0.099788636	0.841633467	0.092866135	0.604144747	0.134882487	0.629616761
0.100197719	0.082329555	0.868920102	0.6679249	0.656038318	0.16276692
0.470398694	0.419790482	0.877679165	0.559604988	0.521084696	0.170575147
0.103134594	0.099295891	0.841524333	0.627798367	0.602715427	0.135031564
4.81846E-06	0.881348026	4.90269E-06	0.699551529	0.175123102	0.699227283
0.872797866	0.874432922	0.047229541	0.165132843	0.16830313	0.657030147
0.027330838	0.875948705	0.8844065	0.695323716	0.170334958	0.175294759
0.013746002	0.014351646	0.014619022	0.697290141	0.696868441	0.696765207
0.047145941	0.872258956	0.874651749	0.658398485	0.164903069	0.168410404
0.082668937	0.869005076	0.093039598	0.656043945	0.162655926	0.668703459
0.060860832	0.042790509	0.077745732	0.675689327	0.674982121	0.67757549
0.863298892	0.864120382	0.862975422	0.219064209	0.219083277	0.219211282
0.877372962	0.451290972	0.432110543	0.170556646	0.610111329	0.576574757
0.447987181	0.43595874	0.877257004	0.575473819	0.542736072	0.17058342
0.864255181	0.864080279	0.863110294	0.219552229	0.21974096	0.21926495
0.877345967	0.43707244	0.446343048	0.170624759	0.575745368	0.546110366
0.881779009	0.027444533	0.027334631	0.175622898	0.694846663	0.695237108
0.877212459	0.437000409	0.446279959	0.17058163	0.575740805	0.546056088
0.45039034	0.426962832	0.877368022	0.626464197	0.593172039	0.170629331
0.077645943	0.869179995	0.086244102	0.661162375	0.162576792	0.673592525
0.860194372	0.845008203	0.147452504	0.152856168	0.150593766	0.562885465
0.071433054	0.856359113	0.06882932	0.629361039	0.149571681	0.650260391
0.845001831	0.141852451	0.861059224	0.149993069	0.56449301	0.153989208
0.872917233	0.87559621	0.065204093	0.165267138	0.168945341	0.652801402
0.88228548	0.013705263	0.876351793	0.175535426	0.697279954	0.171320862
0.446351498	0.87734559	0.437061712	0.546060626	0.170629606	0.575690533
0.074963011	0.077851157	0.854024027	0.650237613	0.62918258	0.148736031
4.85032E-06	0.881546256	4.84631E-06	0.698990588	0.175287065	0.699289652
0.1081152	0.86524076	0.854497489	0.593509427	0.156486144	0.15465782
0.054641492	0.054260015	0.881901449	0.690097991	0.69029587	0.175406309
0.095482085	0.866967807	0.866399427	0.617442529	0.159241215	0.162451344
0.071634156	0.855117011	0.079626562	0.627670031	0.148799461	0.647748736
0.42538793	0.877322443	0.464506657	0.572315989	0.170586644	0.608893906
0.473518396	0.404133453	0.877540319	0.625749863	0.586208341	0.170532598
0.067757291	0.067662473	0.067987718	0.636464318	0.636537578	0.63669018
0.881960431	0.054558024	0.054136916	0.175513628	0.689621055	0.690315884
0.87564116	0.883912804	0.013706548	0.170349271	0.175566576	0.697324763
0.863735649	0.862406528	0.863562727	0.219955582	0.219200342	0.219283311
0.877459981	0.448072989	0.436008767	0.170639013	0.575716827	0.542874048
0.864141135	0.863109909	0.863092136	0.219722939	0.219152303	0.219189131
0.866867147	0.866526172	0.095448933	0.159251765	0.162240814	0.617633174
0.07412273	0.855593551	0.09116364	0.625928333	0.149303087	0.645675957
0.435719276	0.87729167	0.454456642	0.576568526	0.170529858	0.610187439
0.845753521	0.847131698	0.84701171	0.25686082	0.257095827	0.256740475
0.855080218	0.116701256	0.864994508	0.156000537	0.590258138	0.156337952
0.845774737	0.141841846	0.861550337	0.15023065	0.564540348	0.153872935
0.855566513	0.103210243	0.078857533	0.149669593	0.643482182	0.623858908
0.475969589	0.413184136	0.877489231	0.607977044	0.568435797	0.170595756
0.877305007	0.448645988	0.439589264	0.170433923	0.559860215	0.527620889
0.865062846	0.855449006	0.107787825	0.157020502	0.155155937	0.593540768
0.85558325	0.103078945	0.07891281	0.149646121	0.643519654	0.623630917
0.048637501	0.041127564	0.073376377	0.677477309	0.677638758	0.679580753
0.065233811	0.871083125	0.875637545	0.652625135	0.164256333	0.168344273
0.053534378	0.051440844	0.056739183	0.654276719	0.654102011	0.654081962
0.462358575	0.877455414	0.450408348	0.530537639	0.170632671	0.559274533
0.855742805	0.069075659	0.071337024	0.149131287	0.649718636	0.629520992
0.09992784	0.081529631	0.868784917	0.665661761	0.655655336	0.162785029
0.087969575	0.867383429	0.865757406	0.619048927	0.159674322	0.162416052
0.438582048	0.438577342	0.877185244	0.626506379	0.596353061	0.170232946
0.857641046	0.130442615	0.86276163	0.156558535	0.586434053	0.154310243
0.404154668	0.877568203	0.473525543	0.586021379	0.170618318	0.625871769
0.86681901	0.866935255	0.095485536	0.159468616	0.162592878	0.617365349
0.48055566	0.401210454	0.87708394	0.589948499	0.548229419	0.169994023
0.419861219	0.877442078	0.470113644	0.520983131	0.170878789	0.559710024
0.881641264	0.041180124	0.040791814	0.175381369	0.692446437	0.692433142
0.874487562	0.06516165	0.87270981	0.169098238	0.65267255	0.165287739
0.071647598	0.855227548	0.079627071	0.627541869	0.14893122	0.647909133
0.870906803	0.874068379	0.047091677	0.164968799	0.168113302	0.657029586
0.883153592	0.054276124	0.875474326	0.175479243	0.690568025	0.170436489
0.872239383	0.873864004	0.065191229	0.165353418	0.168750011	0.652691897
0.133989693	0.131616361	0.098353299	0.610755373	0.610942877	0.614086294
0.054274743	0.876305032	0.88328966	0.690564066	0.170992134	0.175366763
0.091254401	0.074774837	0.855925241	0.645898944	0.625738402	0.149352601
5.49629E-06	0.875847091	0.884698689	0.699540188	0.170715508	0.176336316
0.881370973	0.041038383	0.040805794	0.175277549	0.692235774	0.692678731
0.133773281	0.862034077	0.84252006	0.567666301	0.154838269	0.147742314
0.213514567	0.212794606	0.826035477	0.607334447	0.578397851	0.118628961
0.065242277	0.871520255	0.87522734	0.652706272	0.164614098	0.168657632
0.082625617	0.869135286	0.098884953	0.654658673	0.162559458	0.667722596
0.450421544	0.426998225	0.877434256	0.626372186	0.593168856	0.170596817
0.856027652	0.111526535	0.86520022	0.155618379	0.592174942	0.15669724
0.825685053	0.281604144	0.297545968	0.118638143	0.611019027	0.582257938
0.877397826	0.45108069	0.432492674	0.170535889	0.60885808	0.575584097
0.862907925	0.862603655	0.863664976	0.218810012	0.218660987	0.219318571
0.046731089	0.872006528	0.874641072	0.658789929	0.164744546	0.168072283
0.128613172	0.125000801	0.098643892	0.612286018	0.610754955	0.615228026
0.013709485	0.876019271	0.883265208	0.697524905	0.170636552	0.175483011
0.866809985	0.104228404	0.8669286	0.162483627	0.615243616	0.159125964
0.12809118	0.122988842	0.203840699	0.617418694	0.619257232	0.618236492
0.863440284	0.85688347	0.130378052	0.155473454	0.157350011	0.586489433
0.147470596	0.859706137	0.845512032	0.562642225	0.152751021	0.150340777
0.87761538	0.484862847	0.393003387	0.170480262	0.625262277	0.582591493
0.863643839	0.855976032	0.123104805	0.155516962	0.156390911	0.588199448
0.203253108	0.21280531	0.825015004	0.609140437	0.58020488	0.118696954
0.46220326	0.415645446	0.877821521	0.626260552	0.589643478	0.170670602
0.167493925	0.091687244	0.173572974	0.614792801	0.615709498	0.620943967
0.855693947	0.123048124	0.864048327	0.156541368	0.588435537	0.155600568
0.877305177	0.458937884	0.421978632	0.170297752	0.590844118	0.554746303
0.071393033	0.854569385	0.068769144	0.629445495	0.148499024	0.649705891
0.86371305	0.856905493	0.12311526	0.155307681	0.156380957	0.588477819
0.102227523	0.841582199	0.08335113	0.606012107	0.134837567	0.631167794
0.863916208	0.855659993	0.116687563	0.155898323	0.155642867	0.590377357
0.881541269	0.041101319	0.040813443	0.175218635	0.691894529	0.692582965
0.878518333	0.449308374	0.440122581	0.17068756	0.559845965	0.527632738
0.123202865	0.862957004	0.857255847	0.588518456	0.15554189	0.156706822
0.071865766	0.855743938	0.079676475	0.627534856	0.149291095	0.647820977
0.877799341	0.877483717	0.877385789	0.170804884	0.170413656	0.170591739
0.402517954	0.877317251	0.486376883	0.56468286	0.170535504	0.607751338
0.867415475	0.865616982	0.081531405	0.159795985	0.161627118	0.6215292
0.137143261	0.861799715	0.845033982	0.566176304	0.154450455	0.1490465
0.081023713	0.078702335	0.868911323	0.674190494	0.662261911	0.162472805
0.102239309	0.84161623	0.083363343	0.606019424	0.134823853	0.631288483
