Vam	Vbm	Vcm	Iam	Ibm	Icm	Vap	Vbp	Vcp	Iap	Ibp	Icp
0.877792561	0.459698747	0.429730777	0.17075705	0.559761005	0.524463645	-1.954054109	-172.9872556	168.4311214	87.94575854	-161.3836013	0.885304449
0.277480781	0.281470551	0.825778252	0.613624678	0.585536123	0.118543885	-35.5282252	-103.7068558	118.8042629	-75.71242269	154.9144178	-151.0925544
0.877304884	0.437056651	0.446315942	0.17059904	0.575730608	0.546089148	-1.960041852	-175.1686925	171.3739027	87.74714008	-163.7266347	-0.951076988
0.473592112	0.404201946	0.877682965	0.62598526	0.586131821	0.17068479	-61.01453088	-63.04336739	118.0603613	-40.90438101	123.3580117	-152.1632924
0.869003666	0.0983315	0.08148332	0.162775026	0.667477687	0.655954276	-1.999438881	177.4416433	82.46886679	86.88118243	164.3250237	41.22321577
0.825092468	0.180004519	0.179379817	0.118111713	0.611231929	0.582712046	-1.265934299	-161.2129505	132.8694523	88.90923905	165.2977186	35.96640302
0.130504782	0.86225051	0.856001209	0.586476435	0.154716245	0.156735084	-26.23051018	-119.8210611	116.1778725	-76.15221758	-20.73057785	-163.7635526
0.882425536	0.027325486	0.87640853	0.175433087	0.695206283	0.171197588	-1.891028188	160.0177574	117.5984597	88.55727743	160.4528975	-153.9915049
0.877607119	0.480909417	0.410217468	0.170791339	0.559512349	0.51744332	-1.951310037	-172.7336546	167.2067046	87.82039545	-159.2412435	3.072217
0.071642369	0.855229214	0.079637451	0.627617861	0.149091815	0.647872207	2.058646129	-121.7272915	72.70735816	-81.93581166	-32.77055823	43.47948326
0.095456069	0.332938065	0.280839193	0.622353247	0.625049131	0.622425409	6.095864568	-109.1217756	118.3505307	-82.14783789	157.6998277	37.67447193
0.028628325	0.881091467	0.028657153	0.695459749	0.175427487	0.69535713	-80.53225322	-122.1600143	40.84936606	-79.60102203	-32.93067137	40.46581326
0.874362391	0.873619169	0.873846108	0.188622454	0.18888248	0.188853857	-6.841836277	-126.8218698	113.2528811	65.50716036	-54.45487141	-174.5845356
0.093570312	0.337452208	0.288192456	0.622659715	0.626761681	0.622067627	5.633252513	-99.60291301	127.3243017	-82.11650377	157.575419	37.48993438
0.877374574	0.459073953	0.42556467	0.170595555	0.575655312	0.539593577	-1.949101559	-174.9414877	170.4702735	87.73862655	-161.5632739	1.242233999
0.099164532	0.841265459	0.102858664	0.602567059	0.135040395	0.627717853	7.345647664	-121.5649745	78.19885837	-82.91309351	-32.42144394	44.49035925
0.866109715	0.087667143	0.867179323	0.161730054	0.619758138	0.159738808	-3.118127991	-142.9320569	119.3894706	80.9378564	161.4582192	-145.6834963
0.04775	0.042360292	0.073785849	0.678054976	0.677601158	0.680430515	-25.00736443	-150.2767856	89.01901456	-80.91337399	159.3729358	39.27941095
0.877364536	0.45119365	0.432032617	0.170555991	0.610110601	0.576618699	-1.966092773	-179.4512101	175.38833	87.73922483	-162.9368367	0.865257664
0.054558383	0.054191947	0.881591507	0.689675936	0.690555181	0.175507567	-78.23735171	161.3702734	117.8445004	-77.46091141	162.5621709	-152.6963196
0.134854681	0.124886681	0.825589002	0.604749154	0.57721609	0.118852165	-40.39680631	-115.9043826	118.9427672	-73.44591233	157.3969655	-150.9366577
0.86222605	0.853806582	0.111436201	0.155762535	0.154396828	0.592026084	0.257266554	-123.768489	107.6838624	99.21377744	-43.8572013	40.50817291
0.027479424	0.075434547	0.075584242	0.679158149	0.680302796	0.679588756	3.287908766	-115.3861713	128.4181082	-81.8889935	158.1131099	38.05541538
0.53190896	0.512889212	0.877873298	0.561597365	0.532161255	0.170915656	-51.81690098	-72.64460348	118.041402	-43.5256488	118.7267158	-152.2394221
0.884332092	0.040854044	0.875527403	0.175308603	0.692973597	0.170219161	-1.751123411	160.8918416	117.7880409	88.98152917	161.5445227	-153.8204057
0.841547534	0.092756584	0.099880094	0.134875727	0.629480734	0.604507066	-1.556969362	-157.450311	134.1147352	87.82265763	163.3532235	35.94085525
0.104021193	0.865939995	0.867155114	0.615433986	0.158850824	0.162796534	-33.31440073	-120.6978793	116.9575089	-76.35630782	-25.71859766	-158.8493155
0.04621637	0.047696139	0.051844491	0.656957886	0.65836333	0.658401895	4.273632823	-116.6965749	125.2163455	-82.00972027	158.1680189	37.96941047
0.080417254	0.207782646	0.210102016	0.61990473	0.621235256	0.621705523	-5.562648867	-117.5700967	113.7568797	-80.97346061	159.1268314	38.99783333
0.872625246	0.875213374	0.07595353	0.165324479	0.168630493	0.650552418	-1.515572742	-122.5629365	72.90499727	89.62541349	-35.12474544	43.06724437
0.081591185	0.867052501	0.865637735	0.621517555	0.159331109	0.161757365	-15.7044999	-120.6754605	117.0078092	-79.69518252	-25.3098859	-158.7208359
0.877176487	0.458891375	0.421919542	0.170757474	0.59079826	0.55508404	-1.920446278	-176.9709666	172.6760365	87.93104363	-161.6982334	1.539634894
0.875928222	0.884105053	0.027325177	0.171075864	0.175820529	0.695157167	-2.278437463	-121.8004914	40.04981382	86.17135822	-31.32518981	40.4871127
0.881551397	0.014362758	0.014271388	0.175448395	0.697036709	0.697700522	-2.227753009	159.435498	38.49401997	87.0289547	159.3296888	39.35057769
0.884058289	0.013705418	0.875540909	0.175678769	0.697278486	0.170736376	-1.780524677	159.1717523	117.7263344	88.70820513	159.3894015	-153.8366292
0.099166504	0.842059617	0.103263606	0.602549182	0.134879612	0.627944948	7.377802839	-121.5333491	78.16055775	-82.9969945	-32.41583184	44.52511361
0.867729548	0.865701846	0.087803523	0.159775916	0.162096941	0.619521069	-0.666384854	-123.1366516	97.12681183	94.31591168	-39.01694236	41.38818005
0.425557588	0.877411747	0.464216381	0.573551803	0.170587251	0.609894234	55.02293592	-121.9538368	60.79430286	-118.1571227	-32.26770047	78.02952278
0.013744314	0.014537621	0.014757415	0.69714453	0.69652867	0.697110152	-81.12416357	160.5073783	39.66167683	-80.71172636	159.3284932	39.35159379
0.862737527	0.842982273	0.133746564	0.155469975	0.148328041	0.567714179	1.329453101	-124.6699534	114.7362143	105.4924849	-49.40441685	39.44513002
