Va	Vb	Vc	Ia	Ib	Ic
0.439754727	0.877723026	0.448883151	0.52751263	0.170826719	0.560020819
0.040150617	0.046208873	0.073653382	0.677717931	0.676800065	0.67877132
0.846418934	0.846865054	0.845206236	0.256514042	0.257028002	0.256729509
0.484983853	0.393140638	0.877872171	0.625171002	0.582583139	0.170786355
0.424215109	0.877384217	0.465111648	0.573171142	0.170545843	0.609863654
0.855927097	0.068693954	0.071935685	0.149466476	0.649899885	0.629937567
0.43712756	0.446383666	0.877446513	0.575795044	0.546065314	0.170582294
0.841712524	0.102841427	0.098887408	0.134979285	0.62766753	0.60262358
0.461996053	0.415436677	0.877405527	0.626290842	0.589604128	0.1707061
0.415711112	0.877408833	0.46992035	0.536202521	0.170576738	0.575463849
0.059975189	0.060048388	0.059987632	0.640128777	0.640108542	0.639857581
0.867169884	0.087696185	0.867301802	0.161942835	0.619403586	0.159255907
0.065214502	0.872165511	0.874039192	0.652859851	0.164651556	0.168243088
0.877321568	0.437062807	0.446326942	0.17059425	0.575739202	0.54606475
0.040861311	0.875345966	0.88362559	0.693160044	0.170493167	0.175740923
0.878216388	0.884764227	5.49982E-06	0.171044603	0.176273834	0.699602699
0.103117775	0.078920056	0.85648927	0.643537047	0.623809226	0.149729904
0.02756401	0.027684806	0.0280981	0.69499021	0.695062362	0.695723581
0.065200615	0.871681655	0.875022171	0.652841048	0.16448318	0.16868297
0.869117591	0.099243804	0.080865134	0.162683959	0.669489101	0.657232687
0.860312083	0.845881817	0.153951624	0.151660427	0.150830679	0.560993263
0.875169675	0.882960719	0.01370667	0.17038966	0.175321106	0.697326025
0.877545098	0.473120681	0.480708266	0.170673728	0.561212312	0.532241438
0.111375225	0.864770276	0.855058264	0.592016827	0.156217339	0.155210114
0.239172279	0.247147157	0.825510245	0.610588796	0.579483628	0.11854221
0.081755384	0.867826197	0.865743177	0.621409134	0.159859188	0.16141657
0.877393925	0.484755216	0.39288991	0.170579287	0.625304392	0.582581499
0.856821191	0.068764703	0.072129356	0.149581494	0.650196583	0.628830174
0.881467851	4.79825E-06	4.91767E-06	0.175285498	0.69966513	0.69953273
0.091944753	0.074340354	0.85704257	0.645451818	0.625700981	0.149829656
0.429893177	0.878026656	0.459774665	0.524468197	0.170861363	0.559763152
0.393124525	0.877843397	0.484970368	0.582400975	0.170667783	0.625393265
0.027392331	0.881887069	0.027759693	0.694873845	0.17533084	0.695400874
0.875186852	0.065229288	0.871276748	0.168675205	0.652784268	0.16426558
0.87776437	0.448891154	0.439773436	0.170651908	0.560012976	0.527668541
0.868601186	0.865954395	0.077282571	0.160043369	0.161265653	0.623259364
4.82335E-06	0.88237838	4.84116E-06	0.699278146	0.175324616	0.699259396
0.860729754	0.844807786	0.13720217	0.154423029	0.14924258	0.566293607
0.881618696	4.94131E-06	4.79478E-06	0.175532277	0.699117313	0.699163671
0.131110893	0.826199647	0.149894259	0.576093811	0.11896426	0.603632336
0.573027761	0.877193095	0.543943559	0.537921181	0.170399308	0.564711703
0.435908368	0.877382762	0.448147463	0.542766349	0.170563108	0.575654503
0.072518077	0.855218497	0.071502	0.629758331	0.149124707	0.649540324
0.826256468	0.180948442	0.194104309	0.118916291	0.610774228	0.580430098
0.056078821	0.044875038	0.074930015	0.674533047	0.674677076	0.675552744
0.872293931	0.875054933	0.065210365	0.165295382	0.168973605	0.652837516
0.873971568	0.055398758	0.871735872	0.168626047	0.654750969	0.164495745
0.855245847	0.064166815	0.077932128	0.148855249	0.653410932	0.632406252
0.878016585	0.470451499	0.420084315	0.170937593	0.559678852	0.521083588
0.079728234	0.869039483	0.088416723	0.659860791	0.162606097	0.670602791
0.041123019	0.040948254	0.881203019	0.692441218	0.692964467	0.174989048
0.04114673	0.881621003	0.041741729	0.69306707	0.175472434	0.692669355
0.147408473	0.859745529	0.845482	0.562811142	0.152461707	0.150370729
0.866951017	0.866250276	0.081785032	0.159514999	0.161886661	0.621419237
0.848461055	0.84700253	0.846576334	0.258117613	0.257422536	0.257121423
0.069365468	0.065602267	0.085181477	0.670503815	0.670491826	0.67268825
0.458985369	0.421945139	0.877367751	0.590775877	0.555091231	0.170375556
0.508892518	0.499496386	0.877109903	0.559924632	0.53095174	0.170751166
0.872087045	0.874081377	0.047766431	0.165116715	0.168145008	0.658665088
0.846507141	0.153946829	0.859285109	0.150781309	0.560926965	0.151658096
0.877407596	0.450745301	0.432445712	0.170560898	0.609761795	0.576354006
0.40122488	0.876983291	0.480510031	0.548589059	0.170014745	0.590484029
0.825583041	0.137097948	0.128299267	0.118651775	0.606599456	0.57761605
0.095542269	0.866656986	0.865901131	0.617496135	0.158908011	0.161994736
0.404146389	0.877565319	0.473529723	0.586201323	0.170668106	0.62572057
0.082903279	0.080246039	0.868990906	0.675966942	0.663763826	0.162569595
0.29555966	0.294800638	0.825703577	0.613786792	0.584390442	0.118714336
0.447763229	0.432435205	0.877054875	0.590833059	0.55834939	0.170149732
0.841672864	0.125197742	0.103706604	0.135292374	0.623230502	0.597800852
0.876050296	0.884090932	0.013706441	0.170646155	0.175823028	0.697331473
0.069750362	0.065027994	0.08495651	0.670486016	0.670617317	0.672814527
0.439125396	0.878281612	0.439130119	0.596324144	0.171211348	0.626734616
0.476159197	0.413222203	0.877371903	0.610631973	0.570858689	0.170534251
0.877312928	0.43705211	0.446328655	0.170587703	0.575707356	0.54606403
0.862015421	0.842997718	0.133731414	0.154793124	0.147566614	0.567676789
0.877382956	0.462728857	0.420638713	0.170665107	0.609512126	0.572974882
0.092827683	0.099677567	0.841729688	0.629400879	0.604407735	0.134936543
0.041090041	0.040945572	0.881113793	0.692652759	0.693107393	0.1749359
0.458961156	0.425685155	0.877309748	0.575484345	0.539359159	0.170593867
0.867075925	0.104032397	0.86630769	0.162765346	0.615243868	0.159035099
0.825837191	0.137464189	0.129909421	0.118760423	0.605796856	0.57624078
0.877216004	0.473437717	0.410224624	0.170522491	0.609045377	0.56923291
0.055307006	0.873209243	0.873671818	0.654738826	0.165050922	0.168637656
0.842203482	0.133783985	0.862535947	0.147524688	0.567674042	0.154502353
0.095425813	0.866981865	0.866635447	0.617399455	0.159121922	0.162499387
0.137192525	0.862537951	0.844957573	0.566240398	0.154291733	0.148825518
0.081729293	0.079119147	0.868789829	0.675200655	0.663384238	0.162568928
0.841700049	0.124907221	0.103433403	0.135272202	0.623477452	0.598036009
0.875437834	0.065222612	0.871380898	0.168751715	0.652824437	0.164429353
0.43274963	0.877599896	0.448042941	0.558348969	0.170488466	0.591054637
0.40564369	0.877303926	0.480868826	0.532644693	0.170525176	0.575010911
0.091181056	0.078206058	0.868859546	0.668034415	0.657275683	0.162590711
0.877484403	0.480501955	0.405828794	0.170591839	0.575398034	0.532974291
0.067633089	0.067729242	0.067946885	0.636310229	0.636598874	0.636769018
0.067559532	0.067726712	0.0678331	0.636327672	0.636533126	0.636768739
0.123110706	0.864079655	0.856364316	0.588564116	0.155724584	0.15673803
0.856223108	0.102836552	0.078801189	0.14963139	0.643466861	0.62386455
0.884297622	0.027325361	0.875497481	0.176150514	0.695222714	0.170625753
0.073144912	0.855380107	0.071657432	0.629327855	0.148822285	0.649723478
0.448711068	0.439615731	0.877407758	0.559793576	0.527553722	0.170558047
0.124663471	0.103281224	0.841798772	0.624125979	0.598636983	0.135232014
0.092757604	0.099652123	0.841404101	0.629567715	0.604406883	0.134843381
4.89674E-06	4.91287E-06	0.881640433	0.699288539	0.699269985	0.17506492
0.05426029	0.881605147	0.054649363	0.69050269	0.175342822	0.68997963
0.877459059	0.437848464	0.443640807	0.170570319	0.590761931	0.561146031
0.877386705	0.469785014	0.415581056	0.170563666	0.575386312	0.536112958
4.92922E-06	0.881294698	4.8314E-06	0.699310472	0.175167984	0.699074937
0.44762863	0.43235401	0.876838702	0.591026414	0.55818369	0.17048207
0.091820307	0.074362249	0.85548898	0.645390301	0.625746628	0.149524026
0.883850191	0.054272551	0.876520354	0.17502093	0.690486373	0.170811794
0.415759621	0.878059073	0.462326591	0.589817786	0.170679069	0.626107516
4.88056E-06	0.881902234	4.77884E-06	0.699133054	0.175449387	0.699287322
0.854072154	0.111460816	0.864458805	0.155040135	0.592176795	0.156252374
0.123099852	0.863325571	0.856466709	0.588483685	0.155151749	0.15627045
0.076989807	0.080397349	0.868969042	0.678287447	0.666041618	0.162521752
0.141982528	0.826552472	0.150519941	0.576949293	0.119270906	0.604765364
0.856539126	0.130380402	0.862408921	0.156311531	0.586409	0.15437596
0.05900454	0.038702331	0.077900009	0.67938157	0.679143858	0.679903486
0.091664553	0.074320413	0.854876892	0.64535709	0.625618681	0.148878586
0.076975511	0.86810215	0.864776482	0.622864639	0.160406354	0.16146307
0.877565189	0.484822524	0.392995012	0.170788514	0.62505445	0.582527982
0.091664102	0.07443641	0.856270288	0.645475238	0.62574737	0.149516694
0.415419415	0.877386437	0.461993657	0.589849544	0.170440393	0.626080073
0.825507589	0.135489004	0.126525433	0.118995074	0.603608105	0.576165877
4.79854E-06	0.881414223	4.93738E-06	0.699334689	0.175017542	0.699150978
0.469841713	0.411366273	0.877112594	0.590785979	0.551455487	0.170260588
0.841652128	0.124844937	0.103635832	0.135295456	0.623196303	0.598058026
0.870724734	0.874003122	0.05533667	0.164208908	0.168220511	0.654891524
0.081753402	0.277699234	0.263130475	0.620309225	0.618634656	0.619574794
0.070387601	0.072042836	0.074962305	0.650109889	0.649612778	0.649620435
0.874424502	0.055368692	0.871496397	0.168385607	0.654928861	0.164247788
0.44459193	0.877365852	0.438547735	0.561810927	0.170410011	0.591289669
