Va	Vb	Vc	Ia	Ib	Ic
0.867376437	0.865739979	0.081866824	0.159853012	0.161518125	0.620935187
0.856689002	0.13044506	0.863341164	0.156752271	0.586487503	0.154582974
0.08191149	0.867360779	0.865241597	0.620972857	0.159765997	0.161585143
0.825144074	0.147583623	0.131809372	0.119027544	0.604100651	0.576031938
0.429615061	0.87765563	0.459688212	0.524430519	0.170845836	0.559752815
0.841779207	0.124905905	0.103143708	0.135261062	0.623545802	0.597964043
0.866545439	0.095572798	0.867021302	0.162317534	0.617200105	0.159349604
0.086957455	0.078381234	0.868918934	0.672617034	0.661532006	0.162593239
0.459035163	0.425766166	0.877376741	0.575487005	0.539360436	0.170580845
0.141847091	0.861114323	0.844601402	0.56456164	0.154174898	0.150058231
0.132310567	0.82626171	0.149441305	0.576273524	0.118910476	0.604203938
0.88568491	0.027327428	0.877826039	0.175802276	0.695225673	0.171138917
0.124763575	0.103131938	0.841933077	0.623670264	0.598599677	0.135234691
0.028242083	0.028007806	0.881769183	0.694671895	0.694976223	0.175442508
0.873321064	0.055344472	0.870722531	0.168062498	0.654906795	0.164503444
0.432587866	0.877379485	0.448018602	0.558249305	0.170435333	0.59093097
0.046055021	0.048422856	0.053202235	0.6579207	0.659024196	0.659796518
0.419720739	0.877487226	0.470280985	0.520972819	0.170606556	0.559584377
0.872140709	0.87426684	0.047555253	0.165271045	0.168448601	0.658871443
0.877982113	0.450694919	0.427272687	0.170703957	0.626523654	0.593075464
0.05537579	0.871810873	0.874378323	0.654914614	0.16466638	0.168458761
0.074836999	0.074957425	0.075128044	0.634140022	0.634332723	0.634642034
0.856841996	0.123126144	0.863450865	0.156201004	0.588576142	0.155145893
4.79189E-06	0.881495052	4.91936E-06	0.699095121	0.175431405	0.699102223
0.847218293	0.154008712	0.858783117	0.151090555	0.560823904	0.151758998
0.04094976	0.046682348	0.075142411	0.67708605	0.678450789	0.680661062
0.841296046	0.083372083	0.102194351	0.134763089	0.631371289	0.606122381
0.040727197	0.046610479	0.074798521	0.677076901	0.678487446	0.680645446
0.073850678	0.85569236	0.082393486	0.627670411	0.149338626	0.647736459
0.435247177	0.877277193	0.454827814	0.574044775	0.170550025	0.607764419
0.485036124	0.393180194	0.877964601	0.62521947	0.582603094	0.170637512
0.028139675	0.027801382	0.881599015	0.694792805	0.69512308	0.175273075
0.843637773	0.133782967	0.862077259	0.147633293	0.567811006	0.154605049
0.079349642	0.869052911	0.093287845	0.659283436	0.162653685	0.670409461
0.881435264	4.88113E-06	4.90665E-06	0.175394115	0.699121844	0.699330907
0.147398321	0.859743425	0.845355505	0.562843851	0.152452872	0.150322331
0.099081785	0.841867666	0.103167522	0.602334741	0.134896518	0.627679318
0.877406395	0.459051266	0.425607536	0.170596819	0.575703543	0.539678158
0.868073074	0.866446167	0.077441697	0.160207151	0.161811709	0.623096377
0.877292021	0.440342612	0.44404636	0.170516298	0.608050377	0.57772377
0.881429407	4.82249E-06	4.91654E-06	0.175450268	0.698861363	0.699274664
0.877325503	0.437067962	0.446325533	0.17059223	0.575754958	0.546071661
0.111402237	0.864708587	0.855335394	0.592120697	0.156345715	0.155309588
0.125301379	0.110549916	0.145202987	0.615850315	0.614464913	0.614914306
0.459012872	0.425757505	0.877348242	0.575453151	0.539343818	0.170581695
0.87800802	0.485053195	0.393206944	0.170732826	0.625206189	0.58263152
0.877087364	0.48088463	0.401216672	0.170534414	0.589652715	0.547765573
0.855442098	0.079604565	0.071925858	0.148908996	0.647839479	0.627968496
0.088064147	0.867306917	0.865585443	0.619117014	0.159677522	0.162069935
0.099719624	0.841753602	0.09267047	0.604325278	0.134826365	0.62976984
0.027327585	0.881649253	0.0276642	0.695366721	0.175052526	0.694377128
0.103152265	0.125302901	0.168532143	0.616754506	0.621864492	0.619384421
0.027321919	0.875983383	0.882909615	0.695104352	0.170584826	0.175034536
0.128190008	0.304854375	0.20844329	0.621168929	0.62455589	0.624735288
5.49199E-06	0.875585481	0.885007651	0.699406059	0.170021238	0.175627597
0.847153547	0.147468508	0.859975739	0.1503549	0.5627857	0.152545414
0.074580309	0.856118461	0.09143731	0.625573245	0.149773165	0.645932369
0.068838392	0.07129806	0.855502567	0.650090909	0.629323395	0.149067624
0.08784302	0.867007937	0.865739431	0.619881059	0.159649696	0.161976128
0.841700202	0.12483229	0.103603986	0.135277113	0.623431937	0.59801586
0.435839351	0.87722721	0.44805148	0.542854629	0.170548961	0.575764551
0.141749746	0.86069382	0.844763648	0.564514524	0.153483418	0.149670021
0.073051718	0.855940066	0.082256617	0.627879847	0.149441436	0.647436385
0.248350239	0.260351097	0.82523944	0.609092143	0.581134939	0.118504812
0.10218494	0.841626914	0.083445182	0.606176943	0.134772373	0.631172292
0.877076804	0.884268911	5.49881E-06	0.171078168	0.176514863	0.699625165
0.42217408	0.877569095	0.45902363	0.555355251	0.1704815	0.591136712
0.062486909	0.06248006	0.062460491	0.638259067	0.638418444	0.638523136
0.47393935	0.404548509	0.878377334	0.625766469	0.586180576	0.170628118
0.480729696	0.410096697	0.87728992	0.55922578	0.517649894	0.17044501
0.401608554	0.877581742	0.48072343	0.548225444	0.170458277	0.589948849
0.877579405	0.480932339	0.41017261	0.170898494	0.559588216	0.517361799
0.083097389	0.080087177	0.86895142	0.675332111	0.66258794	0.162514598
0.027322077	0.876476925	0.88294047	0.695106765	0.170731341	0.175278615
0.083404997	0.102195055	0.841803332	0.631192757	0.605772113	0.13471284
