,,,,,,,,,,
Output / Desired,Fault(X),Fault(BC),Fault(BCG),Fault(AG),Fault(CA),Fault(AB),Fault(CAG),Fault(ABG),Fault(CG),Fault(BG)
Fault(X),244,0,0,0,0,0,0,0,0,0
Fault(BC),0,642,0,0,0,0,0,0,0,0
Fault(BCG),0,0,609,0,0,0,0,0,0,0
Fault(AG),0,0,0,640,0,0,0,0,0,0
Fault(CA),0,0,0,0,636,0,14,0,0,0
Fault(AB),0,0,0,0,0,629,0,0,0,0
Fault(CAG),0,0,0,0,0,0,563,0,0,0
Fault(ABG),0,0,0,0,0,0,0,1217,0,0
Fault(CG),0,0,0,0,0,0,0,0,650,0
Fault(BG),0,0,0,0,0,0,0,0,0,656
,,,,,,,,,,
,,,,,,,,,,
Performance,Fault(X),Fault(BC),Fault(BCG),Fault(AG),Fault(CA),Fault(AB),Fault(CAG),Fault(ABG),Fault(CG),Fault(BG)
MSE,0.003707664,0.00499769,0.002395948,0.001644964,0.004682779,0.002283612,0.003134823,0.002511229,0.002300885,0.001349891
NMSE,0.102622002,0.056145073,0.028216149,0.01853129,0.053049257,0.026126803,0.03875451,0.016502202,0.025565392,0.014876866
MAE,0.047873543,0.054239331,0.036178605,0.033968357,0.041917799,0.033697648,0.042080299,0.043037752,0.041830003,0.031197943
Min Abs Error,1.57098E-05,3.10371E-05,1.19469E-05,1.95442E-06,1.4494E-06,2.04038E-05,1.48735E-05,2.47484E-05,1.55234E-05,1.27015E-05
Max Abs Error,0.285112171,0.3930001,0.407659372,0.124640515,0.677852615,0.443190693,0.484264274,0.303373537,0.185443759,0.147145214
r,0.952739069,0.986585321,0.98644295,0.99176621,0.977621936,0.990487263,0.982008024,0.992223171,0.988977784,0.993935393
Percent Correct,100,100,100,100,100,100,97.57365685,100,100,100
,,,,,,,,,,
