Va	Vb	Vc	Ia	Ib	Ic
0.454994185	0.43590438	0.877406175	0.611037471	0.577421119	0.17058634
0.877845182	0.473673317	0.404282565	0.170691755	0.625791486	0.586215465
0.41390001	0.877393492	0.475678265	0.566034798	0.170676554	0.605484128
0.841357535	0.083345761	0.102237791	0.1348493	0.631120319	0.605913409
0.082732533	0.080584344	0.868975733	0.675420277	0.662708982	0.16251553
0.49698699	0.512405799	0.877472257	0.559556044	0.531391522	0.170610447
0.465750107	0.424146678	0.877408939	0.608782996	0.57209703	0.170561763
0.065238095	0.871626495	0.874207096	0.652773818	0.164811963	0.168396462
0.051881059	0.053689015	0.058357132	0.653988869	0.654129122	0.654116223
0.883389608	0.040848318	0.876482974	0.175056896	0.692867388	0.170986497
0.402789211	0.877408523	0.48557128	0.564933572	0.170518021	0.607566652
0.825564592	0.137045691	0.130431481	0.118656407	0.605732266	0.576318594
0.881980026	0.027629521	0.027219266	0.175416533	0.694400349	0.694741223
0.87703354	0.480738078	0.401391231	0.170146515	0.589606327	0.547562429
0.877499749	0.462043785	0.415483286	0.170499693	0.62608784	0.58981773
0.147453203	0.859985793	0.845155563	0.562769367	0.152687081	0.150584526
0.822516226	0.823487897	0.824178964	0.298976577	0.298652186	0.298878485
0.866704919	0.095154801	0.867303403	0.162296271	0.61786351	0.159384952
0.073203344	0.855213264	0.071876499	0.629291099	0.148689946	0.649076403
0.02781617	0.027998719	0.881996882	0.694789694	0.694892077	0.175199077
0.860283292	0.84512894	0.147500816	0.152699181	0.15028862	0.562878128
0.459099011	0.421999817	0.877526736	0.590930432	0.554958123	0.170862476
0.287449522	0.826098457	0.290559168	0.585161321	0.119037776	0.613305555
0.877776348	0.877351644	0.878757943	0.171053113	0.170698838	0.171085355
0.402761486	0.877271983	0.485860681	0.56515086	0.17055326	0.608041437
0.056743038	0.045027655	0.075546598	0.675638001	0.674634477	0.676005428
0.855228043	0.107571332	0.865419754	0.154924082	0.593873023	0.157124353
0.448834954	0.439564753	0.877470941	0.559633449	0.52785384	0.170361689
0.076989807	0.080397349	0.868969042	0.678287447	0.666041618	0.162521752
0.825568615	0.136858305	0.130620209	0.118641309	0.605620172	0.57634804
0.00000486	0.882042242	0.00000483	0.699160295	0.175437707	0.699278243
0.068961681	0.071335824	0.855269345	0.649829786	0.629521714	0.149185187
0.027841506	0.027597216	0.028126397	0.695226297	0.695597819	0.695434513
0.149075275	0.135419112	0.825966909	0.603305747	0.575322439	0.119465911
0.00000549	0.874636538	0.882752342	0.699383389	0.16997375	0.175422494
0.470281431	0.419746022	0.877517829	0.559689803	0.521095754	0.17074144
0.845130264	0.147459765	0.858710865	0.149937604	0.562746189	0.152397007
0.854669215	0.11147421	0.864450881	0.155291742	0.592124334	0.156570001
0.855798947	0.09129544	0.07418048	0.149394846	0.64514001	0.625804955
0.149583387	0.133802554	0.826243903	0.603257272	0.575328385	0.119417263
0.419623311	0.877434496	0.470308752	0.521128849	0.170820554	0.559696706
0.137251863	0.862008566	0.845211601	0.566278679	0.154338493	0.149123742
0.09924278	0.841712756	0.103032669	0.602419273	0.134910288	0.627635669
0.847081107	0.153932947	0.859859954	0.151542854	0.560950969	0.152132301
0.065223092	0.871175878	0.875151885	0.652945471	0.164735655	0.168884729
0.099719414	0.841779137	0.092661532	0.604301874	0.134870663	0.629775093
0.877357723	0.437069987	0.446355657	0.170598894	0.575717085	0.546079763
0.825737151	0.252722348	0.254064111	0.118970485	0.612698744	0.584370198
0.863126946	0.844114152	0.13371623	0.155148004	0.147820591	0.567785981
0.438869274	0.87776959	0.438873998	0.596462041	0.17056618	0.626586563
0.133733619	0.861894896	0.843475358	0.567744185	0.155230956	0.148236387
0.067654046	0.067587859	0.067863994	0.636226514	0.63631592	0.636634041
0.866603702	0.866618757	0.095360615	0.159307216	0.162632925	0.617857452
0.872882958	0.876160348	0.065189745	0.165456817	0.169042444	0.652777551
0.848574814	0.846574968	0.847817919	0.257381539	0.257096799	0.257047304
0.877247376	0.470136941	0.412133551	0.170346573	0.590719335	0.551677322
0.857516588	0.130499223	0.862539406	0.156602626	0.586484297	0.154373714
0.864178161	0.863571963	0.863800284	0.219583302	0.219518481	0.219456401
0.480565928	0.40608296	0.877434462	0.574728223	0.532183043	0.170543359
0.103016851	0.078913829	0.855973189	0.643385868	0.623306474	0.149441969
0.469724995	0.411433043	0.877074437	0.590508766	0.55209348	0.170021341
0.866453096	0.095447743	0.867365505	0.16237144	0.617199187	0.159468707
