Vam	Vbm	Vcm	Iam	Ibm	Icm
0.420172394	0.878332314	0.470662938	0.520914389	0.171009412	0.559745767
0.87213147	0.874744186	0.046653795	0.164753635	0.168612963	0.659030922
0.869177956	0.091891114	0.078444003	0.162580747	0.672917462	0.659817637
0.862048514	0.844088578	0.133785793	0.155479858	0.148692949	0.567830674
0.071654274	0.855975597	0.079694657	0.627259868	0.1493854	0.647943923
0.855874634	0.065439396	0.077940291	0.148989359	0.652325184	0.632686962
0.876423328	0.884109249	0.027327563	0.171074294	0.175739454	0.695205908
0.137177221	0.861151805	0.8456227	0.566286737	0.153654176	0.148517389
0.060661543	0.042820413	0.07763214	0.675675868	0.674956645	0.677470466
0.062447146	0.062520782	0.06238897	0.638123675	0.638394317	0.638507423
0.13715677	0.86158507	0.843871533	0.566159835	0.153808737	0.14819272
0.873084363	0.876043802	0.075920299	0.164991811	0.169094977	0.650553508
0.113827588	0.099906482	0.841730579	0.626111241	0.6009483	0.135071511
0.846162528	0.141826832	0.861828714	0.150047061	0.564580249	0.153818011
0.825840251	0.21288307	0.220791839	0.118905879	0.608262791	0.580430336
0.203597466	0.20061863	0.825676803	0.610056444	0.582242912	0.118583644
0.82285384	0.823354083	0.823262676	0.297954765	0.298890105	0.298735842
0.403984718	0.877236909	0.473364107	0.586146837	0.170436399	0.625809578
0.410272336	0.877616909	0.480875144	0.517692978	0.170670422	0.559333413
0.040900627	0.880698348	0.041180871	0.692970117	0.175332109	0.692321231
0.07499925	0.074888983	0.075309748	0.634388679	0.634307839	0.634556957
0.063367185	0.060021713	0.065508779	0.652010018	0.652030318	0.651941834
0.877286026	0.448694783	0.439515394	0.170793606	0.559758991	0.527749484
0.88106684	0.027730431	0.027425375	0.175348151	0.694681416	0.695098364
0.883474116	5.49528E-06	0.876012093	0.175705488	0.69933949	0.171069657
0.065231625	0.870914718	0.874837521	0.652684411	0.164182706	0.168293224
0.881217419	4.8314E-06	4.8569E-06	0.175257087	0.699306899	0.698994125
0.067745117	0.078962734	0.85548021	0.652316495	0.633147868	0.148983856
0.877763911	0.447997909	0.432984822	0.170651865	0.591229201	0.558606073
0.844676334	0.153945684	0.857065621	0.150730695	0.560899217	0.15139438
0.87427097	0.06515415	0.872848155	0.168784017	0.652645743	0.16483927
0.067717102	0.079034903	0.855016155	0.651875786	0.632194429	0.149056126
0.083415218	0.083717268	0.084067257	0.632375986	0.632068033	0.632508258
0.210601556	0.826014239	0.206704642	0.58427882	0.119050706	0.612439271
0.823673293	0.822972872	0.822751391	0.298448258	0.298824788	0.298789771
0.877344993	0.484089276	0.399392636	0.170581933	0.608764262	0.566081972
0.211593265	0.207329969	0.826756627	0.606861116	0.579752914	0.119337303
