Vam	Vbm	Vcm	Iam	Ibm	Icm	Vap	Vbp	Vcp	Iap	Ibp	Icp
0.133766419	0.861796877	0.843072763	0.567766955	0.154536067	0.14741396	-5.282621391	-118.6147242	115.4111051	-80.5397378	-14.53522719	-169.2751023
0.04104989	0.041298069	0.041570231	0.692512266	0.692195242	0.692560376	-79.44271311	160.6923219	40.68210491	-78.51995372	161.5071681	41.52512873
0.027329781	0.875966587	0.884232828	0.69530269	0.170463497	0.175349331	-79.99721007	-122.2633246	118.2186131	-79.56255707	-33.89659656	-151.2079288
0.067747896	0.067622334	0.067919976	0.636650938	0.636512431	0.63691683	-18.49057817	-138.6702186	101.3497893	-79.89260622	160.1594759	40.15032792
0.866304849	0.095573764	0.86637435	0.162145193	0.617490808	0.159013247	-3.097550433	-148.5861497	119.3040289	81.05582028	162.5213525	-145.8371953
0.881989012	0.02782387	0.027545548	0.175655501	0.694919598	0.695153702	-2.150440383	160.0746171	39.30828445	87.11960568	160.4021655	40.39859409
0.881824206	0.040851673	0.874332448	0.174962343	0.692924165	0.170666935	-1.770734804	160.892692	117.6353064	88.73499242	161.5445867	-154.0390459
0.480582377	0.401188039	0.877101446	0.589960314	0.548235076	0.170002837	-56.53271268	-68.39964062	118.0785535	-39.64702927	123.7013375	-152.0404416
0.845723886	0.147388805	0.860555429	0.150645978	0.562724668	0.152967512	-4.737613701	-138.2587663	121.2979883	70.60916177	162.860045	-134.819693
0.465547976	0.877479936	0.449588052	0.531203172	0.170688642	0.560345505	48.48818979	-121.9450235	67.97019298	-121.3345513	-32.19381179	76.39780364
0.4103585	0.877711525	0.480886407	0.51769743	0.170713002	0.559329103	47.14111818	-122.0127353	67.21368802	-116.9435527	-32.02450742	80.75268841
0.243518432	0.826601873	0.24113371	0.583017064	0.11883123	0.610638406	13.50358701	-121.1311054	85.81029463	-84.92156819	-30.89507368	44.22973571
0.438540535	0.445023828	0.87770465	0.591026128	0.561660101	0.170806698	-57.38971332	-66.32893999	118.1163042	-43.88974017	119.3288812	-152.1467116
0.825450713	0.198464509	0.211913812	0.118780813	0.612400833	0.584724397	-1.153039864	-147.8183738	133.9868789	88.97367591	164.3379306	35.03858002
0.872189008	0.873304914	0.046523731	0.16515722	0.168131334	0.658937822	-1.594027514	-122.5012398	111.5811356	89.94125745	-34.87992988	38.76582039
0.062556573	0.062402243	0.062459468	0.638727478	0.638582265	0.638547298	-8.226428643	-128.4653793	111.7250102	-80.95529911	159.0583502	39.04140338
0.877321696	0.451101303	0.432358679	0.17050178	0.608593786	0.575160771	-1.957302114	-179.4141123	175.3699575	87.72460949	-162.9388947	0.828261599
0.470342451	0.419809717	0.877638757	0.55964194	0.521026517	0.170508349	-52.86178834	-72.14075741	118.0598573	-40.31210466	122.0072747	-152.1109982
0.079028435	0.85581158	0.102988055	0.623745256	0.14955568	0.643295808	-15.84540982	-121.7198271	66.59988457	-79.76079952	-33.10491771	45.71900116
0.085665604	0.868402851	0.082219038	0.66418914	0.162543942	0.675445854	23.32383631	-121.9774754	79.9614509	-82.96092484	-32.98611279	40.02085644
0.111504658	0.864548497	0.855496374	0.592188423	0.156333911	0.15535207	-12.28413983	-119.712763	116.1500628	-79.50564994	-20.44257122	-163.7760184
