Vam	Vbm	Vcm	Iam	Ibm	Icm	Vap	Vbp	Vcp	Iap	Ibp	Icp
0.092399188	0.078720846	0.869022791	0.670792141	0.657360192	0.16253886	-62.57491183	-147.3033728	118.0001273	-76.9199334	159.9798351	-153.064128
0.444751841	0.449219132	0.877283613	0.608670753	0.578347869	0.17054531	-59.58125938	-64.3177074	118.0469607	-43.9777879	119.7701374	-152.2717947
0.881681383	0.041161837	0.040808256	0.175389456	0.692463185	0.692417269	-2.048701603	160.9795671	40.48945881	87.17910868	161.6131292	41.56603341
0.055335955	0.871683341	0.874293641	0.655042368	0.164731416	0.168530641	-34.24264667	-121.5144672	117.5170945	-79.10685979	-30.0827835	-154.8199245
0.254365453	0.825500303	0.248122659	0.584308752	0.118458801	0.612252972	9.378293882	-121.1524806	93.09433897	-85.04941671	-30.83573698	44.23144595
0.448062296	0.432643449	0.877550326	0.59085473	0.558294278	0.170520258	-57.12148559	-66.85719902	118.1047603	-42.76349632	120.4869918	-152.0822985
0.438199559	0.876429784	0.438204383	0.596502488	0.169928893	0.626409936	58.03535867	-121.95552	58.03547585	-119.882114	-32.06069763	75.84311806
0.116770654	0.864144005	0.856416528	0.590411592	0.156146762	0.15633414	-17.55466962	-119.7160043	116.1494152	-78.37091416	-20.42518172	-163.7788414
0.877505515	0.448134626	0.435975795	0.170644331	0.575722677	0.542781061	-1.955114096	-175.0672746	170.946787	87.72341026	-162.6316329	0.152314569
0.013709579	0.875533622	0.884159671	0.69749086	0.170671987	0.175837293	-80.87794114	-122.2312349	118.2090936	-80.66209191	-33.82426578	-151.2326891
0.074907245	0.076470235	0.85483666	0.649441318	0.629785984	0.149057947	-42.00988713	-108.0868243	118.3929885	-77.48699198	157.1015878	-152.4992331
0.872440014	0.873798782	0.046772103	0.165409368	0.168302021	0.658826742	-1.54762886	-122.4678638	111.3678075	89.95482045	-35.06808608	38.7822152
0.116447475	0.114624486	0.177899502	0.61721356	0.620254636	0.619667301	-12.77417667	-134.0947901	107.8892653	-80.06052752	159.998923	39.68181206
0.865323298	0.077099578	0.867907246	0.161164638	0.623155215	0.159999419	-3.04245021	-127.7353044	119.3440624	81.11070886	159.2413092	-145.5349483
0.054289236	0.876418194	0.883059844	0.690745753	0.17084981	0.174943925	-78.22117518	-122.3576863	118.1747283	-77.34833032	-33.96037058	-151.2612144
0.241900029	0.825958893	0.234526862	0.583143908	0.118852789	0.611874023	19.62683138	-121.1794256	82.88559647	-85.05732558	-30.94237368	44.19204755
0.130461016	0.862832979	0.856546824	0.586452309	0.15477763	0.156882428	-26.24237695	-119.7898616	116.1228891	-76.15509583	-20.68211157	-163.7096416
