Va	Vb	Vc	Ia	Ib	Ic
0.454906702	0.435887447	0.877398792	0.609792775	0.576558302	0.170590383
0.87193869	0.87574165	0.075953571	0.164762137	0.169364515	0.650432321
0.869061374	0.082654948	0.074817336	0.162595361	0.673878656	0.660094902
0.448125322	0.435903609	0.877390779	0.575779979	0.542848154	0.170565747
0.845668366	0.153951259	0.85789026	0.150816945	0.560918493	0.15166695
0.867032389	0.866375435	0.088294953	0.159597037	0.162432757	0.619673434
0.014224436	0.014366435	0.881772938	0.697590344	0.697602271	0.175332183
0.860917446	0.844408216	0.137191065	0.153963438	0.148614763	0.566226136
0.480700481	0.40135266	0.877378552	0.590161166	0.548030337	0.170482426
0.841670193	0.124999859	0.103901196	0.135293194	0.623246269	0.597834892
0.470513543	0.419919812	0.87791898	0.559612577	0.520990729	0.170514721
0.872538659	0.875956575	0.075941438	0.164784422	0.169225422	0.650520157
0.091080141	0.078473436	0.86892498	0.668347109	0.657127439	0.16265124
0.062471206	0.062476134	0.062429029	0.638268202	0.638466656	0.638508709
0.074874015	0.856568217	0.091314538	0.625765551	0.149922302	0.645683292
0.877661227	0.480914396	0.40177521	0.171053488	0.590200114	0.547827514
0.455004098	0.435888434	0.877399766	0.611029365	0.577432437	0.170589309
0.874862418	0.065249357	0.871303019	0.168658318	0.652692654	0.164852011
0.067297479	0.078247132	0.856878673	0.653037382	0.63251164	0.149351423
0.132046476	0.825720198	0.148830325	0.57524445	0.118909499	0.603905833
0.446224435	0.877369192	0.444704672	0.576491326	0.170548341	0.606939602
0.854669215	0.11147421	0.864450881	0.155291742	0.592124334	0.156570001
0.425487916	0.877206113	0.459115547	0.539473263	0.170537355	0.575537796
0.847460531	0.154001501	0.858707552	0.151026043	0.56083205	0.151695182
0.876994951	0.459420645	0.494148325	0.170779114	0.56057535	0.531819974
0.054303913	0.881270054	0.054637678	0.6910545	0.175449825	0.690023877
0.213168166	0.825993036	0.214513415	0.581286457	0.119375501	0.608881013
0.864066334	0.856482268	0.116632481	0.155679777	0.155680603	0.590344997
0.872480983	0.874375485	0.047211151	0.164837348	0.1680503	0.65707176
0.866210353	0.081506736	0.86742012	0.161915932	0.621635722	0.159768666
0.847229486	0.15392055	0.860085404	0.151364351	0.560927651	0.152075626
0.848228788	0.846603247	0.847681996	0.258207983	0.257355522	0.25710502
0.864386626	0.855854345	0.116639787	0.155537354	0.155543663	0.590348087
0.841909919	0.092712204	0.099656408	0.134789436	0.629627463	0.604393692
0.857564299	0.12306368	0.864688116	0.156431344	0.588490689	0.155622093
0.088225135	0.080265817	0.868768731	0.672392346	0.660331059	0.162685319
0.866454606	0.865824302	0.104097716	0.159381688	0.162642611	0.615234191
0.469947621	0.411784119	0.877651728	0.590506374	0.551681579	0.170403765
0.144690058	0.827029789	0.148684961	0.576832209	0.119032837	0.60459496
0.486957633	0.401614336	0.877442435	0.607414898	0.564316768	0.170532448
0.855634245	0.065488967	0.079201058	0.148628085	0.65242629	0.631822549
0.103472669	0.841779399	0.125332847	0.598422803	0.135275658	0.623516254
0.87759303	0.468843965	0.481688995	0.170671415	0.561111872	0.533155841
0.055375029	0.871846615	0.874362921	0.654914425	0.16466493	0.168456879
0.070329977	0.071555157	0.073953928	0.649909529	0.650225329	0.650684076
0.059445987	0.064489207	0.063425844	0.652335086	0.651207431	0.651568041
0.107651851	0.864765508	0.855114894	0.593756595	0.156811279	0.154560295
0.876475	0.8840718	0.013707075	0.170793331	0.175989505	0.697372857
0.864833853	0.076980607	0.86728628	0.161025954	0.622806869	0.159829539
0.874770282	0.047249719	0.871884134	0.168511519	0.656893768	0.164866786
0.877668418	0.448832088	0.439734447	0.17080153	0.559938177	0.527630461
0.873619189	0.076038376	0.870576707	0.16847721	0.650502654	0.164694275
0.876809365	0.883573354	0.040856391	0.17088407	0.17594023	0.693071096
0.856202976	0.091320062	0.074147082	0.149408784	0.645608847	0.62563004
0.877074798	0.884412686	5.49982E-06	0.171059839	0.176426217	0.699622911
0.446388066	0.877429631	0.43710787	0.546094554	0.170607839	0.57574725
