Va	Vb	Vc	Ia	Ib	Ic
0.054515906	0.055129426	0.054711597	0.690239192	0.690163989	0.69022813
0.13370598	0.86219758	0.844081994	0.567877694	0.155210281	0.148190258
0.875309189	0.047301049	0.872061618	0.168447485	0.656819649	0.16458084
0.429615775	0.87765659	0.459688455	0.524430659	0.170846377	0.55975306
0.446181575	0.877337508	0.444279874	0.576445018	0.170571325	0.607046937
0.881442388	0.05463317	0.054210111	0.175375808	0.690294601	0.690346654
0.131400177	0.826133379	0.149903201	0.576271032	0.118922008	0.604163989
0.868855914	0.097469912	0.08076467	0.162768343	0.665947852	0.654197199
0.866832058	0.095203917	0.867402384	0.162491048	0.617746255	0.159380758
0.855574617	0.107549729	0.865458769	0.154985428	0.593837159	0.157048112
0.866558346	0.103994762	0.866786237	0.162745171	0.615338741	0.159295668
0.861530011	0.843235224	0.1371861	0.154443601	0.148800639	0.566253136
0.458961954	0.421939249	0.877347099	0.590704936	0.55505132	0.170347135
0.405890423	0.877389484	0.480628129	0.532772707	0.170539099	0.575083265
0.044807805	0.048973027	0.051725061	0.657659952	0.658208657	0.658393283
0.470050512	0.415545182	0.877338179	0.575260019	0.536063901	0.17054073
0.880511646	0.054688435	0.054414932	0.175016642	0.690127735	0.690367857
0.873596005	0.876809783	0.065185841	0.165166677	0.169176568	0.652775868
0.100359803	0.84180281	0.113951959	0.600949693	0.135047746	0.62597282
0.429573762	0.877500471	0.459568153	0.52439248	0.170654865	0.559895231
0.124169149	0.113027349	0.149717305	0.616400026	0.614260684	0.615307337
0.877541625	0.450475376	0.427051655	0.170692674	0.626494396	0.593027038
0.857086554	0.123141473	0.863711598	0.156476208	0.588500726	0.155486973
0.014053468	0.881440208	0.014345194	0.697284069	0.175420038	0.697059558
0.133710615	0.861914388	0.84393606	0.567857383	0.155216645	0.148219143
0.465873653	0.424151417	0.877269809	0.608455967	0.57184077	0.170555969
0.014476914	0.014746449	0.882176702	0.696822139	0.697180285	0.175743229
0.871716064	0.876068305	0.075928603	0.164548691	0.169205141	0.650402033
0.877220685	0.459083515	0.422051826	0.170313114	0.590447224	0.554562895
0.055362913	0.873025919	0.875248345	0.654710466	0.165383193	0.168858751
0.826375804	0.263320875	0.272695678	0.1188107	0.613649871	0.584715454
0.879012163	0.877356028	0.879568046	0.171006874	0.17050044	0.170860965
0.841466419	0.102993344	0.099044514	0.134988872	0.627595648	0.602540726
0.401226699	0.877042983	0.480526673	0.548585863	0.169940449	0.590446127
0.841463845	0.124913408	0.104224976	0.135339066	0.622922915	0.597779382
0.866793113	0.866388133	0.095443751	0.159249543	0.162240602	0.617261823
