Va	Vb	Vc	Ia	Ib	Ic
0.07115029	0.051354152	0.08286385	0.673489176	0.672745475	0.674854081
0.473709011	0.404317059	0.877914721	0.625713351	0.586334456	0.17055833
0.882790865	0.040845943	0.87639491	0.174801706	0.69282403	0.170741832
0.233711466	0.245996543	0.826092443	0.607080719	0.580825943	0.119073197
0.148000788	0.134092769	0.825385249	0.603726143	0.573454807	0.119099416
0.446692214	0.877349905	0.444351137	0.576466513	0.170554475	0.606936009
0.041131678	0.040953956	0.880745813	0.692520718	0.693133545	0.175004405
0.864743722	0.855395985	0.111391049	0.156163324	0.155194393	0.592237555
0.072885313	0.854585237	0.0710514	0.629671288	0.149126353	0.649415237
0.856209033	0.068681028	0.071791786	0.149528428	0.649816546	0.629881763
0.877406093	0.450744364	0.432453155	0.170559911	0.609763255	0.576354995
0.056429055	0.044917966	0.075253546	0.674870085	0.674764588	0.675538172
0.424396788	0.877402722	0.465112292	0.573180126	0.170546385	0.609861785
0.866838651	0.866120618	0.081713331	0.15920393	0.161824217	0.621202439
0.140435035	0.132590964	0.825273479	0.605402112	0.577647182	0.11868542
0.877507665	0.480586107	0.40572158	0.170578581	0.575395786	0.532922038
0.877329799	0.451009803	0.432012727	0.170487161	0.608747292	0.575260531
0.156027273	0.14615415	0.094229703	0.616802284	0.616286156	0.61529901
0.233711466	0.245996543	0.826092443	0.607080719	0.580825943	0.119073197
0.099739954	0.841743518	0.092698728	0.604327766	0.13481874	0.629765054
0.877461454	0.480559368	0.405668499	0.170523657	0.575007883	0.532623444
0.419630806	0.877417272	0.470289922	0.521039504	0.170633411	0.559661287
0.054505351	0.055110727	0.055193133	0.690366404	0.690049383	0.690158421
0.823292437	0.823916889	0.825177238	0.298296008	0.298740878	0.298689722
0.013705155	0.875733758	0.882306944	0.697267242	0.170227074	0.174650279
0.860588344	0.844603133	0.137246425	0.154253536	0.149003567	0.566213648
0.877253393	0.473177875	0.410474469	0.1705409	0.60923876	0.569354059
0.059449117	0.064101865	0.063090001	0.652282408	0.651284317	0.651263546
0.00000278	0.00000296	0.00000286	0.699286815	0.698875292	0.698433413
0.864581888	0.856093392	0.116599096	0.155805121	0.155749279	0.590447314
0.454561153	0.436108163	0.877394934	0.609438616	0.576189363	0.170588628
0.841357535	0.083345761	0.102237791	0.1348493	0.631120319	0.605913409
0.041213966	0.041107541	0.041769793	0.692989606	0.6918103	0.692258167
0.054339962	0.881777248	0.05462989	0.690683725	0.175474709	0.690326329
0.86530263	0.077138906	0.867242854	0.161070196	0.623001277	0.159962854
0.882339738	0.0000055	0.876896171	0.174854531	0.69939466	0.170322493
0.047129471	0.871224774	0.873934027	0.6569125	0.164584863	0.16787852
0.103905515	0.866977219	0.866853672	0.61568637	0.159412174	0.162886393
0.877348779	0.459010288	0.425596992	0.170580364	0.575609234	0.539612668
0.425651652	0.877469673	0.459242724	0.539380039	0.170623607	0.575486686
