,,,,,,,,,,,
Output / Desired,Fault(1001),Fault(1004),Fault(1010),Fault(1007),Fault(1000),Fault(1005),Fault(1003),Fault(1009),Fault(1006),Fault(1008),Fault(1002)
Fault(1001),0,0,0,0,0,0,0,0,0,0,0
Fault(1004),0,0,0,0,0,0,0,0,0,0,0
Fault(1010),0,0,0,0,0,0,0,0,0,0,0
Fault(1007),0,0,0,0,0,0,0,0,0,0,0
Fault(1000),0,0,0,0,0,0,0,0,0,0,0
Fault(1005),0,0,0,0,0,0,0,0,0,0,0
Fault(1003),0,0,0,0,0,0,0,0,0,0,0
Fault(1009),618,663,635,586,237,620,658,635,629,612,607
Fault(1006),0,0,0,0,0,0,0,0,0,0,0
Fault(1008),0,0,0,0,0,0,0,0,0,0,0
Fault(1002),0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,
,,,,,,,,,,,
Performance,Fault(1001),Fault(1004),Fault(1010),Fault(1007),Fault(1000),Fault(1005),Fault(1003),Fault(1009),Fault(1006),Fault(1008),Fault(1002)
MSE,0.086037311,0.091669171,0.088148675,0.082066658,0.035169008,0.086286833,0.09102195,0.088155125,0.087406275,0.085289607,0.084665767
NMSE,1.000000109,1.000798847,1.000001754,1.000494079,1.001050688,1.00000513,1.000426993,1.000074925,1.0000152,1.000008296,1.000021712
MAE,0.171996028,0.176383003,0.17598062,0.169270515,0.075896735,0.172034386,0.176995215,0.178364838,0.173880334,0.169895024,0.170430455
Min Abs Error,0.094979897,0.093445984,0.09729905,0.09651996,0.042537135,0.094719298,0.094997858,0.100262227,0.095616591,0.093312671,0.094740439
Max Abs Error,0.905020103,0.906554016,0.90270095,0.90348004,0.957462865,0.905280702,0.905002142,0.899737773,0.904383409,0.906687329,0.905259561
r,-8.72975E-16,9.51273E-16,-6.59731E-16,4.17632E-16,-5.41113E-17,3.34634E-16,-4.01674E-16,7.11321E-16,8.18327E-16,1.48184E-15,-3.49241E-17
Percent Correct,0,0,0,0,0,0,0,100,0,0,0
,,,,,,,,,,,
