Va	Vb	Vc	Ia	Ib	Ic
0.3343879	0.825840592	0.338952676	0.585394167	0.118647453	0.614602666
0.825636692	0.136257978	0.126990864	0.118950095	0.60360272	0.576087702
0.877484334	0.480501902	0.405828881	0.17059185	0.575398078	0.532974269
0.87757854	0.480932237	0.410171689	0.170901316	0.559588507	0.517361964
0.875515855	0.883256552	0.013706503	0.170357028	0.175239206	0.697304231
0.107742923	0.864733782	0.855239542	0.593750967	0.156946833	0.154765937
0.883829109	0.04085688	0.875465685	0.175309764	0.693036049	0.16999827
0.054275874	0.876282534	0.883206527	0.690530548	0.170802452	0.17520142
0.868895084	0.076172601	0.078615848	0.162527724	0.676641625	0.664557345
0.122996138	0.296224495	0.206121944	0.621701311	0.626718499	0.62470323
0.102190974	0.841623057	0.08341824	0.606128149	0.134726291	0.631439963
0.046055021	0.048422856	0.053202235	0.6579207	0.659024196	0.659796518
0.077065206	0.867434366	0.865961108	0.623206142	0.159859106	0.16139253
0.882618309	0.054676286	0.054214891	0.175717795	0.690176338	0.690402722
0.103154326	0.078837388	0.856205184	0.643374457	0.623664139	0.149645268
0.864858824	0.856017712	0.116613735	0.155782625	0.155710509	0.590413201
0.87730508	0.43704604	0.446327071	0.170588874	0.575694897	0.546058501
0.872747747	0.874315388	0.075941412	0.164422753	0.168253165	0.650449249
0.070250316	0.065335991	0.085283082	0.67032311	0.671127188	0.672744308
0.028078688	0.02802685	0.881450171	0.694795632	0.695303277	0.174879849
0.855777836	0.123106214	0.863950312	0.15568956	0.588332343	0.154951388
0.877686081	0.47031757	0.419885153	0.170739665	0.55964022	0.520957191
0.874755002	0.873469756	0.874385766	0.188819557	0.188427474	0.18832066
0.045212609	0.871909616	0.875003924	0.659055189	0.165412588	0.168476325
0.066538976	0.078570239	0.855698998	0.653488734	0.633422055	0.149009737
0.039829959	0.046624505	0.073745355	0.677350579	0.676644623	0.677800568
0.841632542	0.113636652	0.100516878	0.135056934	0.625969241	0.600511803
0.860660924	0.846034283	0.147407983	0.153287488	0.150851067	0.562757173
0.099676221	0.841761022	0.092649084	0.604335914	0.134833716	0.629764631
0.872488309	0.874815219	0.0651805	0.1647882	0.16850803	0.652862791
0.877401446	0.462997465	0.420521489	0.170607118	0.609505656	0.572873629
0.092773415	0.099670548	0.841429632	0.62956618	0.604431152	0.134894195
0.572803084	0.877111735	0.543610126	0.538590633	0.170404254	0.565903214
0.088064147	0.867306917	0.865585443	0.619117014	0.159677522	0.162069935
0.079231968	0.869043472	0.092633547	0.658425777	0.162589086	0.669996964
0.102937936	0.841874572	0.124960283	0.598585747	0.135153096	0.623591291
0.43712756	0.446383666	0.877446513	0.575795044	0.546065314	0.170582294
0.057909139	0.044938663	0.076666766	0.675478335	0.674646076	0.676414104
0.147432537	0.860564709	0.845804343	0.56268634	0.153118769	0.150837705
0.87741275	0.450639563	0.432421275	0.170575228	0.609672547	0.576277987
0.046182594	0.047897296	0.052514447	0.657893072	0.6591049	0.659642825
0.083398961	0.102160143	0.84154418	0.630798187	0.605856844	0.134735243
0.437107044	0.446371986	0.877411096	0.575772639	0.546053481	0.170609371
0.070586556	0.071419503	0.07439371	0.649958664	0.650218159	0.650691123
0.415341922	0.877215421	0.46190109	0.589829501	0.170470528	0.626088749
0.459087877	0.425710785	0.877396849	0.575515271	0.539399171	0.170568448
0.861033671	0.844268027	0.137172958	0.15398906	0.14855091	0.566272575
0.84180193	0.11383258	0.100430357	0.135159709	0.626203363	0.600839364
0.102903723	0.078814875	0.855359595	0.643493538	0.623606001	0.149227332
0.046336143	0.048223008	0.053456887	0.658043735	0.658901117	0.659782379
0.00000278	0.00000295	0.00000287	0.699169269	0.699004103	0.699302622
0.107701167	0.865671513	0.854945511	0.593941279	0.156979264	0.154763545
0.059333924	0.064446643	0.063789006	0.652158111	0.651862608	0.651957487
0.027319483	0.876586417	0.8825988	0.695058761	0.171111108	0.175719365
0.045919382	0.048699244	0.051789267	0.657697491	0.658162489	0.659365904
0.871849493	0.87535271	0.075949101	0.164607336	0.169228482	0.650423618
0.081754935	0.867096284	0.866234611	0.621087895	0.159809681	0.161946741
0.877340135	0.448149989	0.432655272	0.170415153	0.590736658	0.557806097
0.864745056	0.854683058	0.107784679	0.156298472	0.154274049	0.593662361
0.860988688	0.846133604	0.147407565	0.153345828	0.150835592	0.562826636
0.480523539	0.405926528	0.877254284	0.574530268	0.532017558	0.170539985
0.062440295	0.062482304	0.062392573	0.638239264	0.63838747	0.638553208
0.095565763	0.866704654	0.865613754	0.617355897	0.159460293	0.162237603
0.405929921	0.877331741	0.480538971	0.532770238	0.170538426	0.575092929
0.062508634	0.062480234	0.062440178	0.638296498	0.638238724	0.638536125
0.874290772	0.051168541	0.872194488	0.168270542	0.65899424	0.165036835
0.450476049	0.427052423	0.877542943	0.626495694	0.593057778	0.170664671
0.103152526	0.078845321	0.856034567	0.643163071	0.623691693	0.149680309
0.476168798	0.413525812	0.877413499	0.610202214	0.570003734	0.170563035
