Fault(1003)	Fault(1001)	Fault(1005)	Fault(1004)	Fault(0)	Fault(1010)	Fault(1007)	Fault(1009)	Fault(1002)	Fault(1008)	Fault(1006)	Location
0	0	0	0	0	0	0	1	0	0	0	100
0	0	1	0	0	0	0	0	0	0	0	100
1	0	0	0	0	0	0	0	0	0	0	100
1	0	0	0	0	0	0	0	0	0	0	200
0	0	0	0	0	0	0	0	1	0	0	100
0	0	0	1	0	0	0	0	0	0	0	100
0	0	0	0	0	0	0	1	0	0	0	100
0	0	0	0	0	0	1	0	0	0	0	50
0	0	0	0	0	0	0	0	0	0	1	150
0	0	0	0	0	1	0	0	0	0	0	0
0	0	0	0	0	1	0	0	0	0	0	50
0	0	0	0	0	0	0	0	0	0	1	50
0	0	1	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	1	0	0	0	200
0	0	0	0	0	1	0	0	0	0	0	100
0	0	0	0	0	0	0	0	0	1	0	200
0	0	0	0	0	0	1	0	0	0	0	200
1	0	0	0	0	0	0	0	0	0	0	50
0	0	0	1	0	0	0	0	0	0	0	100
0	0	0	0	0	0	1	0	0	0	0	150
0	0	0	0	0	0	0	0	0	1	0	0
1	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	1	0	50
0	0	0	1	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	1	0	0	0
1	0	0	0	0	0	0	0	0	0	0	100
0	0	0	0	0	1	0	0	0	0	0	150
0	0	0	0	0	0	1	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	1	50
0	0	1	0	0	0	0	0	0	0	0	0
0	0	1	0	0	0	0	0	0	0	0	100
0	1	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	1	0	0	0	0	0	100
0	0	0	0	0	0	0	1	0	0	0	100
0	0	0	0	0	0	0	0	1	0	0	50
0	0	0	1	0	0	0	0	0	0	0	100
0	0	0	0	0	0	0	0	0	0	1	0
0	0	0	0	0	0	0	1	0	0	0	50
0	0	0	1	0	0	0	0	0	0	0	50
0	0	0	0	0	1	0	0	0	0	0	50
0	0	0	0	0	0	1	0	0	0	0	50
0	0	0	0	0	1	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	1	0	0	0	0	150
0	0	0	0	0	0	0	1	0	0	0	100
0	0	1	0	0	0	0	0	0	0	0	50
0	1	0	0	0	0	0	0	0	0	0	100
0	0	0	1	0	0	0	0	0	0	0	100
0	0	0	0	0	0	1	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	100
0	0	0	0	0	0	0	1	0	0	0	150
0	0	0	0	0	0	1	0	0	0	0	0
0	0	0	0	0	1	0	0	0	0	0	200
0	0	0	0	0	0	0	0	1	0	0	50
0	1	0	0	0	0	0	0	0	0	0	200
0	0	0	0	0	0	0	1	0	0	0	0
0	0	1	0	0	0	0	0	0	0	0	100
0	0	0	0	0	0	0	1	0	0	0	100
0	0	0	0	0	0	1	0	0	0	0	50
0	0	0	0	0	1	0	0	0	0	0	100
1	0	0	0	0	0	0	0	0	0	0	50
0	0	0	0	0	1	0	0	0	0	0	100
1	0	0	0	0	0	0	0	0	0	0	50
0	0	0	0	0	0	0	0	0	1	0	100
0	0	0	1	0	0	0	0	0	0	0	50
0	0	0	1	0	0	0	0	0	0	0	200
0	1	0	0	0	0	0	0	0	0	0	50
0	0	0	0	0	0	0	0	0	0	1	100
0	0	0	0	0	0	1	0	0	0	0	50
0	0	1	0	0	0	0	0	0	0	0	50
1	0	0	0	0	0	0	0	0	0	0	0
0	0	1	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	1	0	0	50
0	0	0	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	0	1	0	0	0	100
1	0	0	0	0	0	0	0	0	0	0	200
0	0	0	0	0	0	1	0	0	0	0	50
1	0	0	0	0	0	0	0	0	0	0	200
0	0	0	0	0	0	0	1	0	0	0	200
0	0	0	0	0	0	0	1	0	0	0	200
0	0	0	1	0	0	0	0	0	0	0	200
0	0	0	0	0	1	0	0	0	0	0	100
0	0	0	0	0	0	0	0	1	0	0	200
0	0	0	0	0	0	0	0	1	0	0	200
0	0	0	0	0	0	0	0	0	0	1	0
0	0	0	1	0	0	0	0	0	0	0	50
0	0	0	0	0	0	0	0	1	0	0	0
0	0	0	0	0	0	1	0	0	0	0	0
0	0	0	0	0	0	0	0	1	0	0	0
0	0	0	0	0	0	0	0	0	0	1	0
0	0	0	0	0	0	1	0	0	0	0	200
0	0	0	0	0	0	0	0	1	0	0	100
0	0	0	0	0	0	0	1	0	0	0	100
0	0	0	1	0	0	0	0	0	0	0	200
0	0	1	0	0	0	0	0	0	0	0	0
0	0	0	1	0	0	0	0	0	0	0	150
0	0	0	0	0	0	0	0	0	1	0	0
0	0	0	0	0	1	0	0	0	0	0	200
1	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	1	0	0	0	0	200
0	1	0	0	0	0	0	0	0	0	0	150
0	0	0	0	0	0	0	0	0	0	1	100
0	0	0	0	0	1	0	0	0	0	0	100
0	0	0	0	0	0	1	0	0	0	0	100
0	0	0	0	0	0	1	0	0	0	0	200
0	0	1	0	0	0	0	0	0	0	0	0
0	0	0	0	0	1	0	0	0	0	0	0
0	0	1	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	1	100
0	1	0	0	0	0	0	0	0	0	0	200
1	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	1	0	0	0	100
0	0	0	0	0	1	0	0	0	0	0	50
0	0	0	0	0	0	0	0	0	1	0	150
0	0	0	0	0	0	0	0	1	0	0	50
0	0	0	0	0	0	0	0	1	0	0	150
0	0	0	0	0	0	0	0	0	0	1	200
0	0	0	1	0	0	0	0	0	0	0	200
1	0	0	0	0	0	0	0	0	0	0	150
0	0	0	0	0	0	0	0	0	1	0	200
0	0	1	0	0	0	0	0	0	0	0	50
0	0	0	0	0	0	1	0	0	0	0	50
0	0	0	0	0	0	0	0	0	1	0	0
0	1	0	0	0	0	0	0	0	0	0	200
0	0	0	0	0	0	0	0	1	0	0	0
0	0	1	0	0	0	0	0	0	0	0	100
1	0	0	0	0	0	0	0	0	0	0	100
0	0	0	1	0	0	0	0	0	0	0	0
0	0	0	0	0	1	0	0	0	0	0	200
0	0	0	0	0	0	0	0	1	0	0	150
1	0	0	0	0	0	0	0	0	0	0	50
0	0	0	1	0	0	0	0	0	0	0	0
0	0	0	1	0	0	0	0	0	0	0	50
1	0	0	0	0	0	0	0	0	0	0	200
0	0	0	0	0	0	0	0	0	1	0	100
0	0	0	1	0	0	0	0	0	0	0	0
0	0	1	0	0	0	0	0	0	0	0	50
1	0	0	0	0	0	0	0	0	0	0	100
0	1	0	0	0	0	0	0	0	0	0	150
0	0	0	0	0	0	0	1	0	0	0	200
0	0	1	0	0	0	0	0	0	0	0	200
1	0	0	0	0	0	0	0	0	0	0	200
0	0	0	0	0	0	0	0	0	1	0	150
0	0	0	0	0	0	0	0	0	0	1	150
0	1	0	0	0	0	0	0	0	0	0	100
0	0	1	0	0	0	0	0	0	0	0	100
0	1	0	0	0	0	0	0	0	0	0	150
0	0	1	0	0	0	0	0	0	0	0	200
0	0	0	0	0	0	0	0	0	0	1	50
0	0	0	0	0	0	0	0	0	1	0	200
0	0	0	0	0	0	0	1	0	0	0	50
0	1	0	0	0	0	0	0	0	0	0	200
0	0	0	0	0	0	0	1	0	0	0	100
0	0	0	0	0	1	0	0	0	0	0	50
0	0	0	0	0	1	0	0	0	0	0	100
0	0	0	0	0	0	0	0	0	1	0	200
0	0	0	0	0	0	0	1	0	0	0	0
0	0	0	0	1	0	0	0	0	0	0	0
0	0	0	1	0	0	0	0	0	0	0	0
0	0	0	0	0	1	0	0	0	0	0	150
0	0	0	0	0	0	0	0	0	0	1	200
0	0	0	0	0	0	1	0	0	0	0	150
1	0	0	0	0	0	0	0	0	0	0	100
0	0	0	0	0	0	1	0	0	0	0	200
0	0	0	0	0	0	0	0	0	0	1	150
0	0	0	0	0	0	0	1	0	0	0	200
0	0	0	0	0	0	0	0	0	1	0	200
0	0	0	0	0	0	0	0	0	0	1	50
0	0	0	0	0	0	0	0	1	0	0	50
1	0	0	0	0	0	0	0	0	0	0	150
0	0	0	0	0	1	0	0	0	0	0	200
0	0	0	0	0	0	0	0	0	0	1	50
0	1	0	0	0	0	0	0	0	0	0	0
0	0	0	1	0	0	0	0	0	0	0	100
0	0	0	0	0	0	1	0	0	0	0	150
1	0	0	0	0	0	0	0	0	0	0	150
0	0	0	0	0	1	0	0	0	0	0	150
0	0	0	0	0	0	1	0	0	0	0	200
0	0	0	0	0	0	0	0	0	1	0	150
1	0	0	0	0	0	0	0	0	0	0	150
1	0	0	0	0	0	0	0	0	0	0	200
0	0	0	0	0	0	0	0	0	1	0	150
0	0	0	0	0	0	0	1	0	0	0	0
0	0	1	0	0	0	0	0	0	0	0	150
0	0	0	0	1	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	50
1	0	0	0	0	0	0	0	0	0	0	50
0	0	0	0	0	0	0	0	0	1	0	200
0	0	0	0	0	0	0	0	0	0	1	150
0	0	0	0	0	0	0	0	0	0	1	200
0	0	0	1	0	0	0	0	0	0	0	100
0	0	0	0	0	0	0	0	0	1	0	200
1	0	0	0	0	0	0	0	0	0	0	150
0	0	0	0	0	0	0	0	1	0	0	0
0	1	0	0	0	0	0	0	0	0	0	200
0	0	0	0	0	0	0	0	0	0	1	150
0	0	0	0	0	0	0	0	1	0	0	200
0	0	0	0	0	0	0	0	0	0	1	200
0	0	0	0	1	0	0	0	0	0	0	0
0	0	0	0	0	1	0	0	0	0	0	100
0	0	0	0	0	0	1	0	0	0	0	0
0	0	0	0	0	0	1	0	0	0	0	200
0	0	0	0	0	1	0	0	0	0	0	50
1	0	0	0	0	0	0	0	0	0	0	200
0	0	0	0	0	0	0	1	0	0	0	50
0	0	0	0	0	0	0	1	0	0	0	50
0	0	1	0	0	0	0	0	0	0	0	0
0	0	1	0	0	0	0	0	0	0	0	0
