Va	Vb	Vc	Ia	Ib	Ic
0.841584883	0.125168683	0.103642026	0.135307462	0.623092295	0.597738999
0.841473309	0.10294189	0.098980973	0.134977886	0.627841451	0.602819173
0.82560543	0.27180873	0.282418952	0.11835367	0.611013961	0.582026587
0.090789974	0.076828908	0.868973467	0.667992466	0.65815023	0.162542383
0.028080812	0.027744507	0.881567589	0.694781563	0.69463188	0.175383346
0.882780289	0.040845942	0.876417722	0.174800945	0.69282392	0.170739408
0.137179509	0.861733485	0.844234291	0.56612639	0.154622962	0.149072937
0.871716064	0.876068305	0.075928603	0.164548691	0.169205141	0.650402033
0.85563058	0.111414529	0.864443812	0.154988202	0.592042113	0.155903665
0.10443358	0.86681906	0.866795427	0.615039663	0.15918633	0.162914462
0.865335854	0.076991316	0.8670783	0.16091008	0.623391874	0.159525419
0.100101102	0.841842164	0.114091659	0.600490265	0.134925364	0.625614368
0.861370659	0.84539821	0.141757067	0.153879481	0.149842564	0.564537426
0.392982102	0.877578453	0.484846555	0.582628533	0.170720577	0.625163244
0.137201902	0.861251195	0.843420658	0.566231991	0.154281888	0.148823829
0.446375506	0.877410446	0.437100422	0.54610276	0.170607022	0.575745307
0.083405277	0.102214466	0.84173146	0.631126032	0.605744325	0.134717599
0.054549079	0.055348341	0.054919361	0.690238367	0.690106855	0.690361553
0.435149611	0.877283767	0.454988945	0.574138162	0.170549373	0.607905258
0.866984238	0.104017028	0.866348788	0.162833264	0.615259887	0.1591416
0.045745399	0.048072831	0.054361097	0.655534332	0.65641347	0.655440011
0.427116215	0.877672638	0.45054166	0.593066786	0.170823381	0.626463226
0.08000145	0.855717675	0.104274231	0.623574443	0.149604004	0.643642957
0.869189797	0.09852997	0.079750582	0.162713574	0.669949791	0.657309313
0.130384779	0.863592976	0.857242539	0.586215104	0.154976709	0.157365001
0.877834105	0.470381848	0.419967319	0.170692167	0.55974385	0.52104808
0.086535209	0.077556194	0.868884387	0.672698809	0.661588566	0.162588257
0.103564959	0.841637779	0.125073319	0.598601666	0.135288568	0.623452974
0.027832796	0.027694255	0.028470492	0.695478965	0.695161398	0.695094018
0.041986344	0.041018737	0.042221544	0.693273792	0.692126208	0.692233094
0.877788852	0.447966121	0.433366116	0.170619805	0.59122738	0.558649011
0.877689575	0.480927214	0.401822919	0.17080809	0.590286668	0.547959596
0.877351361	0.448081219	0.435863224	0.170627747	0.575744934	0.542873138
0.047155595	0.871544528	0.87433168	0.656828104	0.164567195	0.1681786
0.841757273	0.092689876	0.09973984	0.134779772	0.629642585	0.604230991
0.060039091	0.060022324	0.059884724	0.639743544	0.640346284	0.639945555
0.104033388	0.866176046	0.866445246	0.615448144	0.15913228	0.162900197
0.87741275	0.450639563	0.432421275	0.170575228	0.609672547	0.576277987
0.329379534	0.826116815	0.324345716	0.586976581	0.118593199	0.613304156
0.266320657	0.274426967	0.826571124	0.61218889	0.5838538	0.118843503
0.48041699	0.40589864	0.877289275	0.575228436	0.53273102	0.170520836
2.77378E-06	2.9019E-06	2.83807E-06	0.69924794	0.699356455	0.699531461
0.876650159	0.883345658	0.040860508	0.170789726	0.175885603	0.693142444
0.3343879	0.825840592	0.338952676	0.585394167	0.118647453	0.614602666
0.103414204	0.841669642	0.12529417	0.598598091	0.135291695	0.623457763
0.062454984	0.062474111	0.062396733	0.638267956	0.638454336	0.638512762
0.074794782	0.074917599	0.075035848	0.634043836	0.634340156	0.634548754
0.447861044	0.432605341	0.877327598	0.59091771	0.558323616	0.170227306
0.140435035	0.132590964	0.825273479	0.605402112	0.577647182	0.11868542
0.856099223	0.091273537	0.074256533	0.149295021	0.646074966	0.62557159
