Va	Vb	Vc	Ia	Ib	Ic
0.469973022	0.415691961	0.877394887	0.575315898	0.536136674	0.170542764
0.881425388	4.9171E-06	4.81673E-06	0.175525743	0.698900633	0.699272681
0.484603979	0.392751763	0.877102788	0.625414396	0.582478277	0.170604532
0.860528115	0.845595722	0.147458895	0.15307766	0.150704864	0.56253465
0.392934106	0.877466135	0.48478314	0.582442833	0.170525315	0.625278382
0.415651436	0.877420849	0.469876998	0.536216492	0.170579283	0.575492539
0.401842048	0.878104948	0.480983106	0.548160484	0.170705594	0.58982673
0.484767108	0.392898948	0.87741515	0.625353365	0.582503654	0.170541926
0.411480837	0.877205123	0.469803916	0.551627721	0.170227009	0.590522758
0.05537579	0.871810873	0.874378323	0.654914614	0.16466638	0.168458761
0.014308853	0.881692502	0.014567974	0.6974471	0.175449735	0.69705863
0.095590107	0.866595597	0.865989757	0.617510643	0.15888787	0.16198756
0.439498003	0.877162154	0.448590898	0.527550331	0.170773633	0.559785674
0.413407406	0.877345939	0.475749022	0.567660015	0.170619524	0.606696919
0.44765109	0.432300646	0.876807215	0.591061404	0.558169737	0.170484895
0.072992425	0.855306903	0.071498862	0.629437529	0.149103021	0.649530725
0.125340096	0.113561561	0.145497507	0.616221079	0.614773861	0.616265991
0.059619984	0.064107383	0.062492077	0.652108105	0.65179018	0.652105946
0.876717961	0.447773751	0.432480131	0.170405325	0.590815984	0.558251977
0.881405176	4.81327E-06	4.93035E-06	0.175426431	0.698948125	0.699106219
0.104080039	0.866214584	0.866862187	0.615648218	0.159195814	0.162853311
0.473570096	0.404189999	0.877648939	0.625833881	0.5860859	0.170770128
0.081585452	0.867717359	0.865639678	0.621370696	0.159870932	0.16152502
0.871939576	0.874622089	0.055330541	0.164985241	0.168641822	0.654824983
0.103574097	0.841785667	0.125136889	0.598627337	0.135398267	0.623547161
0.758112102	0.757711772	0.755668374	0.383843099	0.384254268	0.383682171
0.067558806	0.067732526	0.067833564	0.636185481	0.636272539	0.636751729
0.088236542	0.079982479	0.868778147	0.672345468	0.660461494	0.162683252
0.08151248	0.867671719	0.865561862	0.621351586	0.159843456	0.161623055
0.860443856	0.844421863	0.141722069	0.15286951	0.148966497	0.564563525
0.432743877	0.877755031	0.448216371	0.558265494	0.170831898	0.59133399
0.841852739	0.103001884	0.099087025	0.135033614	0.627747271	0.602569489
0.081798076	0.867284677	0.865139714	0.621105752	0.159858746	0.161574541
0.437784228	0.444783915	0.877338075	0.592715743	0.563191554	0.170333886
0.876608261	0.884052767	0.027324438	0.170661228	0.175801354	0.695196467
0.055346334	0.872769579	0.87505373	0.654929054	0.165106219	0.168560122
0.435359138	0.87730827	0.454816131	0.574122664	0.170545472	0.607880243
0.415662882	0.877415316	0.469936479	0.536204166	0.170573954	0.575463799
0.874866648	0.047189838	0.871948972	0.168508036	0.656910653	0.164873688
0.868672831	0.081580735	0.078585144	0.162589788	0.674564944	0.662636699
0.125131054	0.110074896	0.145471574	0.615597195	0.614483161	0.614676294
0.068844714	0.071291609	0.855560916	0.650102225	0.62938871	0.149047111
0.044963054	0.048383595	0.051232902	0.657255929	0.658027586	0.658690232
0.067559913	0.067720655	0.067782507	0.636441117	0.636642633	0.636776646
0.877636759	0.44879179	0.439759288	0.170723721	0.559966789	0.527629597
0.855850339	0.116682976	0.864374094	0.155193811	0.590303745	0.155601939
0.4698586	0.415757957	0.877403957	0.575414768	0.53626915	0.170589671
0.869139661	0.098127882	0.080538997	0.162714918	0.669901509	0.657332684
0.856099469	0.091284394	0.074246995	0.149297283	0.646094145	0.625523325
0.876817124	0.883511068	0.040849665	0.171112189	0.175372612	0.692943011
0.027568049	0.02742281	0.881134841	0.694879872	0.695684354	0.175197175
0.095425813	0.866981865	0.866635447	0.617399455	0.159121922	0.162499387
0.877730319	0.448418641	0.43281552	0.170591511	0.591108637	0.558338869
0.080161142	0.869183794	0.092780053	0.659163794	0.162733436	0.670654639
0.87143011	0.874197236	0.047186383	0.164850502	0.168137499	0.657088886
0.877578878	0.877747927	0.877683551	0.17072445	0.171020143	0.170965053
0.100656565	0.081808205	0.869310624	0.668967205	0.657718118	0.162626367
0.107728026	0.864981244	0.854828078	0.593956359	0.156887592	0.154523734
0.147434369	0.859808911	0.845063654	0.562792524	0.152453109	0.150381716
0.095616563	0.866974171	0.866388798	0.617420768	0.159522435	0.162594947
0.864342717	0.856010836	0.116638661	0.155763054	0.155660201	0.590382209
