Va	Vb	Vc	Ia	Ib	Ic
0.42006899	0.878179565	0.470611114	0.520839365	0.170867146	0.55976777
0.826159563	0.201859544	0.203159533	0.119112072	0.609559275	0.577796002
0.825658025	0.263759977	0.266181458	0.118858397	0.609676843	0.584793489
0.856752303	0.130440903	0.863227914	0.156795991	0.586478605	0.154606182
0.080499575	0.855048682	0.104594343	0.623420372	0.149256269	0.643237113
0.02750615	0.881902109	0.02772287	0.694919981	0.175137455	0.695177175
0.091298553	0.07818162	0.869116791	0.66847052	0.65712232	0.162633126
0.105895117	0.1274143	0.177627623	0.616995922	0.618847398	0.61740021
0.75844416	0.758398207	0.760888161	0.384149477	0.383605569	0.383672104
0.102216098	0.841595875	0.083423951	0.606125235	0.134711998	0.631431472
0.856169686	0.130381051	0.861712871	0.156351357	0.586409939	0.154383362
0.487086343	0.401455109	0.877441851	0.607430818	0.56431904	0.170539265
0.865289673	0.087769755	0.866743257	0.162081667	0.618983617	0.159536875
0.877297396	0.450355335	0.426927462	0.170410655	0.626406388	0.593226748
0.421694536	0.876847046	0.458783903	0.55480413	0.170474441	0.590582413
0.448842508	0.43971214	0.877631426	0.559706658	0.527865184	0.170738818
0.079842962	0.869094566	0.092654742	0.658981294	0.162737982	0.670311489
0.045665666	0.048415571	0.052567046	0.657847385	0.658844783	0.659911304
0.06769566	0.067618437	0.067851837	0.636445905	0.636507142	0.636751996
0.855462194	0.111416108	0.864414089	0.154986954	0.592044118	0.155899071
0.448676568	0.439627727	0.877372727	0.559898975	0.527577112	0.170537619
0.041010937	0.882105334	0.041665355	0.692778647	0.175735366	0.692052773
0.077007332	0.868162464	0.865574979	0.623085521	0.16043673	0.161445162
0.44811673	0.435929222	0.877393467	0.575610218	0.542643699	0.170572954
0.092744406	0.09967283	0.841392873	0.629565507	0.604395842	0.134831919
0.147471584	0.859654233	0.84573648	0.562874419	0.15267661	0.15051445
0.442972221	0.448193872	0.877350826	0.606595434	0.576584443	0.170607534
0.874386693	0.05150686	0.872435296	0.168327502	0.658964329	0.16503328
0.136052014	0.322142089	0.215928459	0.622541174	0.623692989	0.621382245
0.077526875	0.080893741	0.868992867	0.678273012	0.666124068	0.16252713
0.054486157	0.055104795	0.054846027	0.690284233	0.690050124	0.689895697
0.455081457	0.435794042	0.877427138	0.610849164	0.576976482	0.170563553
