Va	Vb	Vc	Ia	Ib	Ic
0.877994027	0.470448404	0.420064715	0.170943293	0.559679076	0.521084068
0.878196656	0.450803345	0.427378485	0.170664743	0.626580108	0.59307726
0.103024735	0.078903661	0.855913801	0.643225664	0.623573152	0.149642459
0.102883718	0.84194514	0.124987404	0.598586811	0.135194769	0.623668901
0.045510028	0.048516933	0.054281219	0.655657991	0.656917944	0.656364657
0.48069584	0.401380807	0.877397881	0.590136647	0.548022131	0.170415833
0.877385132	0.469842615	0.415538026	0.170594158	0.575604798	0.536332716
0.013706421	0.876385148	0.883304935	0.697289947	0.170833763	0.175610044
0.450331101	0.42690608	0.877252223	0.626576681	0.593029198	0.170511857
0.877491412	0.480693345	0.405578302	0.170573816	0.575382194	0.532893241
0.062487586	0.062482143	0.062432006	0.638237583	0.638358095	0.638573424
0.103243039	0.078836016	0.856219544	0.64333544	0.62358572	0.149674324
0.074674766	0.856328891	0.091384272	0.625650566	0.149799599	0.645901405
0.121141892	0.11257917	0.145428664	0.616387425	0.614181197	0.615478916
0.107263649	0.124082861	0.175589551	0.616699002	0.619944481	0.616763006
0.432717509	0.878026211	0.448513848	0.558352933	0.170522212	0.591124524
0.130303712	0.307675585	0.208734352	0.621228476	0.624144095	0.623911071
0.874057043	0.076029568	0.870632128	0.168371404	0.650532038	0.164808174
0.07035188	0.072004175	0.074811941	0.650128108	0.649611352	0.649603734
0.070375299	0.071536599	0.074192554	0.649853734	0.650215928	0.650647509
0.868045563	0.865453852	0.077513459	0.160465502	0.161683485	0.62342343
0.413312598	0.877415221	0.47607426	0.56658597	0.170548069	0.606531836
0.014578433	0.881168945	0.014372153	0.697137767	0.175192973	0.69768154
0.092856727	0.099660198	0.841640629	0.629307516	0.604395689	0.134978333
0.85589456	0.11676516	0.863451469	0.155472122	0.590303462	0.155374743
0.062440295	0.062482304	0.062392573	0.638239264	0.63838747	0.638553208
0.877301888	0.448099995	0.43580331	0.170583415	0.575626541	0.54273528
0.469396124	0.411160912	0.876449966	0.590552184	0.551652423	0.170313365
0.041263998	0.883033008	0.041895737	0.692782536	0.175727378	0.692540237
0.87289344	0.873478253	0.055333742	0.165103606	0.168400736	0.65469604
0.124289796	0.295376948	0.203778384	0.623081726	0.628362082	0.623339884
0.439171051	0.878372812	0.43917575	0.596358507	0.170785855	0.626533288
0.088566621	0.079655406	0.868915934	0.672488201	0.661379195	0.162609705
0.873024391	0.874674663	0.874450303	0.188507904	0.189001611	0.188758972
0.84582318	0.147480915	0.859283046	0.150281634	0.562777264	0.152413891
0.083357011	0.868889361	0.084882532	0.660245494	0.162675625	0.673060963
0.028445669	0.028339152	0.881597333	0.694839201	0.695173281	0.175225606
0.868823555	0.076495152	0.079382285	0.162527066	0.676437229	0.664347589
