Va	Vb	Vc	Ia	Ib	Ic
0.405689918	0.87732863	0.480836755	0.53268175	0.170521344	0.575043809
0.825558432	0.136644272	0.127244227	0.118794367	0.603595425	0.576030234
0.821868301	0.823711813	0.824412328	0.298273281	0.298747832	0.298369192
0.103198238	0.078880356	0.856351441	0.643753772	0.623392984	0.149650842
0.8558285	0.123099939	0.862984914	0.155710626	0.588421289	0.154961347
0.133800079	0.862143373	0.844267889	0.567658528	0.154736287	0.147832026
0.86599486	0.087693561	0.866714093	0.161599161	0.6193426	0.158978856
0.845455299	0.141757544	0.859899306	0.150079924	0.564511108	0.153856811
0.073556012	0.855509813	0.082419371	0.62762679	0.149282561	0.647675383
0.113651007	0.099951135	0.842066234	0.625836783	0.600879981	0.135184564
0.027346021	0.881724516	0.027626241	0.695125106	0.175285384	0.695097076
0.487175099	0.401201768	0.877462061	0.609331031	0.565965783	0.170502592
0.00000549	0.875583895	0.88514676	0.699491301	0.169850777	0.17554867
0.088084457	0.078203642	0.868891574	0.672589643	0.661565452	0.162595575
0.450216186	0.426792164	0.877022658	0.626351901	0.593210518	0.170269095
0.040855282	0.875937335	0.883465425	0.69303523	0.170413319	0.17541319
0.843637773	0.133782967	0.862077259	0.147633293	0.567811006	0.154605049
0.081755384	0.867826197	0.865743177	0.621409134	0.159859188	0.16141657
0.822714647	0.823104013	0.821440896	0.298258764	0.298565395	0.297533088
0.856750655	0.130438388	0.863168692	0.156670655	0.586486942	0.1545162
0.877391745	0.469797412	0.415564396	0.170600099	0.575503782	0.536173447
0.100423903	0.841720343	0.114076312	0.600314404	0.13503205	0.625558662
0.877355283	0.437069623	0.446353687	0.170599569	0.575718771	0.54607827
0.240551002	0.248439232	0.825527303	0.610051303	0.581577225	0.11840984
0.877749536	0.462170038	0.415606511	0.170729722	0.626343843	0.589628693
0.147427763	0.85896451	0.84473633	0.562795749	0.152487594	0.15033666
0.859502669	0.846468386	0.153998559	0.152204293	0.151370093	0.560958197
0.00000485	0.00000481	0.881971051	0.699239998	0.699431391	0.175360833
0.054275687	0.87602081	0.883413653	0.690527619	0.170850886	0.175240654
0.841163522	0.083320115	0.102217936	0.134843543	0.631194837	0.605947669
0.123108641	0.86368268	0.856934032	0.58834947	0.155597777	0.156768598
