Va	Vb	Vc	Ia	Ib	Ic
0.059989034	0.060037716	0.059976866	0.63993022	0.640165718	0.639785035
0.00000277	0.00000287	0.00000282	0.699145812	0.699392451	0.69863025
0.438590746	0.438586042	0.877202974	0.626519505	0.596334765	0.170388872
0.877365754	0.448092607	0.435841044	0.170628054	0.575771476	0.542882992
0.045487754	0.048221882	0.054005698	0.655607821	0.656529583	0.655514453
0.869106522	0.098253932	0.080483186	0.162712826	0.669895686	0.657333605
0.427227444	0.877898983	0.450656573	0.593081664	0.170812373	0.626530918
0.877290719	0.448047783	0.435840973	0.170628924	0.575694093	0.542833168
0.43970793	0.877596904	0.448803623	0.527463436	0.170733575	0.559857011
0.465854059	0.424246369	0.877283395	0.608770365	0.572063485	0.170566602
0.876011408	0.075978283	0.871384878	0.168857507	0.650475019	0.164432631
0.137207255	0.860340063	0.844606688	0.566432503	0.153842298	0.14862773
0.082926182	0.080232995	0.868870307	0.675938926	0.66385179	0.16259941
0.877322362	0.437059932	0.446329993	0.170586737	0.575723408	0.54607044
0.081404392	0.869291149	0.099098685	0.656479776	0.162641302	0.669224614
0.11374638	0.100273642	0.841993475	0.626004607	0.600559188	0.135031959
0.473482238	0.404100957	0.877471929	0.62583458	0.586032798	0.170536233
0.540524822	0.87735557	0.557250122	0.530837192	0.170571487	0.560327193
0.056078821	0.044875038	0.074930015	0.674533047	0.674677076	0.675552744
0.103061163	0.099151782	0.841773226	0.627759527	0.60267008	0.134960669
0.091309981	0.077177464	0.868859922	0.668119755	0.657205807	0.162608073
0.876270154	0.883909001	0.027326359	0.170592144	0.175763416	0.695201665
0.824940265	0.823041885	0.825046695	0.29855549	0.298585913	0.298174235
0.876087425	0.884490714	0.054281901	0.171302913	0.175772298	0.690619558
0.450299275	0.426866648	0.877180699	0.626373734	0.593230601	0.17027584
0.078917335	0.868965024	0.088504421	0.66354936	0.162638904	0.67252928
0.877331203	0.450988117	0.432051588	0.17047964	0.608722584	0.575251961
0.85765558	0.130477064	0.862937904	0.157120885	0.586558072	0.154993566
0.432549316	0.877205906	0.447879877	0.55812832	0.170575062	0.590816737
