Va	Vb	Vc	Ia	Ib	Ic
0.04047746	0.046478912	0.074368355	0.67775481	0.677120524	0.679453056
0.87789878	0.877167601	0.877992885	0.170953271	0.170689625	0.170974623
0.450299275	0.426866648	0.877180699	0.626373734	0.593230601	0.17027584
0.845248269	0.141829362	0.860439895	0.149734451	0.564492385	0.153495411
0.856024517	0.130483786	0.861688846	0.156585004	0.586472325	0.154384473
0.095425813	0.866981865	0.866635447	0.617399455	0.159121922	0.162499387
0.877250193	0.461926043	0.415350731	0.170507658	0.626101082	0.589866517
0.877362017	0.473586401	0.410176144	0.170543137	0.609097035	0.569259556
0.075998153	0.871412344	0.875180959	0.65044552	0.164326437	0.168772049
0.439038282	0.878107439	0.439043006	0.596310285	0.171215265	0.626726026
0.868690202	0.077389922	0.079842595	0.162579026	0.676207812	0.664300956
0.877339315	0.437070801	0.446335521	0.170589464	0.57573905	0.546081543
0.124884146	0.103216657	0.841694932	0.623337905	0.598444715	0.135162275
0.413488553	0.877231379	0.475546183	0.568567648	0.170613867	0.607558042
0.876148541	0.884108226	0.013706343	0.170682049	0.175827111	0.697330025
0.130409687	0.863783789	0.857386963	0.586295604	0.155104615	0.157405221
0.862227417	0.843149979	0.133714326	0.155021639	0.147740265	0.567705424
0.882686199	0.054278179	0.875482384	0.174765382	0.690559924	0.170814701
0.877298361	0.440333129	0.444048864	0.170516235	0.608045356	0.577725668
0.410330142	0.877674604	0.480878964	0.517468862	0.170565615	0.55945601
0.877365723	0.473945334	0.409942393	0.170534072	0.60932255	0.56943296
0.841804186	0.09268733	0.099678692	0.134799096	0.629622803	0.60435223
0.028129325	0.028242837	0.881698082	0.694734098	0.694750593	0.175406146
0.882700592	0.027829996	0.027528142	0.175398832	0.694919454	0.694842581
0.866557594	0.86560192	0.10430844	0.159229588	0.162481879	0.615014039
0.137204205	0.860280429	0.84464417	0.566437555	0.15389269	0.14867147
0.00000482	0.88118992	0.00000486	0.699051653	0.175082596	0.698922061
0.86382233	0.857220345	0.130319263	0.155229804	0.157092397	0.586598489
0.865728797	0.087709333	0.866802894	0.161862753	0.619340571	0.159304309
0.421894554	0.87686497	0.458585928	0.554828454	0.170515452	0.590681999
0.059445569	0.064496717	0.063486705	0.65206274	0.651347629	0.651317337
0.103120209	0.099160855	0.841568495	0.627699124	0.60246848	0.135013303
0.485036124	0.393180194	0.877964601	0.62521947	0.582603094	0.170637512
0.878441578	0.87711307	0.877545929	0.170829621	0.170681568	0.170806005
0.041198869	0.040995746	0.880945635	0.692590964	0.693138674	0.17499662
0.877271664	0.480657144	0.401614757	0.170592105	0.589994535	0.548317587
0.868892706	0.081278077	0.077772469	0.16261387	0.673207046	0.66165895
0.876651295	0.883345078	0.040860502	0.170789738	0.1758857	0.693142342
0.027324934	0.87638031	0.883590734	0.695202066	0.170893239	0.175665406
0.419776181	0.877544061	0.470278883	0.520889686	0.170653669	0.559684285
0.435359138	0.87730827	0.454816131	0.574122664	0.170545472	0.607880243
0.405819214	0.877364883	0.480575774	0.532787431	0.170569103	0.575166504
0.083049553	0.080370819	0.868854884	0.675966138	0.663686199	0.162604261
0.027455676	0.881627984	0.027668396	0.69544092	0.174974909	0.694328446
0.877131444	0.473316953	0.403925684	0.170691483	0.625822012	0.58618275
0.158665612	0.147166892	0.09610823	0.618253278	0.61584366	0.6153723
