Va	Vb	Vc	Ia	Ib	Ic
0.473470501	0.404089263	0.877448248	0.625801798	0.586127471	0.170677105
0.062437226	0.062469608	0.062355885	0.638269018	0.638433715	0.638517426
5.49326E-06	0.876391585	0.883039064	0.699203917	0.17037492	0.174955687
0.072783161	0.856207254	0.071204932	0.629719885	0.149491765	0.650164672
0.876731016	0.459371842	0.493821968	0.170783631	0.562071701	0.533250693
0.877631394	0.47355955	0.404183579	0.170641275	0.625927791	0.586034058
0.885963882	0.027327133	0.878409664	0.176098195	0.69525959	0.170805887
0.484767108	0.392898948	0.87741515	0.625353365	0.582503654	0.170541926
0.438705364	0.438700645	0.87743215	0.626585083	0.596361093	0.170538445
0.141704282	0.825186702	0.147307017	0.573780038	0.118777344	0.602012458
0.081453945	0.869286627	0.098906631	0.656475633	0.162640797	0.669229291
0.074696396	0.856320688	0.091618848	0.625954737	0.149540686	0.64563196
0.872538659	0.875956575	0.075941438	0.164784422	0.169225422	0.650520157
0.866991141	0.103980513	0.866359374	0.1628175	0.615233126	0.159071079
4.77477E-06	0.881388308	4.88226E-06	0.699343249	0.175295915	0.699151066
0.083509259	0.868587167	0.084833986	0.662672943	0.162557852	0.677082169
0.054594286	0.054227256	0.882022311	0.689930038	0.690643912	0.175523026
0.882167683	0.05445144	0.054285002	0.175274931	0.689872132	0.690252199
0.877179968	0.462077713	0.421023151	0.170602587	0.609070752	0.572467178
0.880887866	0.054560725	0.054135743	0.175652771	0.689916958	0.690593326
0.877520845	0.448813018	0.439626831	0.170719933	0.55981221	0.527702636
0.130416341	0.86355359	0.857470747	0.586287251	0.155116844	0.157421926
0.874717521	0.065242392	0.871812519	0.168542439	0.652753248	0.164752353
0.88568491	0.027327428	0.877826039	0.175802276	0.695225673	0.171138917
0.41983313	0.877741645	0.470411217	0.521105592	0.170777244	0.559691442
0.039797523	0.046648955	0.073730984	0.677201696	0.676650488	0.677509493
0.877929091	0.449011165	0.439838414	0.170852044	0.559850722	0.527574828
0.867023408	0.866212727	0.082022973	0.159819097	0.161635917	0.621234896
0.461737431	0.415172483	0.876882567	0.626252258	0.589673105	0.170508844
0.137217332	0.861693913	0.844024625	0.566256468	0.154254151	0.148820811
0.877199516	0.459487585	0.429348292	0.170448385	0.559803733	0.52442455
0.142664165	0.825901136	0.146373602	0.575995729	0.118882359	0.602852964
0.10213927	0.134483979	0.179888898	0.618202803	0.619859556	0.621510332
0.054252893	0.881595801	0.054652224	0.690467713	0.1753413	0.689989724
0.855741156	0.065090302	0.079023486	0.149084719	0.652625269	0.631320927
0.87760777	0.43879333	0.438788593	0.170857981	0.626589391	0.596438717
0.877339344	0.459067462	0.425525958	0.170583978	0.575635049	0.539615871
0.864775532	0.855533253	0.111432075	0.156202396	0.15538535	0.592240403
0.438936103	0.438931349	0.877893609	0.626646798	0.596369499	0.170684947
0.04121528	0.040959317	0.881230704	0.692461492	0.692979082	0.175260247
0.014487862	0.014182096	0.881588728	0.697539512	0.697563353	0.175144371
