Va	Vb	Vc	Ia	Ib	Ic
0.215247928	0.826644027	0.21323534	0.580070836	0.119050021	0.608218228
0.877266386	0.459484845	0.429417287	0.170407978	0.559799579	0.524422159
0.877388496	0.462713141	0.420669631	0.170663893	0.609512143	0.572976254
0.103046227	0.099101681	0.841768466	0.627731496	0.602622983	0.134994696
0.85517706	0.064259031	0.077857727	0.148817367	0.653235396	0.632695261
0.871799691	0.874802649	0.046242418	0.165012129	0.168415356	0.658050645
0.87726162	0.480783206	0.41000127	0.170414187	0.559364399	0.51767497
0.103058083	0.099149968	0.841522056	0.627696111	0.602611564	0.134975356
0.437481125	0.445403904	0.877327303	0.592348284	0.562141467	0.170463552
0.877425931	0.469789808	0.415621345	0.17059183	0.575609837	0.536309592
0.420311207	0.87860854	0.470795271	0.521036953	0.170823042	0.559690722
0.099300013	0.841937226	0.103131555	0.602304631	0.1348891	0.627716811
0.090940451	0.078122012	0.868858973	0.668186994	0.657155502	0.162621095
0.070685746	0.051518596	0.08289079	0.672898428	0.672447215	0.674345146
0.095565763	0.866704654	0.865613754	0.617355897	0.159460293	0.162237603
0.87737799	0.459088015	0.425530278	0.170576245	0.575655765	0.539637591
0.877928497	0.459754575	0.429817185	0.170464605	0.559698428	0.524571443
0.874225925	0.05542058	0.872334265	0.168720276	0.655075802	0.164840088
0.04197873	0.041051529	0.042521872	0.692800207	0.691725718	0.692364831
0.081148789	0.869234111	0.09341749	0.658313691	0.162550928	0.670575269
0.872404532	0.875226096	0.065200167	0.165508344	0.169053198	0.652826931
0.054609746	0.054262187	0.881329641	0.689915997	0.690606347	0.175085014
0.041108084	0.040955874	0.881773	0.692697947	0.692893452	0.175272398
0.860592747	0.845987596	0.147411549	0.153287134	0.150849671	0.562754041
0.436218197	0.877302025	0.454257762	0.576351498	0.170558921	0.60975473
0.103186867	0.098966561	0.841559378	0.627696731	0.6025817	0.134957447
0.054528862	0.054891875	0.054936456	0.690357897	0.690069978	0.690307821
0.841466419	0.102993344	0.099044514	0.134988872	0.627595648	0.602540726
0.882781726	5.50083E-06	0.876355449	0.175354049	0.699319122	0.17091332
0.856924879	0.130440005	0.862624287	0.156626659	0.586490681	0.15450065
0.058029913	0.045141232	0.076847932	0.675473963	0.674600933	0.67634228
0.014589091	0.881428275	0.014692181	0.697278251	0.175469526	0.69719861
