Va	Vb	Vc	Ia	Ib	Ic
0.437815366	0.444843709	0.877278914	0.592684884	0.56315158	0.170348394
0.436197611	0.877372746	0.454326837	0.576406544	0.17052395	0.609813297
0.140086876	0.131699695	0.825859806	0.606072043	0.577431188	0.119367524
0.443835173	0.446281072	0.87733591	0.608930288	0.578353822	0.170569369
0.447549222	0.432323197	0.876729715	0.590768084	0.558166657	0.170268785
0.083404669	0.102190922	0.841696049	0.631113342	0.605746539	0.134726369
0.864603549	0.854620289	0.107781716	0.156321496	0.154403624	0.593892671
0.872745402	0.874088431	0.047241094	0.164942908	0.16812128	0.656989181
0.0792069	0.868799833	0.088236203	0.662061175	0.162688331	0.674349521
0.068847117	0.071408047	0.855161102	0.649861443	0.62981468	0.148863957
0.841401703	0.083338253	0.102225974	0.134872586	0.631080804	0.605904814
0.133732212	0.862166626	0.843563196	0.567772616	0.155271765	0.148258921
0.075964961	0.872147639	0.874699042	0.650579956	0.16462576	0.168654283
0.455000589	0.435903929	0.877408046	0.611038697	0.57742077	0.170585814
0.866210353	0.081506736	0.86742012	0.161915932	0.621635722	0.159768666
0.065216688	0.871521354	0.874010217	0.652856817	0.164670202	0.168387122
4.83772E-06	0.882100287	4.83858E-06	0.69929347	0.175333588	0.69922263
0.091606438	0.074230183	0.856277495	0.645267567	0.625802038	0.149402221
0.47023789	0.419804047	0.877524835	0.55965011	0.520988289	0.170616359
0.126293667	0.294699694	0.201250949	0.621490259	0.623751964	0.623736786
0.415546825	0.877631831	0.462111948	0.589694725	0.170693058	0.626230432
0.877774704	0.484933612	0.39309379	0.170715893	0.625195108	0.582601303
0.825678925	0.277613959	0.286767636	0.118387986	0.613689014	0.583562668
0.863727844	0.857303792	0.130360998	0.15463149	0.156735013	0.586518642
0.040956575	0.881911349	0.041647578	0.692859248	0.175080313	0.69293213
0.028445594	0.028026456	0.880931778	0.695031655	0.695773523	0.175193789
0.875790651	0.884560328	0.013706573	0.17067891	0.175853299	0.697341478
0.090067506	0.076019697	0.86932612	0.670114143	0.660187939	0.162591802
0.103097273	0.099187714	0.841555229	0.627747632	0.602462893	0.135030621
0.877339587	0.459020657	0.425579357	0.170599257	0.575690295	0.539649485
0.877327813	0.448118553	0.435821741	0.170605923	0.575720749	0.54285221
0.088290323	0.080130867	0.868765442	0.672413441	0.660277643	0.162684275
0.8752018	0.047314354	0.871990397	0.168445794	0.656841937	0.164531839
0.099382194	0.08062776	0.869008741	0.667435304	0.656997064	0.16256136
0.411689029	0.877696072	0.470091917	0.551432652	0.170593241	0.590579311
0.420001088	0.878016548	0.470521079	0.520819734	0.170886333	0.559770225
0.099727149	0.081150997	0.869143688	0.668805668	0.656768885	0.162627855
0.843854477	0.137125257	0.861605592	0.148821695	0.566225764	0.154301411
0.08731453	0.077372622	0.868920508	0.672628372	0.661563342	0.162591553
0.056022436	0.04485815	0.074819745	0.674644856	0.674688313	0.675523845
0.758641852	0.758375783	0.76131654	0.384203971	0.383354042	0.383366657
0.877364351	0.469725386	0.415599535	0.170602642	0.575488015	0.536156071
0.082295508	0.869102402	0.099504703	0.65632489	0.162632053	0.66883567
0.153945827	0.859873488	0.846902658	0.560828023	0.152715533	0.151816878
0.863998802	0.855991425	0.116639307	0.155499682	0.155516922	0.59035089
0.041252841	0.041104488	0.041725594	0.693014465	0.692626878	0.693669406
0.055380762	0.871919792	0.87466337	0.65504641	0.16482763	0.168776144
0.88403475	0.054268615	0.876421347	0.175047614	0.690425033	0.170903994
0.862924299	0.856372887	0.130379865	0.154854538	0.156896883	0.586374712
0.881179717	4.87714E-06	4.86974E-06	0.17536502	0.699046845	0.699222554
0.844797798	0.137190788	0.862488946	0.148945705	0.566353705	0.154453362
0.072884166	0.855694122	0.082629421	0.627735226	0.149397082	0.647580827
0.883287677	0.054276398	0.87626137	0.175010561	0.690526506	0.170799766
0.874217221	0.047193408	0.872362784	0.168475194	0.656911892	0.164825344
0.083393524	0.102153296	0.841534443	0.63083285	0.605789203	0.134736185
0.080039386	0.869006971	0.092857142	0.658265626	0.162640817	0.670070878
0.881377122	4.89532E-06	4.76866E-06	0.175350718	0.699104801	0.699132721
0.444612049	0.877371184	0.438540631	0.561813373	0.17040663	0.59128154
0.01445604	0.88098954	0.014564422	0.69739419	0.175365481	0.696577499
0.045408542	0.048101948	0.053539753	0.655582982	0.656541055	0.655201001
0.825542905	0.136473971	0.126954056	0.11882889	0.603593975	0.576051173
0.234334027	0.237149698	0.825984541	0.60893766	0.581202216	0.119114373
0.877440533	0.459067498	0.425628387	0.170606184	0.575726234	0.539680814
0.75848356	0.758327066	0.758202464	0.383973028	0.384063987	0.383688272
0.070226555	0.065144569	0.084942798	0.670318678	0.67073474	0.671935742
0.04086221	0.876539119	0.883300667	0.693173581	0.170545339	0.175836605
0.854540085	0.116702966	0.862405444	0.155373043	0.590372071	0.155530782
0.881213409	4.84488E-06	4.82105E-06	0.175399318	0.699118074	0.699580679
0.087533136	0.079005805	0.868733606	0.672874773	0.661832311	0.162742759
0.86687034	0.09532763	0.86713638	0.16253528	0.617713462	0.159389594
0.877486159	0.480614667	0.405701493	0.170556646	0.575135445	0.532787955
0.884048926	0.027325289	0.875121367	0.175632297	0.695219622	0.170325801
0.126163431	0.110349586	0.152161319	0.615557718	0.612769534	0.614564957
0.05427625	0.881303994	0.054631297	0.690574416	0.175471794	0.689891862
0.877901855	0.437498491	0.444467647	0.170922807	0.59241603	0.562805548
0.868830073	0.076019835	0.080267945	0.16257459	0.676221199	0.664496298
0.059525277	0.063911747	0.062971739	0.651870095	0.652009388	0.652289097
0.041197865	0.040909588	0.882010393	0.692701528	0.692937139	0.175300833
0.027322546	0.876053211	0.883608767	0.695134308	0.170797998	0.17547217
0.877444958	0.450734944	0.432331684	0.170566654	0.60968042	0.576291622
2.79521E-06	2.89855E-06	2.79372E-06	0.699218179	0.698911101	0.699119248
0.103409113	0.841562733	0.125141217	0.598313542	0.1351699	0.623486275
0.873113235	0.055380155	0.870682642	0.168369114	0.654931277	0.164305103
0.095685738	0.866878675	0.866408591	0.617421935	0.159472668	0.162635132
0.437682493	0.445244682	0.877674364	0.592962838	0.563391526	0.170526869
0.872121325	0.874648981	0.075935077	0.164546414	0.168444499	0.650424427
