Va	Vb	Vc	Ia	Ib	Ic
0.301317437	0.825710981	0.290030952	0.585147983	0.118896522	0.614976022
0.872777601	0.875268142	0.055337216	0.165643925	0.16874192	0.654743157
0.877588788	0.876467938	0.87704163	0.170659295	0.170397468	0.17064206
0.869099078	0.097730157	0.080935028	0.162748966	0.666882126	0.653977974
0.860550607	0.84438106	0.137280214	0.153868841	0.148613245	0.566207772
0.092688275	0.099619477	0.841389871	0.629574021	0.604388774	0.134829738
0.864169504	0.857048641	0.13035453	0.155160675	0.156937501	0.586542765
0.146515947	0.131911111	0.825749716	0.601829122	0.57280627	0.119431737
0.11143836	0.864161143	0.855621088	0.592140636	0.155835524	0.155063796
0.099736218	0.841628502	0.092682053	0.604566882	0.134785906	0.629818722
0.87207936	0.874190591	0.047899899	0.165191361	0.168309446	0.658773192
0.848230199	0.846599264	0.847701438	0.25820242	0.257354257	0.257106963
0.87731525	0.45907765	0.425495259	0.170584908	0.575637841	0.539620943
0.430079043	0.878449908	0.46000671	0.524431215	0.170877085	0.559773348
0.392920864	0.877426924	0.48475856	0.582440119	0.170484022	0.625286503
0.05532522	0.87286203	0.874076984	0.65474662	0.164888929	0.16849878
0.1041833	0.867143572	0.867228952	0.61545668	0.159259345	0.162993457
0.455054022	0.435891576	0.877383154	0.610905071	0.577422475	0.170592202
0.246806442	0.24581337	0.825726914	0.608594184	0.58168715	0.119080069
0.877517561	0.459560416	0.429595319	0.170411046	0.559745694	0.52438792
0.413389077	0.877421078	0.475888126	0.566263002	0.170607242	0.606155491
0.270807542	0.825662344	0.274094654	0.584685948	0.118610935	0.613133991
0.02756401	0.027684806	0.0280981	0.69499021	0.695062362	0.695723581
0.086839233	0.868947204	0.083901528	0.664998101	0.162439257	0.677111793
0.079046396	0.082021465	0.868976143	0.678810715	0.666003579	0.162482681
0.132070297	0.825765893	0.148808414	0.575289833	0.118962748	0.60372604
0.103256662	0.078826383	0.856586943	0.643871188	0.62338813	0.149602485
0.477268613	0.41221968	0.877498645	0.609434243	0.569048993	0.170558315
0.088331766	0.080074599	0.868759423	0.672305639	0.660615498	0.162682174
0.82628985	0.191230333	0.187718217	0.118957393	0.611847848	0.581666176
0.46953389	0.411097406	0.876525123	0.590724082	0.551496497	0.170311107
0.404426744	0.878129332	0.473814029	0.586291954	0.170717683	0.625772155
0.88204389	4.82623E-06	4.88198E-06	0.175457199	0.699318973	0.699199204
0.070518665	0.05138423	0.082678748	0.673521893	0.672716586	0.674861732
0.855724974	0.123093912	0.864004926	0.156199004	0.588319536	0.155365061
0.866753001	0.86633762	0.095332264	0.159219777	0.162427394	0.617206059
0.855784235	0.123099486	0.863457031	0.155831818	0.588346339	0.155035538
0.877033912	0.469939419	0.412109593	0.170392708	0.590662687	0.551595645
0.881179492	4.87572E-06	4.91512E-06	0.175369441	0.699103563	0.699296629
0.46976913	0.411469667	0.877164743	0.590483963	0.552148917	0.170015868
0.081850154	0.867286827	0.866518409	0.621122156	0.159643749	0.161762471
0.869088296	0.090279937	0.076285517	0.162677575	0.671660039	0.659682855
0.863858371	0.856346265	0.123155121	0.15566524	0.156443521	0.588418198
0.047139151	0.871550912	0.874521552	0.656934928	0.164383004	0.168075401
0.87731219	0.470441459	0.411806459	0.17040661	0.590697934	0.551655217
0.841830542	0.113804043	0.100414929	0.135173854	0.626202294	0.600850568
0.459676918	0.429644635	0.877683193	0.559796631	0.524429563	0.17075261
0.854485906	0.107569841	0.865012861	0.154564476	0.59378824	0.156608658
0.85399331	0.107531078	0.865039255	0.154873811	0.593905183	0.156990953
0.04160134	0.04101191	0.041712491	0.693131705	0.692230756	0.692992126
0.841314406	0.103026231	0.098980653	0.134987664	0.627677485	0.602752092
0.87726162	0.480783206	0.41000127	0.170414187	0.559364399	0.51767497
0.44778889	0.43251204	0.877158139	0.591121286	0.558101505	0.170473382
0.439034912	0.878100576	0.43903963	0.596278473	0.17123506	0.626723896
0.877348737	0.437075327	0.446340092	0.17059138	0.575744513	0.546086999
0.867236029	0.865691538	0.081839916	0.159794863	0.161534422	0.620942187
0.473695833	0.40432214	0.877905315	0.625930863	0.586164259	0.170680032
0.87283355	0.875937959	0.075936167	0.164786463	0.169491912	0.650565919
0.825892749	0.191970437	0.189473778	0.118879553	0.609181324	0.57863682
0.881891931	0.054606847	0.054222763	0.175839781	0.690098748	0.690295626
0.841296046	0.083372083	0.102194351	0.134763089	0.631371289	0.606122381
0.862929364	0.843150876	0.133735627	0.155355065	0.148271862	0.567749348
0.855528985	0.116688255	0.863116858	0.155372248	0.590437192	0.155267852
0.426781087	0.877000524	0.450205118	0.593164872	0.170523295	0.626401933
0.435888567	0.877343543	0.448065384	0.542869145	0.170623813	0.57587798
0.393028374	0.877657305	0.48488073	0.582513514	0.170577288	0.625320492
0.444843497	0.877447408	0.438578844	0.563019743	0.170600795	0.592698725
0.825944238	0.187923737	0.191479228	0.11846632	0.612971069	0.580891377
0.027451249	0.881991923	0.027719877	0.695252392	0.175357115	0.694854838
5.49174E-06	0.875429758	0.885001049	0.699351765	0.17044648	0.175892426
5.4925E-06	0.877157657	0.88411204	0.699323707	0.170598785	0.17611116
0.475498048	0.413756877	0.877318028	0.609117701	0.569818773	0.170617917
