Va	Vb	Vc	Ia	Ib	Ic
0.276484018	0.279323759	0.826068507	0.610929797	0.583040905	0.119046536
0.427298345	0.878040328	0.450727104	0.593081408	0.170625568	0.626410316
0.868941311	0.090475111	0.076600095	0.162708794	0.671518859	0.65927392
0.87629155	0.883896571	0.027326342	0.170590293	0.175765698	0.695201046
0.01370921	0.876309531	0.88308881	0.697464826	0.171018061	0.175238985
0.863918281	0.85667609	0.123144012	0.155783357	0.156576656	0.588480384
0.080363644	0.856171882	0.105076125	0.623690902	0.149580653	0.643028584
0.102206129	0.841691721	0.08346581	0.606033305	0.13477172	0.630873086
0.079595385	0.869044493	0.088431278	0.65980912	0.162611713	0.670633579
0.877245869	0.459072161	0.422063563	0.170462389	0.590473219	0.554686663
0.444896513	0.877269576	0.437934636	0.562778689	0.170463611	0.592513757
0.45052215	0.427091392	0.877628374	0.626573172	0.593083701	0.170645769
0.505032063	0.504904923	0.877687814	0.561283368	0.533237493	0.170841659
0.455044231	0.43587842	0.877394081	0.611013838	0.577443124	0.170591149
0.866858306	0.865998054	0.088324023	0.159362389	0.161883752	0.619732845
0.877812242	0.473651567	0.404272485	0.170566306	0.625949997	0.586036757
0.079565799	0.071492814	0.85502817	0.647928316	0.627709409	0.148940823
0.868947946	0.089124428	0.075900492	0.162664295	0.672167902	0.659751051
0.040861783	0.87577616	0.883499487	0.693144691	0.170617203	0.175525569
0.107742923	0.864733782	0.855239542	0.593750967	0.156946833	0.154765937
0.069986421	0.071985887	0.073910248	0.649617837	0.649566229	0.649461595
0.298598637	0.82565681	0.292076454	0.590494939	0.118840294	0.618948674
0.411477637	0.877183867	0.469786684	0.551618534	0.170278076	0.590533904
0.104200019	0.866838488	0.866625698	0.615111489	0.159168584	0.162879756
0.877649314	0.470327652	0.419834982	0.170677767	0.559581146	0.52092374
0.091656508	0.074404764	0.855755299	0.645716259	0.625415968	0.149583135
0.106393161	0.125999179	0.176779757	0.616266089	0.619170432	0.616779768
0.073392202	0.855283829	0.071821771	0.629119293	0.148853576	0.649155485
0.10420108	0.866844692	0.867017619	0.615376712	0.159285006	0.162939989
0.054260259	0.881605125	0.054649316	0.690506169	0.1753428	0.68997784
0.095555241	0.866889958	0.866455011	0.617338421	0.159297413	0.16249594
0.881467502	0.027952021	0.027615521	0.175379699	0.694806026	0.69541201
0.877337983	0.878479106	0.878128924	0.170690497	0.170815926	0.170918429
0.872078907	0.874091063	0.047770445	0.165116876	0.168144303	0.65866818
0.153946571	0.85978458	0.846936151	0.560827732	0.152707762	0.151808115
0.045454289	0.04795882	0.053179763	0.655694434	0.656387157	0.656729228
0.213168166	0.825993036	0.214513415	0.581286457	0.119375501	0.608881013
0.866845895	0.104006937	0.866650372	0.162603525	0.61515175	0.159114549
0.867455313	0.866517998	0.095462035	0.159495979	0.162632713	0.617428304
0.415596999	0.87723442	0.469803969	0.536025769	0.170511227	0.575293072
0.876354336	0.883578813	0.040857249	0.170875096	0.175949066	0.69308479
0.881510537	0.041159047	0.040854136	0.175365173	0.692898722	0.692803172
0.392934106	0.877466135	0.48478314	0.582442833	0.170525315	0.625278382
0.103946517	0.123370616	0.168527431	0.616166669	0.620619288	0.617254816
0.141799512	0.860992512	0.84430945	0.564489977	0.153252335	0.149279078
0.84658137	0.141776872	0.862453211	0.149981846	0.564593715	0.153989678
0.40279461	0.877365614	0.485792683	0.564888647	0.170493947	0.607599286
0.055340876	0.873051263	0.87410091	0.654698605	0.165223894	0.168783242
0.404360716	0.877998827	0.473748617	0.586166892	0.170879929	0.625886465
0.855198365	0.064345831	0.077977837	0.148887529	0.653364949	0.632376038
0.039618705	0.046709908	0.073576274	0.676584141	0.677037744	0.677105291
4.81961E-06	0.881564383	4.87857E-06	0.699343829	0.175330295	0.699195893
0.881801244	0.054574203	0.054222259	0.175844543	0.690110353	0.690276099
0.04558344	0.048639208	0.051408759	0.657311156	0.658217906	0.659030649
0.07095481	0.051707182	0.083219434	0.673476386	0.672549689	0.674772571
0.868984486	0.090066608	0.076047956	0.162678477	0.672111577	0.659810324
0.393071346	0.877741894	0.484923084	0.582669844	0.170839419	0.625246825
0.826083389	0.221161989	0.237038753	0.118840729	0.61080894	0.582503157
0.129094696	0.107104453	0.144803883	0.615084754	0.612947198	0.614440999
0.07885014	0.868936761	0.088243358	0.660319924	0.162619559	0.670631454
0.411451032	0.877122402	0.469762222	0.551556451	0.170338234	0.590475732
0.877266386	0.459484845	0.429417287	0.170407978	0.559799579	0.524422159
0.127929445	0.108762601	0.151142393	0.615445781	0.613042774	0.614439104
0.111439912	0.864165059	0.855655078	0.592117329	0.155840269	0.155071876
0.040857396	0.875734968	0.883533514	0.693071311	0.170447737	0.175430804
0.429683384	0.877802727	0.459759528	0.524446914	0.170547801	0.559705816
0.459632042	0.429658531	0.8776511	0.559857826	0.524434402	0.170731021
0.877386705	0.469785014	0.415581056	0.170563666	0.575386312	0.536112958
0.100486601	0.841889721	0.113964902	0.601049739	0.135123188	0.625943109
0.863764698	0.856619821	0.123136164	0.155783318	0.156585914	0.588478533
0.289510146	0.825848549	0.284189267	0.582405028	0.118933833	0.612466837
0.864449364	0.856327179	0.123140891	0.155225391	0.156053892	0.588587589
0.86575133	0.077165441	0.867992729	0.161593032	0.62326785	0.160316795
