Va	Vb	Vc	Ia	Ib	Ic
0.233781185	0.244474911	0.826009448	0.607922327	0.58102463	0.119090769
0.448134758	0.435907025	0.877402616	0.575755369	0.542810956	0.170569347
0.864870805	0.8553484	0.111455369	0.156212636	0.1551629	0.591942503
0.86499555	0.077055549	0.867139605	0.161079238	0.622881847	0.159911816
0.848775101	0.84666888	0.847764215	0.257454701	0.257042031	0.257040431
4.84889E-06	4.79073E-06	0.882059277	0.699236591	0.699543621	0.175341372
0.435861471	0.877363756	0.454468349	0.576305624	0.170564467	0.609717515
0.863836492	0.856053846	0.116638686	0.155499142	0.155522947	0.590355095
0.068693805	0.071356991	0.855603047	0.650074534	0.629256259	0.149192599
0.877686217	0.470317571	0.419885246	0.170739501	0.559639573	0.520957204
0.25664904	0.263381095	0.825741727	0.61305706	0.58341242	0.118626151
0.447820954	0.432529189	0.877209732	0.590783043	0.558449488	0.170227114
0.107835671	0.864168437	0.854177904	0.593783647	0.156557921	0.154508291
0.425633543	0.877333955	0.459101731	0.539432399	0.170542776	0.57547682
0.329098916	0.825964577	0.319329364	0.586643786	0.118666306	0.613164236
0.079780493	0.869029944	0.092684894	0.65838518	0.162579527	0.670069762
0.279281806	0.283663957	0.82577444	0.615066635	0.584647657	0.118732871
0.868789938	0.081548463	0.078647133	0.162613905	0.673821506	0.661951479
0.104119795	0.866968761	0.867189733	0.615641921	0.159331253	0.162860487
0.129094696	0.107104453	0.144803883	0.615084754	0.612947198	0.614440999
0.448470403	0.439533945	0.877083442	0.5597895	0.527513648	0.170637131
0.470086883	0.411772047	0.877786271	0.590564266	0.551395021	0.1706208
0.080271053	0.855881246	0.104859256	0.62337222	0.149525238	0.642775292
0.102202345	0.841388464	0.083414537	0.605874504	0.134745945	0.631417864
0.14745069	0.860292387	0.845919546	0.562692799	0.153126735	0.150829197
0.826601195	0.263066958	0.284334552	0.11873324	0.611526435	0.584125909
0.438869842	0.877770725	0.438874566	0.596462775	0.17056435	0.626586893
0.435860778	0.877272107	0.44802896	0.542853094	0.170594761	0.575820078
0.410250256	0.87757877	0.480856162	0.517505182	0.170445542	0.559448232
0.0901272	0.075712231	0.869101526	0.66910922	0.659573739	0.162591572
0.862309618	0.842639708	0.133733353	0.154721437	0.147467402	0.5676972
0.090647287	0.07603056	0.869026505	0.668926889	0.659469653	0.162593689
0.864079186	0.855893329	0.116631544	0.155637337	0.155641654	0.590330918
0.875921514	0.075973233	0.871391457	0.168875775	0.650453701	0.164460672
0.06883865	0.071362969	0.855293322	0.650018577	0.629800492	0.148841861
0.219124788	0.23283733	0.82694423	0.606037916	0.575576674	0.118980941
0.2146287	0.224880216	0.826162078	0.608884557	0.583115134	0.119187475
0.073209282	0.8559635	0.07167411	0.629511337	0.149656064	0.64940712
0.859721113	0.846651066	0.15397371	0.152349132	0.151452798	0.560940447
0.087089845	0.079137787	0.868695705	0.67237329	0.660134859	0.162654213
0.881479534	0.02787077	0.027630422	0.175378728	0.694803769	0.695400963
0.173367053	0.157993795	0.0946913	0.616189425	0.615717438	0.61589141
0.450044956	0.42662207	0.876681334	0.626343738	0.5931587	0.170325966
0.874788226	0.076023644	0.871834274	0.168584096	0.650501751	0.164569189
0.143091341	0.826099322	0.148969255	0.576203073	0.119266677	0.605659118
0.877332691	0.451007528	0.432027359	0.17048477	0.608746358	0.57526011
0.883769576	5.50007E-06	0.875511019	0.175667439	0.699407031	0.170724654
0.873828581	0.065235498	0.870484695	0.167955959	0.652670712	0.164489549
0.414139832	0.877376085	0.475217249	0.567330346	0.170617717	0.606396161
0.081694245	0.855907865	0.068772981	0.633510474	0.148996816	0.65433207
4.77913E-06	0.881062758	4.88141E-06	0.699145636	0.175051599	0.698947731
5.4925E-06	0.876930473	0.884105966	0.699308019	0.170549455	0.176018333
0.826645127	0.14932786	0.131014577	0.119127433	0.6048448	0.575550796
0.855427007	0.064196367	0.077927041	0.148766295	0.653567884	0.632462947
0.844582638	0.137185867	0.861723839	0.14907764	0.56630478	0.154519353
0.875437834	0.065222612	0.871380898	0.168751715	0.652824437	0.164429353
0.077035653	0.866772901	0.864806037	0.623177361	0.159969778	0.161293421
0.107683066	0.864777435	0.854398958	0.593897787	0.156876581	0.154430536
4.85261E-06	4.88823E-06	0.881467937	0.699431532	0.699121591	0.175016119
0.070598721	0.071317256	0.074323666	0.650057095	0.650050231	0.65067373
0.079578679	0.071553961	0.855622689	0.647854856	0.627810616	0.148943024
0.497008506	0.512421713	0.877472373	0.559547744	0.531390942	0.170609447
0.826517363	0.228168276	0.221151143	0.118753487	0.610335034	0.582857399
0.450493117	0.427066147	0.877573833	0.626555112	0.593096409	0.170564958
0.074636751	0.856106059	0.091415483	0.625516485	0.149745628	0.645949882
0.042119637	0.040971511	0.042239467	0.693143882	0.691975747	0.692204966
0.419780802	0.877610813	0.470337078	0.521088311	0.170822552	0.559706405
0.041599818	0.041085156	0.042108511	0.693187878	0.692006571	0.693026855
0.073314398	0.855293192	0.071761889	0.62934743	0.149419373	0.649553264
0.841356063	0.083349087	0.10223325	0.134845556	0.631129731	0.605923476
