Va	Vb	Vc	Ia	Ib	Ic
0.040102241	0.046247385	0.073646603	0.677695566	0.676771356	0.67865419
0.865833837	0.081525317	0.867487274	0.161392477	0.621175459	0.159639255
0.883197258	0.054268253	0.876104851	0.175024441	0.690420806	0.170831792
0.878139723	0.462365094	0.415801577	0.170730872	0.6263399	0.589644861
0.874568006	0.065240485	0.871407905	0.168533164	0.652757876	0.164754547
0.882687539	0.013706784	0.876351668	0.175086689	0.697345929	0.170634618
0.884101376	0.027325103	0.87499586	0.175681117	0.695213441	0.170330167
0.10127232	0.129062613	0.170562951	0.617156734	0.622122935	0.620715322
0.476465752	0.413295535	0.877408381	0.610481881	0.570396481	0.170558054
0.855637707	0.123098446	0.862607797	0.155654069	0.588373698	0.154926512
0.869053289	0.090429902	0.076166466	0.162669929	0.672129959	0.659822815
0.866924976	0.866057531	0.088338222	0.159391343	0.161929292	0.619682734
0.111439533	0.864164317	0.855648513	0.592122498	0.155839216	0.155070085
0.825486354	0.134979677	0.126334272	0.119126904	0.603786891	0.57667215
0.10315023	0.099056848	0.841558288	0.627688578	0.602580182	0.134955754
0.027698135	0.02753815	0.027860031	0.695406208	0.695439304	0.695166606
0.087944614	0.867682582	0.866054154	0.619377993	0.159681524	0.161986453
0.872251209	0.874170676	0.055346181	0.164833062	0.168097884	0.654717825
0.470204851	0.4196159	0.87731022	0.559652245	0.520991396	0.17060219
0.466089165	0.424466309	0.877325978	0.608525113	0.571947967	0.170558504
0.874731968	0.065226742	0.871203411	0.168678213	0.652763205	0.164262879
0.87746518	0.473480492	0.404095688	0.170638214	0.625928017	0.586031046
0.079231968	0.869043472	0.092633547	0.658425777	0.162589086	0.669996964
0.856494009	0.123072579	0.864154738	0.156474875	0.588480062	0.155773982
0.437102335	0.446353082	0.877389897	0.575775717	0.546042525	0.170621437
0.499139139	0.518740248	0.877554138	0.559560386	0.530575947	0.17067793
0.845106631	0.147473944	0.859270602	0.150142213	0.562609641	0.152416756
0.825795926	0.253325026	0.254345426	0.118966586	0.612573598	0.583807561
0.871807483	0.874774689	0.065179702	0.164810923	0.168593283	0.652833641
0.876318066	0.882880731	5.49578E-06	0.170800334	0.175387089	0.699260878
0.08335687	0.102165986	0.841519926	0.631012961	0.606225161	0.134849475
0.013708395	0.876640726	0.883658732	0.697370653	0.171091632	0.175301843
0.141860273	0.860845753	0.844352043	0.56448902	0.15363636	0.149605636
0.877499795	0.462043806	0.415483311	0.170497426	0.62608768	0.589817575
0.84342858	0.137197944	0.860890015	0.148473009	0.56625023	0.154204542
0.392913298	0.877446629	0.484783956	0.582672168	0.170788628	0.62524525
0.070188559	0.065653956	0.085528058	0.670326624	0.670824958	0.672056008
0.825503175	0.26542526	0.277348517	0.118784981	0.609985386	0.584235037
0.877034365	0.469967554	0.411894269	0.170124125	0.591459458	0.552733624
0.864118576	0.854693843	0.107729128	0.156362874	0.154167275	0.593924234
0.07488919	0.074887393	0.075041548	0.634076391	0.634345	0.634575446
0.10399617	0.866952453	0.866814821	0.615620204	0.159438258	0.162908385
0.41558268	0.877241689	0.469826462	0.535946602	0.170512141	0.575167831
0.107676717	0.864447116	0.855200466	0.593818089	0.157027256	0.154945842
0.062434642	0.062493015	0.06241186	0.638262537	0.638296883	0.638594516
0.491234185	0.522484172	0.877769195	0.558382023	0.529874843	0.170962492
0.877422971	0.46991459	0.415469394	0.170593128	0.575614693	0.536337384
0.082212081	0.302299948	0.285669474	0.620132513	0.620466805	0.617768875
0.081394202	0.869088746	0.099519156	0.656366355	0.162654944	0.668838069
