Va	Vb	Vc	Ia	Ib	Ic
0.449152934	0.440047455	0.878281137	0.559786052	0.527744281	0.170654027
0.882682952	0.040848192	0.875820343	0.174546525	0.692866547	0.170559025
0.855267657	0.079649412	0.071859889	0.148903298	0.647857367	0.628001056
0.868601186	0.865954395	0.077282571	0.160043369	0.161265653	0.623259364
0.877401217	0.459545523	0.429502918	0.170399573	0.559736341	0.524402255
0.143090008	0.82609926	0.148968803	0.576203592	0.119266616	0.60565886
0.871529052	0.875768661	0.065176624	0.165088743	0.169426744	0.652781144
0.047145369	0.871748667	0.874218723	0.656883965	0.164682031	0.168269099
0.866688778	0.866395515	0.095508328	0.159222341	0.162316926	0.617240794
0.867578637	0.865796122	0.08192082	0.159841209	0.161547273	0.62103531
0.856539412	0.111466804	0.86557697	0.155497007	0.592158917	0.156743758
0.877676026	0.459678017	0.429633027	0.170630509	0.559633322	0.524557692
0.081391784	0.855390041	0.066587405	0.631447037	0.149085292	0.652014645
0.082469777	0.868946464	0.083652772	0.663743483	0.162525692	0.677057708
0.045444523	0.048094937	0.05344639	0.6558472	0.656062132	0.656043396
0.825610494	0.149065163	0.133598976	0.119006862	0.604691306	0.575390465
0.861573236	0.84376699	0.137215293	0.154515342	0.148863104	0.566188929
0.103085489	0.078834276	0.856059496	0.643240735	0.623635166	0.149686533
0.411610397	0.877529135	0.469990315	0.551576338	0.170522872	0.590518528
0.122076377	0.298549867	0.209864928	0.621569102	0.623674787	0.622631594
0.480833082	0.410041137	0.877352507	0.559263302	0.517668042	0.170415249
0.439127787	0.439123014	0.878277016	0.62663795	0.596396346	0.170680859
0.866432465	0.865352948	0.088258649	0.159193491	0.161970763	0.61947466
0.868939962	0.090134256	0.07550718	0.162667882	0.671466461	0.659248601
0.459594374	0.429639654	0.877593976	0.559693238	0.524360294	0.170636639
0.875336134	0.883724846	0.054273403	0.170872963	0.175701793	0.690474175
0.092771941	0.099607708	0.841618202	0.629475466	0.6044551	0.134933113
0.132557734	0.825721137	0.148649538	0.575284372	0.118948329	0.603791017
0.87168052	0.875417695	0.055330812	0.165145425	0.168756056	0.654858225
