Va	Vb	Vc	Ia	Ib	Ic
0.082784779	0.868895339	0.084043878	0.663215605	0.162486916	0.677223838
0.329991883	0.825965914	0.317611803	0.583878031	0.118756384	0.612580183
0.446320779	0.877329676	0.43707405	0.546075391	0.170537777	0.575749203
0.07871867	0.868797276	0.087895853	0.663372425	0.16267015	0.674647952
0.877376585	0.448091388	0.435858022	0.170624937	0.575749564	0.54288711
0.877485137	0.480620407	0.405655251	0.170569922	0.575396169	0.532902851
0.872401461	0.875152809	0.075939334	0.165177259	0.168969024	0.650402943
0.861378892	0.843245812	0.137255938	0.154677341	0.148977425	0.566083138
0.434802407	0.877461953	0.455013498	0.575282183	0.170563959	0.608608961
0.861002351	0.843699413	0.14172491	0.153464206	0.149531734	0.564540754
0.841736239	0.103031317	0.099040188	0.134993763	0.627681585	0.602614766
0.070820935	0.051652433	0.08342717	0.67341913	0.672519123	0.674338396
0.067658084	0.067586072	0.0678647	0.636313851	0.636300838	0.636649462
0.48669926	0.401642019	0.877468209	0.607853213	0.56460239	0.170532632
0.054459153	0.054991137	0.054961013	0.690184593	0.690187218	0.69030908
0.054295478	0.881319275	0.054630993	0.691018562	0.175461316	0.690001589
0.040202414	0.0464485	0.07399796	0.677728982	0.676838818	0.678877626
0.443313319	0.447205386	0.877349952	0.608029101	0.577451763	0.17059119
0.045507223	0.048001933	0.053388859	0.655846294	0.656056146	0.656175365
0.877699784	0.480940278	0.401721107	0.170941722	0.59032499	0.547972795
0.845348059	0.133723791	0.86452879	0.148741877	0.567801803	0.155621136
0.141754184	0.860691501	0.844767237	0.564489422	0.15349815	0.149684845
0.124690125	0.103229152	0.841841264	0.624038767	0.598659868	0.135246829
0.860003373	0.845978482	0.147449318	0.153070517	0.150705386	0.562535024
0.04535589	0.048285938	0.053493259	0.656073955	0.656070248	0.656087159
0.131832405	0.826030743	0.149807779	0.575853057	0.118988995	0.604167709
0.883791369	0.013705659	0.87607651	0.175058499	0.697305216	0.17055037
0.868862839	0.081581597	0.078115094	0.16261271	0.673402169	0.661726169
0.07039464	0.065210162	0.085101834	0.669940353	0.670774461	0.671881687
0.04512805	0.048407586	0.051472455	0.657303094	0.658106191	0.658807412
0.87741759	0.462006375	0.415438147	0.170711957	0.626343477	0.589662524
0.470385132	0.419826178	0.877701503	0.559714762	0.521038184	0.17080418
0.088243639	0.867127547	0.865943413	0.619294068	0.159572076	0.162130148
0.857681779	0.130474935	0.862894225	0.157171127	0.586561082	0.155038187
0.87743781	0.450423951	0.426999421	0.170490039	0.626367099	0.593212744
0.290607155	0.826169491	0.298155376	0.58516153	0.118900308	0.613735457
0.484782936	0.392942121	0.877470862	0.625394011	0.582507925	0.170584073
0.877626157	0.448791046	0.439750267	0.170719899	0.559966604	0.527629204
0.877253441	0.884634764	0.013706855	0.1710703	0.175742878	0.697357484
0.041453685	0.041065298	0.041762158	0.693096247	0.692805062	0.693729759
0.075988163	0.870963181	0.873863608	0.650511627	0.164505505	0.168720545
0.476219197	0.41295883	0.877344805	0.610625971	0.570862844	0.170534747
0.070534306	0.065268658	0.085085525	0.669965016	0.670723543	0.671896879
0.092866386	0.099667685	0.841585155	0.629300744	0.604380514	0.134985126
0.08172502	0.867478571	0.86630129	0.621284977	0.15970495	0.161713316
0.123509932	0.295863046	0.205166462	0.622984262	0.628302424	0.623353013
0.419841351	0.877642369	0.470309657	0.520887712	0.170834993	0.559777711
0.152065707	0.139846227	0.096829027	0.618723795	0.617250225	0.615499712
0.100628174	0.84187551	0.113927112	0.601060039	0.135129734	0.625918539
0.124629692	0.103255699	0.84193769	0.623895925	0.598660083	0.135243083
0.051879911	0.053595466	0.058201557	0.653973092	0.654132285	0.654155655
0.87134205	0.875960983	0.075948068	0.16479923	0.169446489	0.650451945
0.081057719	0.855512516	0.066671474	0.63065814	0.148835334	0.652226874
0.845448837	0.147473147	0.859065868	0.150277296	0.562781997	0.152403178
0.480870785	0.410281726	0.877626728	0.559402987	0.517536704	0.170670706
0.854935152	0.068607891	0.072069139	0.149138587	0.649946722	0.629225306
0.449984583	0.426562009	0.876561236	0.626463672	0.593115453	0.170444813
0.054590136	0.054216329	0.88201223	0.689987939	0.69058109	0.175760309
0.070193001	0.065500958	0.085556333	0.670388572	0.671073928	0.672732935
2.79769E-06	2.96014E-06	2.82189E-06	0.699198631	0.698981938	0.698359763
0.056886601	0.044627715	0.075181536	0.675620389	0.674657877	0.676039165
