Va	Vb	Vc	Ia	Ib	Ic
0.447823578	0.432477678	0.877152672	0.590856166	0.558418032	0.170291363
0.876650092	0.883345692	0.040860509	0.170789723	0.175885598	0.693142451
0.881958536	4.85433E-06	4.8446E-06	0.17539797	0.699200842	0.699347278
0.855696611	0.079540452	0.071821356	0.148886976	0.647901887	0.627587568
0.872391367	0.875399747	0.065208188	0.165490233	0.169039598	0.652773102
0.027325097	0.876702799	0.883821476	0.695176246	0.171217641	0.175661485
0.86884878	0.097507345	0.080388013	0.162767778	0.665889205	0.654268922
0.872935216	0.875615757	0.046807483	0.165145865	0.168398713	0.65836999
0.435870131	0.877255093	0.44804586	0.542876491	0.170529351	0.575813124
0.877929091	0.449011165	0.439838414	0.170852044	0.559850722	0.527574828
0.054265228	0.876223595	0.882387287	0.690392534	0.171139915	0.175406144
0.882599819	0.054558279	0.054242515	0.175498225	0.690309273	0.690179756
0.866796207	0.10401986	0.866856441	0.162723323	0.615366344	0.159256625
0.393068061	0.877734573	0.484919357	0.582676635	0.170851075	0.625274213
0.862100923	0.843728561	0.133719246	0.154840302	0.147811113	0.567801203
0.864374769	0.856803078	0.123137265	0.155784427	0.156583685	0.588490536
0.013946444	0.014389043	0.013851118	0.696998723	0.696832284	0.696175356
0.866615684	0.866433338	0.095430796	0.159157348	0.162673927	0.617720119
0.87735245	0.483941938	0.399895233	0.170490539	0.60821161	0.56546558
0.102152439	0.841519376	0.083417308	0.605479394	0.134659062	0.630742498
0.875688195	0.883222779	0.013706759	0.170399124	0.175413699	0.697334748
0.877345215	0.483934013	0.399875123	0.170491159	0.60821018	0.565463799
0.130405273	0.863411894	0.857446921	0.586305802	0.155092851	0.157378102
0.446336354	0.877340261	0.437070407	0.546068104	0.170592853	0.575723561
0.877273405	0.437037959	0.446304482	0.170598472	0.575712853	0.546046591
0.068860996	0.071259895	0.85513412	0.649945162	0.629938929	0.148946013
0.40583068	0.877396892	0.480799465	0.532778771	0.170532418	0.5751732
0.42968122	0.877715974	0.459676554	0.52443408	0.170750048	0.559798059
0.572803084	0.877111735	0.543610126	0.538590633	0.170404254	0.565903214
0.882379801	0.041066991	0.040808585	0.175444047	0.692517621	0.692893927
0.20573606	0.826560665	0.210967748	0.580054564	0.11914775	0.607174684
0.480708529	0.410105796	0.877274844	0.559199987	0.517630814	0.170480574
0.881399419	0.041219963	0.040821381	0.175406625	0.692529261	0.693121023
0.878158397	0.459918335	0.429870269	0.170441591	0.559727917	0.524545159
0.041112655	0.0409246	0.881057965	0.692477271	0.693012434	0.174980829
0.130480906	0.863595751	0.857042575	0.586562889	0.155255318	0.15736944
0.876609079	0.884247889	0.013706798	0.170870284	0.176147508	0.697363614
0.041500158	0.882056846	0.041496555	0.69255888	0.175482649	0.69212362
0.275882804	0.283460314	0.826122629	0.612479146	0.581252606	0.118734366
0.437106934	0.446356216	0.877396391	0.575805385	0.54604594	0.170570541
0.825787082	0.135844889	0.128933194	0.11910248	0.606109832	0.577932568
5.49326E-06	0.876048023	0.883058644	0.699244605	0.170345382	0.174927047
0.067627267	0.067725035	0.067911518	0.6363144	0.636612162	0.636765725
0.065194573	0.871317764	0.873941921	0.652668048	0.164382228	0.168658018
0.059445987	0.064489207	0.063425844	0.652335086	0.651207431	0.651568041
