Va	Vb	Vc	Ia	Ib	Ic
0.459035614	0.425809555	0.877421188	0.575519815	0.539402303	0.170567936
0.847296471	0.846400928	0.847868869	0.257791463	0.256726359	0.2581162
0.086037426	0.868943329	0.082785139	0.665142642	0.162500818	0.677429207
0.868781704	0.084562241	0.076184603	0.162669722	0.672830709	0.661592964
0.069810389	0.065021207	0.084776199	0.67050576	0.670370984	0.672757198
0.127702173	0.321616668	0.225114175	0.622807938	0.623842702	0.620990413
0.871100404	0.874544429	0.075957265	0.164406533	0.168139554	0.650371371
0.855739317	0.079510511	0.071800698	0.149084001	0.647969699	0.627449776
0.455009645	0.435885141	0.877399717	0.611028609	0.577432905	0.170589364
0.874779417	0.047259308	0.871480601	0.168221509	0.657082461	0.164644959
0.872647541	0.875004856	0.047401686	0.165799843	0.168679167	0.656900231
0.130423443	0.863570816	0.857470669	0.586292123	0.155126406	0.157419229
0.845923218	0.153952135	0.858219518	0.15084306	0.560917991	0.151671904
0.446136056	0.877380484	0.445277832	0.576794967	0.170548104	0.6071294
0.099341091	0.841852084	0.103067115	0.602322609	0.134898653	0.627672111
0.413407406	0.877345939	0.475749022	0.567660015	0.170619524	0.606696919
0.877471386	0.45125661	0.431791474	0.170540482	0.609331992	0.576004957
0.41555896	0.877654771	0.462122832	0.589694408	0.170692865	0.626230842
0.01370577	0.875702348	0.883809702	0.697220311	0.170906615	0.175687754
0.40120861	0.877190825	0.480795588	0.548280899	0.170118865	0.589916679
0.869066982	0.079959967	0.077428111	0.162579362	0.674631989	0.663153304
0.045428177	0.048076409	0.053315116	0.655907628	0.656157105	0.655916005
0.470322203	0.41983894	0.877643324	0.559665173	0.520984618	0.170868269
0.883729781	0.054273422	0.876454397	0.175028153	0.690496569	0.170777001
0.860907762	0.844446453	0.141746916	0.153664465	0.149693711	0.564571508
0.863934674	0.856506019	0.123160733	0.15581386	0.156584517	0.588451787
0.103999067	0.867198721	0.866758134	0.615755783	0.159302305	0.162893704
0.873614864	0.055371562	0.871030432	0.168381257	0.654940781	0.164254072
0.864172609	0.854730189	0.107708245	0.156251313	0.154274405	0.593744868
0.111439912	0.864165059	0.855655078	0.592117329	0.155840269	0.155071876
0.04147019	0.041161386	0.042214885	0.693072529	0.692499318	0.692431868
0.872221114	0.874785635	0.065183356	0.164816403	0.168589482	0.652816448
0.825630915	0.136357759	0.12743881	0.119003533	0.606405177	0.577881146
0.099423823	0.841922467	0.103237975	0.602307833	0.134908458	0.627733362
0.081722798	0.079087402	0.868835867	0.675188155	0.663292486	0.162559565
0.855055531	0.111425857	0.864605092	0.155015426	0.591953089	0.156006838
0.86681324	0.866834383	0.095328389	0.159282971	0.162470438	0.61731308
0.432717509	0.878026211	0.448513848	0.558352933	0.170522212	0.591124524
0.877625209	0.470715952	0.411694098	0.170326655	0.591209275	0.552178025
0.877541625	0.450475376	0.427051655	0.170692674	0.626494396	0.593027038
0.130103247	0.318018444	0.21898114	0.6230864	0.623634859	0.620707367
0.06521653	0.870806392	0.873621827	0.652870041	0.164660537	0.168294871
0.056239055	0.04481101	0.074949175	0.675161449	0.674717288	0.675682402
5.49275E-06	0.876873757	0.884148281	0.699347588	0.170614727	0.176144514
0.081256101	0.275362617	0.262833209	0.620242089	0.619633263	0.620689502
0.877266675	0.470201735	0.411832631	0.170415262	0.590695272	0.551644978
0.871688433	0.875640335	0.065169668	0.164868141	0.169141718	0.652715566
0.875873426	0.065228075	0.871353999	0.168698587	0.652824519	0.16433269
0.427175482	0.877787922	0.450597865	0.593068749	0.170862081	0.62649205
0.848962893	0.846182198	0.849114692	0.257912639	0.257149897	0.257287478
0.013704881	0.876112318	0.882128844	0.697260408	0.170651704	0.175115914
0.87646115	0.883452138	0.054271407	0.171515198	0.175189563	0.690471387
0.421964352	0.87712613	0.458777314	0.55524955	0.170048607	0.590889741
0.08162444	0.078733141	0.868864265	0.675850344	0.66395033	0.162585349
0.877310633	0.440273273	0.443886687	0.170501463	0.608067473	0.577785457
0.865968106	0.081501735	0.867014404	0.161615348	0.621336663	0.159630692
0.470394959	0.419780495	0.877654317	0.559585217	0.521012499	0.170484935
0.826282791	0.221152299	0.234953846	0.118807045	0.609640318	0.582336368
0.429629121	0.877426757	0.459448235	0.524348377	0.170817831	0.559857698
0.054290857	0.881528207	0.05464537	0.690383737	0.175357158	0.68999265
0.82647039	0.227800466	0.221692969	0.118746488	0.611105868	0.583314511
0.051829582	0.053250858	0.057582064	0.654041903	0.653886195	0.65388194
0.073084778	0.855216097	0.071616482	0.6294178	0.148706798	0.649692192
0.014199616	0.014468864	0.88176046	0.697617982	0.697572965	0.1752741
0.473710152	0.404323669	0.87792294	0.625890143	0.586112802	0.170772523
0.443165192	0.446960671	0.877364004	0.608918274	0.57833279	0.170568589
0.881642468	4.93879E-06	4.79681E-06	0.175535036	0.699130387	0.699164053
0.142743059	0.826098355	0.149057463	0.576281891	0.119156844	0.605707635
0.422109259	0.877456269	0.458970276	0.555311821	0.170429683	0.59114721
0.877782052	0.883972716	0.040856172	0.170844562	0.175685967	0.693088831
0.052098397	0.053409262	0.058512913	0.653805967	0.654226112	0.653507469
0.429861689	0.877988838	0.459770553	0.524443992	0.170869006	0.559781071
0.422135653	0.877473786	0.45895775	0.554906351	0.170568821	0.590972096
0.85567804	0.068685171	0.072082817	0.148944602	0.650177576	0.629545932
0.841539338	0.083417635	0.102221915	0.134844823	0.630876243	0.606106296
0.060009858	0.060028253	0.059995837	0.639789885	0.640260932	0.639776864
0.877269895	0.43703226	0.446306499	0.170596064	0.575697269	0.546043915
0.825945946	0.184592568	0.187406248	0.11878478	0.610105323	0.580236305
0.152065707	0.139846227	0.096829027	0.618723795	0.617250225	0.615499712
0.082792588	0.869226289	0.100215714	0.657262831	0.162632448	0.669392631
0.079605831	0.07154325	0.85580345	0.647879027	0.627813339	0.148949232
0.881602566	0.041187528	0.040759512	0.175396992	0.692806312	0.69296825
0.877730296	0.448876376	0.439778316	0.170900026	0.559846441	0.527550141
0.100279916	0.842043012	0.114094247	0.600832684	0.135116182	0.625646629
0.204687163	0.826238954	0.202314302	0.579212204	0.119326616	0.606941529
0.882409328	0.041026296	0.040877692	0.17574519	0.692444926	0.692930318
0.437064787	0.446303148	0.877298964	0.575700138	0.545992898	0.170575836
0.4811254	0.410386547	0.877996878	0.559292542	0.51771282	0.170478004
0.85552767	0.091191804	0.07417729	0.149438042	0.645149784	0.625723029
0.873653932	0.055342749	0.871726514	0.168007255	0.654879832	0.164496256
0.045429608	0.048393499	0.053752941	0.655942042	0.656088207	0.656056808
0.41562762	0.877434956	0.469954464	0.536226191	0.170572534	0.575510458
0.411377816	0.87706554	0.469785233	0.551441286	0.170461727	0.590486808
0.874236214	0.076031434	0.870871696	0.16833673	0.650541968	0.164821439
0.01390988	0.014404441	0.013933163	0.6970063	0.697458054	0.69756688
0.410298647	0.877792729	0.481016619	0.517511078	0.17083731	0.559507278
0.883118255	0.013708009	0.875632119	0.174961516	0.697421169	0.170412728
0.857372693	0.130482468	0.862662092	0.156736156	0.586552917	0.154585493
0.082861142	0.287654923	0.267892684	0.620156735	0.619626024	0.621921379
0.055370541	0.871940281	0.87380517	0.654851687	0.164700181	0.168462718
0.041809666	0.041043272	0.042150983	0.692873212	0.692604373	0.693590093
0.881425388	4.9171E-06	4.81673E-06	0.175525743	0.698900633	0.699272681
2.78626E-06	2.94038E-06	2.85368E-06	0.699155649	0.699342598	0.699573902
0.825681698	0.267338079	0.279417644	0.11837291	0.611001351	0.582517976
0.14549897	0.132102966	0.825166936	0.60208472	0.572988396	0.119431559
0.147396307	0.861058484	0.846051651	0.562745653	0.153151249	0.150907432
0.856038867	0.068687552	0.071955202	0.149381972	0.650132449	0.629886985
0.877346471	0.450380879	0.426950862	0.170426492	0.62639842	0.593227602
0.446324128	0.877336698	0.437077671	0.546078127	0.170539526	0.57575302
0.419768407	0.877552862	0.470294222	0.520891191	0.170656787	0.55968755
0.274818477	0.825897898	0.267864444	0.585125457	0.118679501	0.613448032
0.459701634	0.429729919	0.87779301	0.559835157	0.524433146	0.170821029
0.459674432	0.429660306	0.87769891	0.559826543	0.524419121	0.170723571
0.883602462	5.50083E-06	0.876159253	0.175464009	0.699302839	0.171121175
0.083804961	0.868626651	0.08540212	0.661723196	0.162609512	0.676487705
0.082036376	0.302837684	0.287193204	0.619703114	0.616201673	0.615936208
5.49174E-06	0.874876896	0.882861405	0.699313138	0.170304301	0.175034847
0.432580947	0.877383139	0.448022917	0.558249027	0.170434243	0.59093115
0.082257019	0.079745371	0.86885488	0.675574257	0.663885225	0.162578882
0.865206585	0.85581281	0.111468399	0.156369719	0.155273673	0.592029353
0.446336353	0.877340259	0.437070407	0.546068103	0.170592851	0.575723562
0.866491645	0.865374966	0.08806911	0.159181533	0.161944919	0.619503603
0.856193188	0.091290977	0.074109196	0.149362359	0.645993498	0.625491798
0.86451134	0.857059147	0.130329242	0.155191628	0.157018517	0.586590308
0.439086428	0.878203826	0.439091142	0.596287598	0.171068038	0.626669522
0.877326554	0.437126087	0.444128603	0.170400766	0.591491891	0.56194585
0.442899741	0.44849608	0.87736605	0.606547045	0.576646535	0.170596147
0.014249236	0.013911059	0.882042718	0.697695126	0.697588345	0.175434038
0.054422298	0.055098825	0.055014249	0.690076246	0.690120723	0.690405951
0.874684192	0.047231636	0.871173197	0.168212569	0.657075884	0.164638736
0.041403413	0.881885172	0.041640788	0.693042883	0.175218472	0.692848621
0.070561718	0.071413689	0.074228144	0.650007753	0.650127634	0.650708362
0.081338395	0.869280045	0.099907249	0.656399883	0.162635192	0.66907238
0.877564125	0.473524058	0.404151621	0.170660548	0.625759793	0.586062768
0.881786462	0.054584251	0.05422182	0.175854213	0.690068394	0.690282742
0.028061769	0.027723491	0.881466396	0.694994059	0.694847558	0.175008064
0.413721102	0.8773842	0.47567038	0.566004333	0.170681054	0.605588946
0.469858847	0.415687768	0.877385471	0.575417844	0.536262376	0.170596806
0.866222088	0.077115517	0.868490412	0.161585264	0.623257419	0.15990335
0.845348179	0.141826101	0.860527294	0.149688191	0.564542226	0.153603207
0.480572937	0.405836785	0.877390028	0.574896886	0.532439894	0.170521751
0.572990881	0.877191271	0.544036923	0.537896891	0.170400063	0.564664644
0.86530263	0.077138906	0.867242854	0.161070196	0.623001277	0.159962854
0.882934623	0.054274235	0.87630264	0.174872827	0.690494492	0.170834831
0.095572825	0.866087685	0.866105461	0.617530535	0.158939885	0.162110873
0.087124484	0.077245225	0.868892376	0.672695602	0.661592984	0.162584625
0.872932009	0.055345228	0.870361515	0.168287272	0.654902165	0.164438489
0.864075025	0.856211561	0.116650357	0.155763555	0.155720865	0.5903494
0.758529332	0.757527169	0.757873862	0.38415703	0.383430361	0.383357098
0.337146603	0.825827074	0.32745465	0.581716771	0.11889078	0.612463117
0.212228922	0.826010376	0.21103297	0.577648527	0.119318931	0.606463478
0.125806366	0.11286895	0.152398616	0.61586897	0.612899766	0.615654195
0.864558793	0.856353417	0.123141509	0.155262056	0.15610836	0.588593188
0.059033325	0.038799303	0.07784945	0.679825212	0.679014557	0.680219364
0.062454984	0.062474111	0.062396733	0.638267956	0.638454336	0.638512762
0.045209099	0.872048462	0.874283979	0.659008222	0.165301669	0.168179896
0.014398897	0.014231921	0.882604514	0.697417044	0.69692788	0.175369735
5.49149E-06	0.875163095	0.883291716	0.699447932	0.169725192	0.175521699
0.153941937	0.860102651	0.84699557	0.560901748	0.15284578	0.15198642
0.448139958	0.435955322	0.877444861	0.575826811	0.542865405	0.170552473
0.113963558	0.100030895	0.841867572	0.625857723	0.600580688	0.135040031
0.863779419	0.856460186	0.123165169	0.155786384	0.156568104	0.588454367
0.849740091	0.846805084	0.848090817	0.257279969	0.257077259	0.256810756
0.868690863	0.082042802	0.078729705	0.162616563	0.674111397	0.662200615
0.876139707	0.881781346	0.040856989	0.170742943	0.175264156	0.693047691
0.442732797	0.448257073	0.877344136	0.606741974	0.576600955	0.170614036
0.102088452	0.124289745	0.167852225	0.616867746	0.619188216	0.617405106
0.074144357	0.855653002	0.082903891	0.627584839	0.149164441	0.648163329
0.841719349	0.102942983	0.099029773	0.135049921	0.627725437	0.602532117
0.439145462	0.443607591	0.87717821	0.591992047	0.561830949	0.17045776
0.87759308	0.480896069	0.401704931	0.170621005	0.590361962	0.548030408
0.868357705	0.865834913	0.077172214	0.160171226	0.161583331	0.62312358
4.91992E-06	4.82191E-06	0.881588963	0.699317435	0.699105149	0.175042299
0.863727844	0.857303792	0.130360998	0.15463149	0.156735013	0.586518642
0.860936603	0.8444232	0.141776399	0.153877663	0.149840279	0.564512264
0.047128533	0.870774378	0.873413324	0.656924091	0.164406586	0.168064159
0.100241111	0.841553242	0.113836926	0.600746041	0.135019327	0.625880537
2.79223E-06	2.90286E-06	2.80265E-06	0.69936625	0.69882236	0.699029408
0.130397701	0.863474021	0.857226199	0.586381317	0.154843134	0.157264289
0.855736613	0.116696173	0.864802961	0.155475584	0.590220324	0.155762285
0.083443645	0.1021849	0.84137309	0.630887272	0.606121815	0.134853896
0.124604215	0.103104392	0.841488064	0.62330696	0.59833862	0.135255686
0.060049324	0.060026812	0.059914196	0.639886399	0.64016367	0.640220606
0.4699314	0.415627151	0.877396465	0.575466984	0.536313893	0.170542586
0.075999117	0.871517831	0.874806619	0.650454951	0.164321444	0.168752563
0.434600648	0.877498399	0.455043632	0.574637453	0.170565519	0.608018595
0.439673938	0.877579696	0.448822608	0.527486107	0.170756106	0.559986669
0.069872352	0.065233163	0.084619451	0.670307197	0.671103376	0.672803893
0.086957455	0.078381234	0.868918934	0.672617034	0.661532006	0.162593239
0.413488553	0.877231379	0.475546183	0.568567648	0.170613867	0.607558042
0.866758485	0.095530691	0.866786806	0.162294406	0.617581219	0.159343407
0.855425322	0.107517441	0.865707185	0.1549358	0.593888469	0.157114226
0.875779888	0.882691279	0.040862123	0.170356916	0.174883973	0.693168331
0.866470039	0.866730911	0.095499947	0.15947523	0.162742888	0.617428947
0.868853186	0.076126054	0.07919208	0.162519882	0.676418262	0.66441261
0.044562295	0.049209929	0.050718711	0.658106319	0.658454148	0.658464762
0.292721545	0.826244856	0.295246809	0.584606711	0.118910288	0.612546654
0.438705364	0.438700645	0.87743215	0.626585083	0.596361093	0.170538445
0.435016677	0.877388372	0.45493144	0.574036916	0.170538557	0.607729089
0.102209565	0.841575	0.083436916	0.606185692	0.134764133	0.63124744
0.877608576	0.438793734	0.438788997	0.170857375	0.626588847	0.596438853
0.82568856	0.251956067	0.2536378	0.118973831	0.612764999	0.584710077
0.869099566	0.082735377	0.074830703	0.162563502	0.672970016	0.659560877
0.290726179	0.826067122	0.299568145	0.585839117	0.118900005	0.61506392
0.442769043	0.44823585	0.877355486	0.60681647	0.576626512	0.170610965
0.884404757	0.013708852	0.876736641	0.175838912	0.697501102	0.170901159
0.153958163	0.860005352	0.846176696	0.560891033	0.152565763	0.151761219
0.447992586	0.432729571	0.877585166	0.59093934	0.558369655	0.170220273
0.855440794	0.1028834	0.078885322	0.14930656	0.643348161	0.623584712
0.41983313	0.877741645	0.470411217	0.521105592	0.170777244	0.559691442
