Va	Vb	Vc	Ia	Ib	Ic
0.13372184	0.862439135	0.844517994	0.567772224	0.155249604	0.148240416
0.855433916	0.06890643	0.071793323	0.148990973	0.649973283	0.62938679
0.844805305	0.147442489	0.859325865	0.150032854	0.562654222	0.152327015
0.470278268	0.419764232	0.877529284	0.55968104	0.521112152	0.17078934
0.877997719	0.450704424	0.427278851	0.170594939	0.626372	0.593254951
0.0798423	0.869057909	0.088777981	0.664330331	0.162632611	0.674069976
0.869086101	0.098496937	0.080681694	0.162758606	0.667486483	0.654125561
0.040861692	0.875959919	0.883435307	0.693165131	0.170539278	0.175831102
0.846433629	0.153962715	0.85862699	0.150904225	0.560898459	0.151584584
0.062497549	0.062481109	0.062479489	0.638262049	0.638419828	0.63852243
0.459701721	0.429730591	0.877793779	0.559835089	0.524433253	0.170821042
0.147394341	0.859948207	0.845206414	0.562830062	0.152456804	0.150343934
0.826749389	0.187476116	0.195842275	0.118996286	0.613252548	0.581662667
0.856381289	0.116701663	0.864400685	0.155841878	0.590331784	0.156032045
0.419764191	0.877586678	0.47032177	0.521036672	0.170614624	0.559629916
0.10127232	0.129062613	0.170562951	0.617156734	0.622122935	0.620715322
0.43467759	0.877461521	0.455311659	0.575592499	0.170568555	0.608925743
0.05960002	0.064711333	0.062878802	0.652153487	0.651895023	0.651933048
0.082926182	0.080232995	0.868870307	0.675938926	0.66385179	0.16259941
0.454179848	0.436355533	0.877396299	0.609237645	0.575949983	0.170579316
0.874483012	0.055444735	0.871826157	0.168544528	0.655052687	0.164613427
0.855481665	0.066540648	0.078937124	0.148553551	0.6525001	0.631821696
0.055375565	0.8718202	0.874374731	0.654914475	0.16466637	0.168457893
0.845186261	0.141796965	0.860896264	0.149637779	0.56465513	0.15364489
0.872074666	0.874350735	0.047192452	0.165376047	0.168302087	0.658764363
0.469861752	0.415705206	0.877385672	0.575410271	0.536260912	0.170599477
0.427168032	0.877771706	0.450589158	0.593064209	0.170833042	0.626458326
0.841417787	0.083373974	0.102185003	0.134866516	0.631299293	0.606275602
0.455048866	0.435891632	0.877374701	0.610831021	0.577388334	0.170596167
0.113753673	0.100212582	0.841980222	0.625925472	0.600571307	0.135140387
0.841728776	0.083349558	0.102291298	0.134878108	0.631402157	0.605900161
0.090929052	0.077125769	0.868960062	0.667921982	0.657830911	0.16254932
0.871389864	0.874234829	0.047124694	0.164829715	0.168219033	0.657082609
0.092790227	0.080760237	0.869001274	0.667808977	0.656831161	0.16271961
0.48090982	0.410170874	0.877561204	0.559407441	0.51753242	0.170691103
0.074922114	0.856014021	0.091375448	0.625639166	0.149878406	0.645736772
0.872110178	0.874162351	0.048055329	0.165237702	0.168434396	0.658817628
0.878158397	0.459918335	0.429870269	0.170441591	0.559727917	0.524545159
0.447822492	0.432528511	0.877212349	0.590781605	0.558449938	0.170225078
0.133724326	0.861833423	0.843991753	0.567844884	0.155192494	0.148165535
0.100165278	0.080876324	0.869050905	0.668544358	0.65660313	0.162620714
0.866569257	0.104032783	0.866778568	0.162587871	0.615318377	0.159099682
0.062507165	0.062486345	0.062416737	0.638197085	0.638267408	0.638545288
0.102217673	0.841310558	0.083390117	0.605836212	0.13476981	0.631382952
0.082349373	0.289005982	0.271572071	0.620370233	0.619323036	0.616563506
0.412969383	0.87736221	0.476508927	0.566747564	0.170533681	0.606703016
0.825517694	0.137061434	0.130594377	0.118645253	0.605729009	0.576343898
0.866183963	0.087729299	0.867732677	0.161989626	0.619309157	0.159366712
0.877326137	0.473705255	0.410048429	0.170539053	0.609280694	0.569399319
0.867340602	0.866218911	0.088364039	0.15954168	0.162476548	0.619649383
0.43587985	0.877312803	0.448086976	0.54288263	0.170528213	0.575829439
0.10408243	0.866480939	0.866572288	0.615342321	0.159005393	0.162856033
0.449011165	0.439973571	0.878061219	0.559727153	0.527842048	0.17072651
0.876204647	0.88334609	0.054275596	0.171081023	0.175606054	0.690534094
0.450270566	0.426841745	0.877126869	0.626367223	0.593233603	0.170224377
0.014199616	0.014468864	0.88176046	0.697617982	0.697572965	0.1752741
0.062465025	0.062482752	0.062414208	0.638240881	0.638369648	0.638560892
0.077036732	0.867572431	0.865666722	0.623018277	0.160095061	0.161648847
0.869049418	0.082993414	0.075014635	0.162588207	0.673503527	0.659791915
0.877325293	0.437063285	0.446329444	0.170586662	0.575731247	0.546072527
0.88121591	4.89362E-06	4.77506E-06	0.175384946	0.699057287	0.698983003
0.872124703	0.874916677	0.04621077	0.165128914	0.168606745	0.65804428
0.073048412	0.856170492	0.07104877	0.629793201	0.149331371	0.649937392
0.111434813	0.864369616	0.85593929	0.592097773	0.15607019	0.155252673
0.877383283	0.451096978	0.431887957	0.170526388	0.608872532	0.575500618
0.877871153	0.459774965	0.429730094	0.170808277	0.559762472	0.524496441
0.432743877	0.877755031	0.448216371	0.558265494	0.170831898	0.59133399
0.473194406	0.403819154	0.876901595	0.625816263	0.586043564	0.17044322
0.074735188	0.075001762	0.075045176	0.634074105	0.634385726	0.634512183
0.08204335	0.304650677	0.28885689	0.619733136	0.617579183	0.617409678
0.439049378	0.878129623	0.439054103	0.596314997	0.171215402	0.626721515
0.875740259	0.075982715	0.871237338	0.168976513	0.650417568	0.164615989
