Va	Vb	Vc	Ia	Ib	Ic
0.877350126	0.469731528	0.415624505	0.170567349	0.575403655	0.536131922
0.147427763	0.85896451	0.84473633	0.562795749	0.152487594	0.15033666
0.841695007	0.083349068	0.102300699	0.13488922	0.631387445	0.605907873
0.877063479	0.459302396	0.429419628	0.170394293	0.559747207	0.524399268
0.107849624	0.865080664	0.855539777	0.593703434	0.15674317	0.154569114
0.410154273	0.877457674	0.480830667	0.517491115	0.170455923	0.55946605
0.868978478	0.08021248	0.077250055	0.162534515	0.674727012	0.663068366
0.876289203	0.884328654	0.054282888	0.171353317	0.175820698	0.690632475
0.459010352	0.421992518	0.877443898	0.590785168	0.555092291	0.170457266
0.062502946	0.062484516	0.062449203	0.638340553	0.638374675	0.638512397
0.470204813	0.419615668	0.87730996	0.559652147	0.52099155	0.17060275
0.826093133	0.147899285	0.131836695	0.119208632	0.604544424	0.575187336
0.860311419	0.844511272	0.141741475	0.152920332	0.149061952	0.564556485
0.130423455	0.863570527	0.857470757	0.586292105	0.155126422	0.157419242
0.41563118	0.877441392	0.469951784	0.536227621	0.170547579	0.575498666
0.874324305	0.055390355	0.871947298	0.168628296	0.654698133	0.164471432
0.095454045	0.866931297	0.866387215	0.617326638	0.159278396	0.162504392
0.877854076	0.437570345	0.444464142	0.170884673	0.592314132	0.562763024
0.404322511	0.877925691	0.473714484	0.586259456	0.170737477	0.625804848
0.438987455	0.438982808	0.877996642	0.626613402	0.596329528	0.170696955
0.148881208	0.135680842	0.825733765	0.603485935	0.575263398	0.119493949
0.872490158	0.874397842	0.04718751	0.164845646	0.168070799	0.657086471
0.877542199	0.470269507	0.419789447	0.170677972	0.559728838	0.520944657
0.876976358	0.884272137	5.49881E-06	0.171083952	0.176531721	0.699627621
0.103965084	0.867137601	0.866796953	0.615762043	0.159374402	0.162940887
0.055376018	0.871093256	0.874682142	0.654954934	0.16480513	0.16868284
0.87736122	0.473585016	0.410177059	0.170543249	0.609097152	0.569259254
0.874930637	0.076047721	0.871485966	0.168504668	0.650489942	0.164619277
5.49326E-06	0.876428286	0.883259288	0.699124048	0.171147744	0.175583124
0.107778292	0.865629966	0.85488957	0.593979468	0.157114069	0.154935132
0.410261575	0.877816448	0.481068564	0.517494914	0.170623515	0.559353454
0.103024896	0.078900434	0.855934923	0.643231278	0.623596251	0.149643098
0.450326177	0.4268992	0.877239899	0.626331588	0.593190438	0.170286264
0.876902114	0.483104394	0.47012011	0.1707519	0.561289391	0.531987357
0.079773337	0.071528895	0.855358796	0.647732525	0.627550867	0.148922973
0.841240878	0.083332027	0.102215402	0.134842005	0.631168659	0.605931266
0.866135329	0.081533681	0.867539538	0.161989514	0.621668501	0.159823035
0.876862653	0.884231483	0.027329713	0.170686168	0.175799019	0.695354438
0.054304088	0.88166362	0.05463359	0.691036299	0.175391936	0.690250441
0.081974596	0.869097371	0.099052716	0.656181391	0.162644235	0.668848047
0.099308617	0.84186743	0.103056039	0.602349625	0.13489534	0.627678221
0.855847973	0.091236225	0.074308445	0.149437161	0.645296243	0.625705966
0.866306625	0.087739832	0.867581175	0.162139099	0.619314664	0.159691376
0.480700481	0.40135266	0.877378552	0.590161166	0.548030337	0.170482426
0.047188861	0.871801069	0.874443453	0.656926895	0.164734777	0.168351878
0.861562038	0.846850618	0.147408506	0.15328407	0.150901261	0.56273037
0.158665612	0.147166892	0.09610823	0.618253278	0.61584366	0.6153723
0.113727237	0.100222307	0.841825388	0.626261288	0.600800822	0.134993788
0.419628808	0.877414976	0.470289611	0.521039557	0.170634168	0.559661353
0.420053469	0.878129763	0.47057921	0.520880778	0.17084573	0.559794769
0.877589969	0.438784425	0.438779688	0.170868771	0.626591969	0.596432328
0.874048943	0.049385808	0.872438613	0.168280526	0.65883276	0.165159943
0.856827904	0.068762024	0.0721407	0.149578037	0.650219904	0.628791993
0.871790138	0.873931904	0.055335125	0.164508775	0.167559148	0.654756737
0.882056753	4.93035E-06	4.85633E-06	0.17542003	0.699255846	0.699270812
0.044509741	0.872526173	0.874054022	0.659199166	0.165720001	0.168396233
0.877298323	0.484709253	0.392839301	0.170701768	0.625224181	0.582636747
0.856594645	0.130471005	0.86215023	0.156446257	0.586480611	0.154433167
0.859909172	0.843461491	0.137152309	0.15394036	0.148404606	0.56630205
0.059996306	0.060035953	0.059987349	0.639895904	0.640179054	0.639784089
0.041020736	0.882103269	0.041660641	0.692787605	0.175731061	0.692046115
0.065213951	0.870851061	0.873484731	0.652736359	0.16447119	0.168641808
0.083417829	0.102160146	0.841561187	0.630768307	0.60592469	0.134730779
0.870499694	0.873514318	0.055338206	0.164517362	0.167612494	0.654786824
0.825630021	0.278199482	0.28812146	0.118311526	0.610828168	0.582973905
0.565708175	0.877240285	0.553476527	0.537075473	0.170493608	0.565759106
0.062532944	0.062483534	0.062451411	0.638387438	0.638408072	0.638525482
0.124685663	0.10306662	0.841729567	0.623867296	0.598142695	0.13514013
0.027768574	0.027578806	0.02831893	0.694984146	0.694433464	0.695480415
0.841392077	0.102911765	0.098979563	0.134981566	0.62778081	0.602812583
0.442942319	0.44825545	0.877346768	0.60656967	0.576604892	0.170603103
2.75973E-06	2.93472E-06	2.89472E-06	0.699426253	0.698797343	0.698741155
0.871816152	0.874229822	0.048128704	0.165168696	0.168287596	0.658777106
0.82560543	0.27180873	0.282418952	0.11835367	0.611013961	0.582026587
0.045083312	0.87199019	0.874502116	0.65904257	0.165245891	0.16815122
0.868877738	0.075630572	0.078875089	0.162527948	0.676533545	0.664345028
0.459559472	0.429652567	0.877572947	0.559819846	0.524391475	0.170626159
0.082243257	0.869016886	0.099419296	0.656119402	0.162656597	0.668772501
0.881578271	0.054531914	0.054219682	0.175760368	0.690273879	0.690259434
0.170742686	0.161450877	0.09455477	0.617781476	0.616401553	0.615884084
0.844618776	0.14180199	0.860253652	0.149621521	0.564521925	0.153399704
0.880640318	0.054617008	0.054240646	0.175000217	0.689929012	0.690802312
0.438880333	0.438875613	0.877782169	0.626686287	0.59632967	0.170648308
0.844490684	0.141808459	0.859926474	0.149675536	0.564591898	0.153658403
0.49698699	0.512405799	0.877472257	0.559556044	0.531391522	0.170610447
0.872134006	0.874465842	0.046988827	0.165347712	0.16830443	0.658638556
0.44279584	0.448618723	0.877331454	0.607336824	0.577935671	0.170587663
0.054252893	0.881595801	0.054652224	0.690467713	0.1753413	0.689989724
0.014283857	0.014245934	0.882378931	0.697519248	0.697149146	0.175436554
0.089578624	0.075608679	0.869102413	0.669239218	0.659693214	0.162593672
0.856723317	0.091378207	0.074165065	0.149442285	0.645831248	0.625963892
0.046042119	0.048288251	0.052737957	0.65780998	0.659021464	0.659847591
0.081340882	0.869281337	0.099444287	0.656462054	0.16263588	0.669216519
0.866112048	0.081552856	0.867574233	0.162009179	0.621669846	0.159834282
0.073443364	0.855575415	0.082445671	0.627737492	0.149384651	0.64757919
0.074922114	0.856014021	0.091375448	0.625639166	0.149878406	0.645736772
0.124937968	0.103519207	0.84166476	0.623384947	0.598286936	0.135142192
0.877353842	0.47354663	0.410119211	0.170512798	0.609038497	0.569260398
0.517459129	0.493250172	0.877089292	0.559960987	0.531628358	0.17098257
0.277708686	0.281065095	0.826081809	0.610876141	0.58316786	0.119069785
0.842417998	0.133768104	0.862361864	0.14783209	0.567672165	0.154831057
0.480517844	0.401185385	0.877015331	0.589917789	0.54790696	0.170247678
0.459544572	0.429664404	0.877571963	0.55973251	0.524319921	0.17074082
0.459060296	0.425716557	0.877352264	0.57545264	0.539366811	0.170566846
0.087822766	0.867090709	0.866424227	0.619364888	0.159516032	0.162518136
0.877555203	0.462072458	0.415509824	0.170710683	0.626246829	0.5896135
0.438807945	0.877647105	0.438812673	0.596336618	0.171009835	0.626533514
0.100299216	0.841892105	0.113988164	0.600688993	0.135128883	0.625596658
0.758503293	0.755805299	0.756302082	0.384107421	0.383702498	0.383500573
0.470041573	0.411746078	0.877695543	0.590649417	0.551447145	0.170612842
0.07700496	0.867824827	0.865717492	0.623103439	0.160344212	0.16180884
0.401220612	0.876971604	0.480505315	0.548588619	0.170031018	0.590487453
0.87729713	0.458962975	0.425576793	0.170589992	0.575633763	0.539621648
0.877405342	0.461998822	0.415433487	0.170552586	0.626129875	0.589788543
0.446049921	0.877355205	0.444520955	0.576445028	0.170561489	0.606945545
0.047133411	0.871100369	0.873801393	0.656809157	0.164546147	0.167753333
0.860594983	0.844654102	0.147480441	0.153170812	0.150716369	0.562889847
0.47038399	0.419826234	0.877701242	0.559700179	0.521034747	0.170801584
0.099713264	0.841555608	0.09268722	0.604604659	0.13482309	0.629784313
0.081981382	0.869073753	0.099098649	0.656204177	0.162649915	0.668828336
0.028341002	0.028229059	0.881449642	0.694703093	0.695302625	0.175235562
0.434622687	0.877306622	0.455576401	0.574090532	0.170545831	0.607838192
0.878405283	0.459987714	0.430053042	0.170844201	0.559779572	0.524549926
0.864696458	0.85498364	0.111458322	0.156363176	0.155275987	0.591992061
0.411639985	0.877457902	0.469902967	0.551463367	0.17049562	0.590649291
0.204525082	0.826048004	0.208614301	0.578143058	0.118944384	0.607887515
0.8777059	0.480997374	0.401722429	0.170959193	0.590355545	0.54798131
0.153958163	0.860005352	0.846176696	0.560891033	0.152565763	0.151761219
0.855295838	0.111431053	0.86440975	0.154806714	0.592251801	0.155728603
0.82600237	0.224379635	0.230418807	0.118785553	0.610432296	0.583123326
0.415479703	0.877494183	0.462041836	0.589832894	0.170514282	0.626053087
0.459057947	0.422124669	0.87761423	0.590854332	0.555016805	0.17056341
0.147424265	0.860056712	0.84580335	0.562690494	0.15312268	0.150836235
0.883161205	5.49654E-06	0.874977202	0.175086032	0.699352605	0.169722841
0.88166657	4.83111E-06	4.84689E-06	0.175403979	0.699187295	0.699283466
0.434757007	0.877520106	0.454939361	0.57501247	0.170563801	0.608346195
0.04207874	0.040940449	0.041904396	0.692982452	0.693055678	0.69368983
0.877319016	0.44809601	0.435840168	0.170582163	0.575621041	0.542741339
0.877524214	0.459605531	0.42955313	0.170536285	0.559639393	0.524586249
0.855031681	0.111458965	0.863974202	0.154658477	0.592170941	0.155720614
0.856419637	0.064754222	0.078349584	0.148978279	0.652744988	0.631586714
0.045815516	0.048904795	0.052701661	0.657871915	0.658457836	0.660046291
0.876629906	0.883831169	0.013706759	0.171021861	0.175755986	0.697371168
0.877379648	0.46981205	0.415591534	0.170570862	0.575379055	0.53610645
0.455044236	0.435878403	0.877394087	0.611013853	0.577443118	0.170591148
0.104115063	0.866186963	0.866523685	0.615393442	0.159104843	0.162906207
0.279347848	0.300608972	0.825854157	0.613948838	0.584113041	0.118723661
