Vam	Vbm	Vcm	Iam	Ibm	Icm
0.882893623	0.027325905	0.875101743	0.17498263	0.695250317	0.170279255
0.147470203	0.859707058	0.845511926	0.56264234	0.15275098	0.150341027
0.883317737	0.027328629	0.876144891	0.175207231	0.695253113	0.17088844
0.027403714	0.027767968	0.028217954	0.695126966	0.69476794	0.695198906
0.866786834	0.866700591	0.095464446	0.159513372	0.162314838	0.617566476
0.142634044	0.133199404	0.098906952	0.611338881	0.611707907	0.614049153
0.133981901	0.125732927	0.826860231	0.60433957	0.576611295	0.118900713
0.455219566	0.43610527	0.877303174	0.608386924	0.574598	0.170579821
0.40203484	0.877345016	0.486884873	0.564026462	0.170544727	0.606983007
0.877217571	0.437007766	0.446278599	0.170581174	0.575724272	0.546049911
0.147211322	0.131059013	0.825646324	0.60405153	0.574513009	0.119276294
0.876087838	0.076048671	0.872674425	0.169552821	0.650547857	0.164934816
0.449066658	0.877321102	0.4442667	0.578861731	0.170595267	0.608961797
0.414413647	0.877331069	0.47450011	0.569003926	0.17052002	0.608747292
0.100197974	0.841862225	0.114039618	0.600376206	0.134949785	0.625703219
0.864019782	0.856615788	0.130373807	0.154944591	0.156912569	0.586553304
0.137136095	0.862419835	0.844032865	0.56615826	0.154428236	0.149014554
0.05427176	0.875694452	0.884264937	0.690448474	0.170521195	0.175336376
0.013707782	0.875584919	0.884393042	0.697413567	0.170125402	0.175346795
0.047443707	0.04178999	0.072778663	0.677794541	0.677767215	0.68048381
0.845974194	0.147402407	0.860749121	0.150602629	0.562734496	0.153107076
0.081174736	0.869038593	0.092552225	0.656939769	0.162620671	0.670528028
0.087821419	0.866365084	0.865665638	0.61968968	0.15875312	0.161843942
0.874304644	0.06520334	0.87187642	0.168667338	0.652900633	0.164495574
0.876873012	0.488930346	0.483912625	0.16985287	0.560283269	0.531883027
0.842163049	0.125210275	0.103511011	0.135189489	0.623681622	0.598163024
0.118620221	0.110891968	0.176601604	0.616878226	0.619696286	0.618202738
0.11281217	0.115060353	0.174587802	0.617476722	0.618752814	0.617564169
0.841292688	0.113599945	0.100505582	0.135173543	0.625390105	0.600388565
0.107851016	0.865355552	0.855238185	0.59367371	0.157018888	0.154728474
0.46438609	0.424838633	0.877268014	0.608280202	0.571606614	0.170525683
0.876649666	0.88331317	0.027324061	0.171125774	0.175776614	0.695124824
0.429763734	0.87777126	0.45964404	0.524353164	0.170634362	0.559839265
