Vam	Vbm	Vcm	Iam	Ibm	Icm
0.047310976	0.872130157	0.874700975	0.658371609	0.164872728	0.168286649
0.087939038	0.866813479	0.865704546	0.619568378	0.15953651	0.162134749
0.860615244	0.845599369	0.141762407	0.153939416	0.149997801	0.564372474
0.469726103	0.411524235	0.877171008	0.590825206	0.551519943	0.170461527
0.146975148	0.129530956	0.825773501	0.604188213	0.575541853	0.119283969
0.877215263	0.458897018	0.42194129	0.170200569	0.590673054	0.554711314
0.824607635	0.822961331	0.825648775	0.29915455	0.298505301	0.299177746
0.869233418	0.091622037	0.079734894	0.162661041	0.672359147	0.658682248
0.438120367	0.44529544	0.877610002	0.592395004	0.562878223	0.170903906
0.08642089	0.077196835	0.86922521	0.672728175	0.660586133	0.162533146
0.46202678	0.415462384	0.877462135	0.626059639	0.589823574	0.170574893
0.014019713	0.014000597	0.881385229	0.696972476	0.696978745	0.175249226
0.877389717	0.469906535	0.415456615	0.170544064	0.575529105	0.536228958
0.86763011	0.866333015	0.077266011	0.159893397	0.161790128	0.622891659
0.1461006	0.129080611	0.826120475	0.603529481	0.575366663	0.119404831
0.448053977	0.436020974	0.877375632	0.575612263	0.542770078	0.17060983
0.498127637	0.537760669	0.877327332	0.560040646	0.531446249	0.17041277
0.877723504	0.484916066	0.393059547	0.170729245	0.625234418	0.582621814
0.071781519	0.85560944	0.079711267	0.627589717	0.149374138	0.64780161
0.867663784	0.86608614	0.081594169	0.159874558	0.161727931	0.621388275
0.864217986	0.856210896	0.123023324	0.155342585	0.156143946	0.588341462
0.825800073	0.1378241	0.127398358	0.119146693	0.60593194	0.577387773
0.841611867	0.113566253	0.100473921	0.135109044	0.625860882	0.600529542
0.855874041	0.079865817	0.071567254	0.149629704	0.647983669	0.627743706
0.877639888	0.45052266	0.427102461	0.170824149	0.626379659	0.592984084
0.845293714	0.133763982	0.862178301	0.148563273	0.567660296	0.155415926
0.083549452	0.076065484	0.855319489	0.648622931	0.627603216	0.149222916
0.12318276	0.863246877	0.856373112	0.588383647	0.155102473	0.156425674
0.486582067	0.401965873	0.877363466	0.607562482	0.564642696	0.170437655
0.04083456	0.875182975	0.884531262	0.6926287	0.169993986	0.175182828
0.877350558	0.448093447	0.435864964	0.170664442	0.575708444	0.542744977
0.877341875	0.437069585	0.446340011	0.170617941	0.575714145	0.546059484
0.469953413	0.411627413	0.877493517	0.59057673	0.551410623	0.170802936
0.00000279	0.0000032	0.000003	0.69935321	0.699312609	0.699175493
0.825784987	0.298166634	0.307620179	0.118610762	0.612725653	0.584731387
0.048298776	0.871772734	0.873607705	0.658760574	0.164954108	0.168198105
0.862291888	0.86471614	0.863684233	0.218904137	0.218994809	0.219357382
0.45085113	0.427426441	0.878292436	0.626466169	0.59311446	0.17062799
0.865228188	0.863464401	0.863003953	0.219688611	0.219792741	0.219204539
0.448847015	0.439652124	0.877574485	0.559662444	0.527798489	0.170646043
0.462022022	0.4154586	0.877453799	0.626231919	0.589623053	0.170636954
0.0000055	0.875884893	0.884670541	0.699553647	0.170735858	0.176345763
0.082931453	0.869170745	0.079095029	0.664474408	0.162530162	0.677532805
0.459987458	0.429931631	0.878287433	0.559950872	0.524343156	0.170750753
0.0000055	0.876375975	0.883941279	0.699368884	0.170982609	0.175346453
0.415326507	0.877190154	0.461891105	0.589751351	0.17053876	0.626231191
0.856785303	0.116618736	0.864882199	0.156438462	0.590314294	0.156021773
0.41028673	0.877648553	0.480898652	0.517598283	0.170545868	0.559342076
0.438424225	0.876879166	0.438428947	0.596541604	0.169991861	0.62648189
0.085974169	0.077469043	0.868894452	0.673011005	0.660887968	0.162511702
0.51108883	0.526579534	0.877296578	0.561303171	0.533029106	0.170488307
0.272650488	0.277256433	0.825611857	0.612717718	0.586819043	0.118758176
0.841961352	0.103172441	0.099250418	0.134922463	0.627877935	0.602548459
0.11373833	0.099898684	0.841696839	0.626159016	0.600970783	0.135060194
0.310789395	0.825858214	0.298417834	0.583318522	0.118691029	0.612372472
0.844717599	0.137262151	0.861326449	0.148656358	0.566332505	0.154045529
0.85579242	0.091450352	0.074299701	0.149327595	0.645652985	0.62579895
0.099835523	0.841695821	0.092848612	0.604181539	0.134874338	0.629581489
0.054286603	0.875913749	0.883064424	0.690732219	0.170939482	0.1751733
0.432809065	0.877499349	0.44811894	0.558411455	0.170608196	0.591474964
0.841997557	0.103076158	0.099328857	0.134895358	0.627920259	0.602494428
0.875258575	0.065206123	0.872176465	0.168962104	0.652730499	0.164809499
0.883828901	0.0000055	0.876400032	0.175376718	0.699582678	0.170132034
0.125985168	0.826174483	0.144159799	0.575090715	0.11923868	0.603547043
0.099829718	0.841662964	0.092825973	0.604364231	0.134873035	0.629394206
0.824921182	0.199058388	0.212309815	0.11876501	0.608493997	0.582654335
0.393070071	0.877743088	0.484925699	0.582561403	0.170822061	0.625428205
0.079068969	0.869219601	0.08727415	0.66096921	0.162537805	0.673728394
0.448115045	0.436003231	0.877404368	0.575572775	0.542805716	0.170607067
0.85609476	0.079787712	0.071586956	0.149259585	0.64813956	0.627458099
0.154071789	0.85888136	0.846828136	0.560968863	0.152057925	0.151385966
0.027427736	0.0281156	0.027915797	0.69497784	0.694925082	0.695315073
0.877084268	0.46976271	0.411437827	0.170082121	0.59042188	0.55162448
0.856044013	0.123154327	0.863699433	0.156055405	0.588599428	0.155289557
0.877309587	0.469908567	0.411499486	0.170240837	0.590544387	0.551536701
0.095617299	0.866707245	0.866988729	0.617283843	0.159174628	0.162634448
0.877357255	0.473373764	0.410026751	0.170597622	0.608768805	0.56908878
0.881289614	0.014510818	0.014345671	0.175444319	0.696958779	0.697649636
0.43282592	0.877248576	0.447800421	0.558521738	0.170527278	0.591606924
0.0721572	0.070107151	0.074156476	0.649642534	0.649703707	0.650014859
0.127319804	0.826686525	0.145907571	0.574510074	0.119486191	0.603429734
0.47002363	0.411694367	0.877629671	0.590707133	0.551524431	0.170782481
