Vam	Vbm	Vcm	Iam	Ibm	Icm
0.454693892	0.436685137	0.8772788	0.608539751	0.574728333	0.170581095
0.100329091	0.841707749	0.113966341	0.600258322	0.134933216	0.625646286
0.856027652	0.111526535	0.86520022	0.155618379	0.592174942	0.15669724
0.877379864	0.469903611	0.415488846	0.170540087	0.575369428	0.536094477
0.877479382	0.448753979	0.439643567	0.170546069	0.559881966	0.527661255
0.855963164	0.066005891	0.078883175	0.149226328	0.652771673	0.631910817
0.85546758	0.068937554	0.071403523	0.149114309	0.649713629	0.629362607
0.877752513	0.448030226	0.432899692	0.17072504	0.591252063	0.558626531
0.079183501	0.855932	0.102953192	0.623592903	0.149745671	0.643464233
0.856022488	0.123164592	0.863207721	0.15611304	0.588599004	0.155317815
0.877641615	0.470336542	0.419823638	0.17076867	0.559678988	0.520996193
0.13205349	0.826914407	0.139997687	0.577176167	0.119455841	0.606120289
0.877294946	0.437054091	0.446309166	0.170597822	0.575733873	0.546082515
0.333202237	0.825687215	0.326091847	0.586722733	0.118506231	0.614993473
0.028183076	0.881241172	0.028328112	0.69546008	0.17525023	0.695488345
0.85701025	0.130452289	0.86264179	0.156587325	0.58645916	0.154359415
0.116698036	0.864482616	0.855674153	0.590382556	0.155664199	0.155826196
0.884383456	0.013705376	0.875293707	0.175501449	0.697269144	0.170465873
0.13219455	0.825558609	0.138010104	0.576815864	0.11866832	0.605825244
0.027512551	0.02837985	0.027887463	0.694972041	0.694913018	0.695328222
0.877583428	0.437517467	0.443961871	0.170431472	0.590863661	0.561290275
0.882725663	0.040852207	0.875492138	0.174870241	0.69291993	0.170719404
0.87750718	0.459628053	0.429515987	0.170735806	0.559846754	0.524306249
0.411622723	0.877356555	0.470324174	0.551178997	0.170290146	0.589838407
0.877448507	0.469928466	0.415529818	0.170541979	0.575413344	0.536146594
0.865352277	0.865702632	0.863431598	0.219415382	0.219906586	0.219252621
0.86289622	0.863120356	0.863686545	0.218739066	0.218603965	0.219318249
0.067863446	0.079789311	0.855952009	0.652033557	0.632337445	0.148929106
0.881399541	0.00000484	0.00000492	0.175299484	0.698999523	0.699362211
0.877658297	0.484885045	0.393024003	0.170479335	0.625266411	0.582599358
0.883512007	0.054275515	0.876251011	0.175919648	0.690576007	0.170846955
0.861359914	0.843780502	0.137136609	0.153772345	0.148216857	0.566292325
0.099348396	0.841369792	0.102971705	0.602612458	0.135180982	0.627705057
0.844517139	0.137273024	0.862415016	0.149346233	0.566383831	0.154884092
0.856077989	0.107912351	0.864766125	0.154916524	0.593696569	0.156670328
0.433106648	0.877764107	0.448079474	0.558230611	0.170393665	0.590916144
0.86307493	0.845748565	0.137101155	0.154875675	0.149261971	0.56620911
0.059778848	0.042621021	0.076382155	0.675497538	0.674880943	0.676777163
0.871167599	0.874263517	0.055337465	0.164416694	0.168085326	0.654862522
0.405785514	0.877262743	0.48052327	0.532930798	0.170496429	0.575243427
0.116739111	0.864426266	0.855967887	0.590358452	0.155648236	0.155771769
0.877204495	0.480577647	0.401361701	0.170088415	0.589890936	0.548302266
0.872915376	0.875262129	0.055271966	0.165089361	0.168827295	0.654889915
0.855505019	0.111545828	0.864928328	0.155557204	0.59225612	0.15659863
0.127455437	0.827264684	0.145429754	0.574567282	0.119406584	0.603562838
0.054203381	0.051226212	0.057371173	0.65397663	0.654307049	0.653911162
0.486930993	0.401945976	0.877443303	0.608389762	0.565348882	0.170504906
0.435518967	0.877382262	0.454285438	0.576631891	0.170549159	0.6099768
0.825701845	0.295624622	0.293941734	0.118632566	0.612967248	0.585522062
0.459066374	0.422064586	0.877567455	0.590690155	0.555020931	0.170715062
0.071713392	0.85594195	0.079711841	0.627467325	0.149362006	0.647811521
0.113780382	0.100008732	0.841805285	0.626107576	0.600899642	0.135083314
0.863356125	0.856478517	0.123116158	0.155299063	0.156387252	0.588487172
0.45543479	0.436260801	0.877404784	0.607982022	0.574667608	0.170572293
0.877741196	0.470310238	0.419954703	0.170817211	0.559768603	0.520891807
0.869082494	0.079777194	0.077472585	0.162579149	0.674903772	0.662510602
0.877295406	0.437054817	0.446310638	0.170587258	0.575733902	0.546081967
0.877523926	0.87652693	0.877653379	0.17048465	0.170504929	0.170685131
0.464992967	0.424990696	0.87745667	0.610458402	0.573647293	0.170538461
0.855198972	0.091285737	0.074327052	0.148952005	0.645771826	0.625689423
0.863781202	0.856473671	0.123058184	0.155469119	0.156257315	0.588349269
0.825708826	0.822920257	0.826789434	0.298978142	0.298475952	0.298690579
0.103288285	0.842217178	0.125219853	0.59842096	0.135137289	0.623599594
0.266507538	0.279764133	0.825868657	0.615272308	0.589508459	0.1187726
0.863649053	0.857152484	0.130370067	0.155340478	0.157267304	0.586522898
0.855167437	0.108003449	0.864508635	0.154938739	0.593673257	0.156687072
0.028092924	0.027992645	0.881880271	0.694399208	0.694868021	0.175132187
0.876918448	0.483934289	0.494378487	0.169940896	0.559913493	0.530997482
0.855201895	0.091502385	0.074314298	0.149171995	0.645506035	0.625765359
0.872892665	0.050313532	0.872223762	0.167904897	0.65872198	0.165266706
0.877324809	0.473019783	0.410518659	0.170593076	0.60885634	0.569323576
0.078980645	0.855498683	0.102969227	0.623696239	0.149492659	0.643410923
0.07897268	0.855836564	0.102942066	0.623496395	0.149806034	0.643311593
0.877515605	0.45901145	0.422136363	0.170552426	0.590737515	0.555258911
0.01428238	0.881342697	0.014290307	0.697055822	0.17509122	0.697456328
0.102239963	0.841575127	0.083358953	0.606012016	0.134835033	0.631227571
0.877565492	0.876209461	0.877671013	0.170564853	0.170544191	0.170687037
0.087876694	0.867013423	0.866375945	0.619456702	0.159659909	0.162135188
0.111413337	0.864556169	0.856076344	0.59204958	0.155990792	0.155419026
0.875267516	0.065209797	0.872660081	0.169116794	0.652609388	0.165230898
0.054305882	0.051201478	0.056938045	0.653978848	0.654451844	0.655075034
0.141756363	0.860637402	0.846050578	0.564526606	0.153114074	0.149478809
0.872389927	0.875453946	0.065204824	0.165464592	0.168797092	0.652627694
0.826465782	0.187907213	0.188249982	0.118817451	0.611595439	0.580933882
0.0000055	0.874149946	0.882238926	0.699411105	0.170071332	0.175480458
0.445643164	0.877530843	0.437867325	0.562639969	0.170367794	0.591798737
0.855764024	0.06895136	0.07139414	0.149119824	0.649854585	0.629673907
0.401439241	0.877218977	0.480762212	0.548802172	0.170116064	0.590704556
0.048088205	0.871761071	0.873903931	0.658757764	0.164938313	0.168189048
0.877183669	0.45887359	0.42192722	0.170294234	0.590806744	0.554726448
