Vam	Vbm	Vcm	Iam	Ibm	Icm
0.438540535	0.445023828	0.87770465	0.591026128	0.561660101	0.170806698
0.82561303	0.145978318	0.129038285	0.118648546	0.603296777	0.57434515
0.412063711	0.877596261	0.470085469	0.551848391	0.170603278	0.59070983
0.435749143	0.877300336	0.454164118	0.576662685	0.170518631	0.610250318
0.871533822	0.874344636	0.075978873	0.164694726	0.168070865	0.65055086
0.1002736	0.841827938	0.114041224	0.600419658	0.134897638	0.625619806
0.861125829	0.844170477	0.141744866	0.153183498	0.149287665	0.564554047
0.485292818	0.393444316	0.878484225	0.62555914	0.582374307	0.170846118
0.475545804	0.413711862	0.877471467	0.607939335	0.568385278	0.170603592
0.866351726	0.09559842	0.867095244	0.162278742	0.617441458	0.159004276
0.883090308	0.05426629	0.875179915	0.17507578	0.690413686	0.170526078
0.877285228	0.480772565	0.401242355	0.170121725	0.590225078	0.548080942
0.864810653	0.854807332	0.111382833	0.155942254	0.15491718	0.59220559
0.868964954	0.077451843	0.079995274	0.162484202	0.677394226	0.665619963
0.072193138	0.070004705	0.073976572	0.649176309	0.649909473	0.64910996
0.88146708	0.041133441	0.040817271	0.175468874	0.692308017	0.692733525
0.868860937	0.077258249	0.080833036	0.162571682	0.676100111	0.664867068
0.130204183	0.126874165	0.098743056	0.610854081	0.610056921	0.614793832
0.083573502	0.869192804	0.099405856	0.65460014	0.162563484	0.667829459
0.866142948	0.09566005	0.866130072	0.162247733	0.617775147	0.158787624
0.078697879	0.869173083	0.087065117	0.661009463	0.162560198	0.673649031
0.873814784	0.047093503	0.871050752	0.168139923	0.656987871	0.164924658
0.147437652	0.860792798	0.844892932	0.562614202	0.15277005	0.1504159
0.438420721	0.438416053	0.876862364	0.626388265	0.59631116	0.170162982
0.869084026	0.092203812	0.079370416	0.162666846	0.672947101	0.65943779
0.079657427	0.869179319	0.08740558	0.660988531	0.162557316	0.673665211
0.459132923	0.425694545	0.877429437	0.575412178	0.539296984	0.170623933
0.877740395	0.470308027	0.419956199	0.170821868	0.559763525	0.520889847
0.133823291	0.861559049	0.842794263	0.567666334	0.154491973	0.14730393
0.484615686	0.392786363	0.877149063	0.62551934	0.582300174	0.170858269
0.091438465	0.074442857	0.855556443	0.645580912	0.62565756	0.14935795
0.845507694	0.141825283	0.86150427	0.149759335	0.564603398	0.153416968
