Vam	Vbm	Vcm	Iam	Ibm	Icm
0.435462364	0.877400704	0.454335347	0.576499638	0.170550012	0.609815693
0.854262785	0.107939058	0.864826717	0.154777595	0.593769514	0.157100821
0.877881737	0.470221953	0.411773934	0.170301801	0.590425749	0.551274592
0.410253896	0.877671346	0.480937408	0.517691409	0.17075127	0.559314974
0.07257378	0.066086299	0.086899437	0.670254451	0.67002838	0.671096443
0.872692737	0.873631181	0.055308961	0.165093951	0.168783613	0.654909096
0.866782743	0.104221668	0.866841693	0.16276977	0.615202838	0.159193937
0.841867965	0.125192019	0.103092282	0.135188675	0.62361034	0.598518931
0.464798185	0.425108743	0.877259004	0.60891145	0.572101218	0.170531786
0.882692343	0.04085185	0.875166582	0.17515126	0.69293191	0.170497584
0.845580141	0.141812852	0.860286138	0.149983063	0.564531679	0.153711183
0.846493233	0.846545	0.84638323	0.256867978	0.25660994	0.256506379
0.439866886	0.877791639	0.448861034	0.527560123	0.170726721	0.559856492
0.063373427	0.060019261	0.06551219	0.652000423	0.651890992	0.651537825
0.470444224	0.419862375	0.877789987	0.559628184	0.52104864	0.170671863
0.014424609	0.881156481	0.0143103	0.697075784	0.175151864	0.697456171
0.028789242	0.028308109	0.881522179	0.694932009	0.695668409	0.175360124
0.8689645	0.080896632	0.078187795	0.162588727	0.6750163	0.662973971
0.877769784	0.459719519	0.429687259	0.17057116	0.559803322	0.524332444
0.067757291	0.067662473	0.067987718	0.636464318	0.636537578	0.63669018
0.862270778	0.844159549	0.133855911	0.15532393	0.148472387	0.567683966
0.87718808	0.448661593	0.43945434	0.170488106	0.559864726	0.527645033
0.869984101	0.873566495	0.065223008	0.164101688	0.168440604	0.652695323
0.068758999	0.079396114	0.855071336	0.651992664	0.63227683	0.148909628
0.878816664	0.878167016	0.877407371	0.171101524	0.170666974	0.170652812
0.413116254	0.877420524	0.475722223	0.568236336	0.170620664	0.608055514
0.081714183	0.867208131	0.865781155	0.621283907	0.159322084	0.16187919
0.877963432	0.876927777	0.877486981	0.170725249	0.170492331	0.170608064
0.106670571	0.082943506	0.854397426	0.643141427	0.623718882	0.149246729
0.013708751	0.876046657	0.884521639	0.697470553	0.170661502	0.175476951
0.041126946	0.040858755	0.881504518	0.692369425	0.692886171	0.175465269
0.460159234	0.430125466	0.878657514	0.559997576	0.524244466	0.170762512
0.470387818	0.419887	0.877758984	0.559564281	0.520949896	0.170708869
0.448117329	0.432624038	0.877583616	0.590860279	0.558268343	0.170531873
0.080764562	0.084089395	0.868899789	0.675520486	0.66357673	0.162693291
0.080706574	0.078223643	0.868900152	0.674208881	0.662262047	0.162468217
0.113844639	0.099901431	0.841755797	0.626157421	0.600972114	0.135067057
0.078405207	0.868943736	0.085930247	0.66088	0.162497115	0.673532597
0.877900241	0.481060356	0.410358273	0.1708852	0.559443958	0.517554908
0.877387349	0.459046269	0.425598206	0.170582843	0.57564121	0.5395943
0.877360561	0.484738117	0.392873528	0.170478744	0.625202827	0.582639422
0.865040701	0.856069712	0.111434644	0.156374835	0.15498152	0.592029573
0.884332092	0.040854044	0.875527403	0.175308603	0.692973597	0.170219161
0.067786421	0.067658849	0.067983083	0.636359307	0.63654783	0.636715374
0.856183846	0.130455334	0.862109999	0.156528005	0.586457202	0.154277695
